来源,tier,名次,串,当日PV,当日PV占该来源%,决定方式
健康管家随机1w,C1_content_free,1,好的我记住了谢谢！,1,0.007,audit_unanimous
健康管家随机1w,C1_content_free,2,好的医生有情况我再来问您！谢谢您！晚安！,1,0.007,audit_unanimous
健康管家随机1w,H1_intake_answer,1,高血压或心血管疾病,6,0.042,audit_unanimous
健康管家随机1w,H1_intake_answer,2,白带明显增多，呈豆腐渣样,4,0.028,audit_unanimous
健康管家随机1w,H1_intake_answer,3,"牙齿敏感,牙齿松动",3,0.021,audit_unanimous
健康管家随机1w,H1_intake_answer,4,"明显偏多,都没有",3,0.021,audit_unanimous
健康管家随机1w,H1_intake_answer,5,"只有活动时疼,都没有",2,0.014,audit_unanimous
健康管家随机1w,H1_intake_answer,6,"饭后明显,无恶心",2,0.014,audit_unanimous
健康管家随机1w,H1_intake_answer,7,"咳嗽咳痰,胸闷气短",2,0.014,audit_unanimous
健康管家随机1w,H1_intake_answer,8,"喉咙有异物感,用川芎,黄芪,丹参,山楂",2,0.014,audit_unanimous
健康管家随机1w,H1_intake_answer,9,"克拉霉素,甲硝唑",2,0.014,audit_unanimous
健康管家随机1w,H1_intake_answer,10,"眼角干疼痛,白眼仁里面有一道淡红色的",2,0.014,audit_unanimous
健康管家随机1w,H1_intake_answer,11,使用避孕套后立即出现,2,0.014,audit_unanimous
健康管家随机1w,H1_intake_answer,12,"糖尿病,正常,正常",2,0.014,audit_unanimous
健康管家随机1w,H2_feature_or_facet,1,了解药物适用人群,1,0.007,audit_unanimous
健康管家随机1w,H3_pushed_suggestion,1,34岁女性尿检异常寻求医生咨询,3,0.021,audit_unanimous
健康管家随机1w,H3_pushed_suggestion,2,49岁女性膝盖水肿疼痛加重，寻求医生挂号,1,0.007,audit_unanimous
健康管家随机1w,H5_doctor_card,1,（不引原文）,10,0.07,audit_unanimous
健康管家随机1w,H5_doctor_card,2,（不引原文）,1,0.007,audit_unanimous
健康管家随机1w,H5_doctor_card,3,（不引原文）,1,0.007,audit_unanimous
健康管家随机1w,H5_doctor_card,4,（不引原文）,1,0.007,audit_unanimous
健康管家随机1w,H5_doctor_card,5,（不引原文）,1,0.007,audit_unanimous
健康管家随机1w,H5_doctor_card,6,（不引原文）,1,0.007,audit_unanimous
