key,类目,快照,方向,该快照条数,该快照n,该快照占比%,其余快照合并占比%,最弱一对的区间端点pp,对比了几个快照
MEDICAL_KNOWLEDGE_LOOKUP,查询医学名词、检查、疫苗或疾病定义,传统搜索随机1w,显著高于其余全部,1481,10000,14.81,11.855,2.02,1
MEDICAL_KNOWLEDGE_LOOKUP,查询医学名词、检查、疫苗或疾病定义,健康管家随机1w,显著低于其余全部,1223,10316,11.855,14.81,-2.02,1
PERMISSION_VERDICT,判断个人情形下能否做某事或吃某物,传统搜索随机1w,显著低于其余全部,650,10000,6.5,7.619,-0.415,1
PERMISSION_VERDICT,判断个人情形下能否做某事或吃某物,健康管家随机1w,显著高于其余全部,786,10316,7.619,6.5,0.415,1
SYMPTOM_CAUSE_LOOKUP,查询症状或体征的原因,传统搜索随机1w,显著低于其余全部,1614,10000,16.14,17.885,-0.711,1
SYMPTOM_CAUSE_LOOKUP,查询症状或体征的原因,健康管家随机1w,显著高于其余全部,1845,10316,17.885,16.14,0.711,1
TREATMENT_SEEKING,寻求症状或疾病的治疗方案与用药推荐,传统搜索随机1w,显著低于其余全部,1038,10000,10.38,12.902,-1.641,1
TREATMENT_SEEKING,寻求症状或疾病的治疗方案与用药推荐,健康管家随机1w,显著高于其余全部,1331,10316,12.902,10.38,1.641,1
PRODUCT_INFO_LOOKUP,查询药品、药材、保健品或食物的基本信息与功效,传统搜索随机1w,显著高于其余全部,1160,10000,11.6,9.684,1.068,1
PRODUCT_INFO_LOOKUP,查询药品、药材、保健品或食物的基本信息与功效,健康管家随机1w,显著低于其余全部,999,10316,9.684,11.6,-1.068,1
DIAGRAM_MEDIA_LOOKUP,获取结构图示、位置或流程视频,传统搜索随机1w,显著高于其余全部,178,10000,1.78,1.154,0.297,1
DIAGRAM_MEDIA_LOOKUP,获取结构图示、位置或流程视频,健康管家随机1w,显著低于其余全部,119,10316,1.154,1.78,-0.297,1
OWN_CASE_VERDICT,判读个人测量值、检查结果或自身发现,传统搜索随机1w,显著低于其余全部,688,10000,6.88,11.361,-3.693,1
OWN_CASE_VERDICT,判读个人测量值、检查结果或自身发现,健康管家随机1w,显著高于其余全部,1172,10316,11.361,6.88,3.693,1
DOSAGE_ADMINISTRATION,查询具体药物的用法、剂量与疗程,传统搜索随机1w,显著低于其余全部,229,10000,2.29,3.121,-0.385,1
DOSAGE_ADMINISTRATION,查询具体药物的用法、剂量与疗程,健康管家随机1w,显著高于其余全部,322,10316,3.121,2.29,0.385,1
PROVIDER_NAVIGATION_AND_ADMIN,就医导航、机构核实与医疗行政事务,传统搜索随机1w,显著高于其余全部,1093,10000,10.93,2.365,7.892,1
PROVIDER_NAVIGATION_AND_ADMIN,就医导航、机构核实与医疗行政事务,健康管家随机1w,显著低于其余全部,244,10316,2.365,10.93,-7.892,1
DIAGNOSIS_PROGNOSIS_VERDICT,判定疾病可能性、病情走向与预后,传统搜索随机1w,显著低于其余全部,499,10000,4.99,7.464,-1.812,1
DIAGNOSIS_PROGNOSIS_VERDICT,判定疾病可能性、病情走向与预后,健康管家随机1w,显著高于其余全部,770,10316,7.464,4.99,1.812,1
CONTEXT_DEPENDENT_FOLLOW_UP,无指代追问与拍照实物识别,传统搜索随机1w,显著低于其余全部,127,10000,1.27,1.881,-0.269,1
CONTEXT_DEPENDENT_FOLLOW_UP,无指代追问与拍照实物识别,健康管家随机1w,显著高于其余全部,194,10316,1.881,1.27,0.269,1
RECOVERY_TIMELINE,查询术后、伤后或治疗后的恢复时间线,传统搜索随机1w,显著低于其余全部,133,10000,1.33,2.113,-0.427,1
RECOVERY_TIMELINE,查询术后、伤后或治疗后的恢复时间线,健康管家随机1w,显著高于其余全部,218,10316,2.113,1.33,0.427,1
HOME_DEVICE_SELFTEST,家用检测器械的使用与结果判读,传统搜索随机1w,显著高于其余全部,12,10000,0.12,0.029,0.015,1
HOME_DEVICE_SELFTEST,家用检测器械的使用与结果判读,健康管家随机1w,显著低于其余全部,3,10316,0.029,0.12,-0.015,1
