source,label,n,distinct,hhi_strings,top1_pv_share,top5_pv_share
2025search,裸片名或仅带实体类型词的作品查询,4240,4240,0.0002358490566037736,0.05839758534647775,0.1469049134193525
2025search,获取作品的在线播放入口,3819,3819,0.0002618486514794449,0.048073758632223136,0.14376412978761896
2025search,导航到指定影视站点或平台,524,524,0.0019083969465648856,0.08880409595779376,0.20311646016739765
2025search,收看电视频道直播或查询节目表,164,162,0.006246281975014872,0.12766060740566074,0.342159834104323
2025search,查询作品演员表与角色信息,179,179,0.005586592178770951,0.11679339618881446,0.24832934028315967
2025search,下载或安装影视App与排障,170,170,0.005882352941176471,0.08218030299599174,0.21956641530227888
2025search,直达指定集数的播放页,202,202,0.0049504950495049506,0.06535968105390882,0.24470792165019936
2025search,查询剧情梗概或结局剧透,108,108,0.00925925925925926,0.09097157010846636,0.30529130772057317
2025search,获取片段、台词或混剪等衍生内容,186,186,0.005376344086021506,0.049620607485398316,0.19716976385731733
2025search,核实播出信息与集数,112,112,0.008928571428571428,0.07019039907129396,0.24381400081691743
2025search,获取成人或限制级内容,102,102,0.009803921568627447,0.06591986560811522,0.2745018858476624
2025search,按演职人员反查作品列表,74,74,0.013513513513513518,0.11762492228148827,0.25679832455250495
2025search,剧情设定讨论与同人假设问答,33,33,0.030303030303030307,0.14950634696755996,0.4824635637047484
2025search,处理平台账号或客服问题,40,40,0.025000000000000005,0.12453771394168747,0.35569507754938223
2025search,凭情节片段反查片名,19,19,0.05263157894736842,0.15917460688607,0.5761384228678318
2025search,获取作品的网盘或资源下载渠道,11,11,0.09090909090909091,0.23213472917614927,0.6800182066454256
2025search,获取未删减或未遮挡版本,15,15,0.06666666666666667,0.1298287239564025,0.5135315488989398
2026search,收看电视频道直播或查询节目表,396,393,0.0025635139271502918,0.20724218356026222,0.4043135400907716
2026search,获取作品的在线播放入口,3362,3362,0.000297441998810232,0.02178015242025467,0.07580843557633493
2026search,裸片名或仅带实体类型词的作品查询,4415,4415,0.00022650056625141563,0.015931158102797868,0.056783850789328794
2026search,导航到指定影视站点或平台,500,500,0.002,0.06536509835460319,0.15060289239522723
2026search,获取作品的网盘或资源下载渠道,297,297,0.003367003367003367,0.06849683902165835,0.23079180622718115
2026search,直达指定集数的播放页,245,245,0.004081632653061226,0.07651436538756415,0.23295213439313056
2026search,核实播出信息与集数,95,95,0.010526315789473679,0.1414550648966825,0.30362288500849693
2026search,下载或安装影视App与排障,119,119,0.008403361344537822,0.0771709987080283,0.2890126835502827
2026search,获取片段、台词或混剪等衍生内容,123,123,0.008130081300813012,0.07282478815685058,0.2574133700619339
2026search,查询剧情梗概或结局剧透,76,76,0.013157894736842105,0.09776992786517225,0.34157574156913884
2026search,获取成人或限制级内容,90,90,0.011111111111111112,0.08063611658303017,0.2411606539462522
2026search,查询作品演员表与角色信息,127,127,0.007874015748031496,0.03853229505304804,0.17919575279520839
2026search,获取未删减或未遮挡版本,14,14,0.07142857142857142,0.36392004722948473,0.6538753478957579
2026search,处理平台账号或客服问题,18,18,0.05555555555555555,0.25935890537320316,0.6293335383196249
2026search,按演职人员反查作品列表,70,70,0.01428571428571429,0.05674336021306504,0.20206653350102344
2026search,剧情设定讨论与同人假设问答,30,30,0.03333333333333333,0.10774538065308824,0.4131184726619725
2026search,凭情节片段反查片名,22,22,0.045454545454545456,0.12018177391868862,0.4127241743082042
assistant_top,裸片名或仅带实体类型词的作品查询,405,397,0.002566681908245694,0.06413126971415496,0.14045467174399787
assistant_top,获取作品的在线播放入口,164,157,0.006618084473527661,0.06747408667977989,0.18029924635887465
assistant_top,核实播出信息与集数,15,14,0.07555555555555556,0.1550123762376238,0.6002475247524752
assistant_top,获取作品的网盘或资源下载渠道,19,18,0.05817174515235456,0.39389997108991043,0.6811217114773055
assistant_top,导航到指定影视站点或平台,50,44,0.026400000000000007,0.28370309504245417,0.49865790194467274
assistant_top,获取片段、台词或混剪等衍生内容,98,98,0.010204081632653059,0.05852436333719756,0.22388841105418644
assistant_top,收看电视频道直播或查询节目表,11,11,0.09090909090909091,0.1673136645962733,0.641692546583851
assistant_top,查询剧情梗概或结局剧透,60,58,0.017777777777777774,0.08084824387011265,0.306236654149179
assistant_top,剧情设定讨论与同人假设问答,24,24,0.041666666666666664,0.3654727793696275,0.6161891117478511
assistant_top,直达指定集数的播放页,7,7,0.14285714285714285,0.2026897214217099,0.7780979827089336
assistant_top,查询作品演员表与角色信息,40,40,0.025000000000000005,0.15002933534489984,0.4544464001341044
assistant_top,下载或安装影视App与排障,12,12,0.08333333333333334,0.19823080016083638,0.6340973059911541
assistant_top,获取成人或限制级内容,13,12,0.08875739644970415,0.1011964107676969,0.4471585244267198
assistant_top,凭情节片段反查片名,25,25,0.04,0.1189036678758565,0.390769850866586
assistant_top,按演职人员反查作品列表,11,11,0.09090909090909091,0.3622257891920813,0.7643124665596576
assistant_top,处理平台账号或客服问题,1,1,1.0,1.0,1.0
assistant_random,剧情设定讨论与同人假设问答,355,355,0.002816901408450705,0.01871657754010695,0.04545454545454545
assistant_random,查询作品演员表与角色信息,21,21,0.0476190476190476,0.09090909090909095,0.2727272727272729
assistant_random,核实播出信息与集数,43,43,0.023255813953488372,0.21818181818181823,0.30909090909090914
assistant_random,获取片段、台词或混剪等衍生内容,122,122,0.008196721311475407,0.3632286995515695,0.4215246636771301
assistant_random,下载或安装影视App与排障,9,9,0.1111111111111111,0.1111111111111111,0.5555555555555556
assistant_random,直达指定集数的播放页,18,18,0.05555555555555555,0.3823529411764705,0.6176470588235293
assistant_random,裸片名或仅带实体类型词的作品查询,203,203,0.004926108374384237,0.03488372093023256,0.13178294573643412
assistant_random,获取作品的网盘或资源下载渠道,8,8,0.125,0.2222222222222222,0.6666666666666666
assistant_random,导航到指定影视站点或平台,12,12,0.08333333333333334,0.2105263157894737,0.6315789473684211
assistant_random,处理平台账号或客服问题,29,29,0.03448275862068965,0.17142857142857146,0.31428571428571433
assistant_random,获取作品的在线播放入口,62,62,0.016129032258064512,0.05128205128205126,0.1794871794871794
assistant_random,查询剧情梗概或结局剧透,26,26,0.038461538461538464,0.14705882352941174,0.3823529411764706
assistant_random,凭情节片段反查片名,40,40,0.025000000000000005,0.1929824561403509,0.3859649122807017
assistant_random,收看电视频道直播或查询节目表,9,9,0.1111111111111111,0.2727272727272727,0.6363636363636364
assistant_random,获取成人或限制级内容,9,9,0.1111111111111111,0.1111111111111111,0.5555555555555556
assistant_random,按演职人员反查作品列表,15,15,0.06666666666666667,0.125,0.375
assistant_random,获取未删减或未遮挡版本,1,1,1.0,1.0,1.0
