key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
12,影视动漫剧情信息查询,855,190,0.735,2.11,12.63,176,0.7177,3.41,16.48,122,0.7084,1.64,10.66,367,0.6099,2.45,11.72,助手随机1k,0.1251,0.6739
17,视频内容查询与生成,893,370,0.6906,1.62,29.73,285,0.7144,1.4,33.33,116,0.7079,0.86,6.9,122,0.6608,0.82,15.57,助手随机1k,0.0536,0.6963
18,短剧免费观看查询,177,96,0.7686,0.0,5.21,52,0.7989,0.0,5.77,16,0.5744,6.25,6.25,13,0.5515,7.69,23.08,2025搜索,0.0303,0.744
8,视频平台官方应用下载与官网入口查询,489,239,0.7679,1.67,7.95,184,0.7822,1.09,12.5,23,0.7256,0.0,21.74,43,0.622,0.0,13.95,助手随机1k,0.1602,0.7584
9,电影资源查询,1375,518,0.7856,1.54,13.32,734,0.7839,1.23,7.63,70,0.7334,0.0,5.71,53,0.6063,3.77,28.3,助手随机1k,0.1793,0.7751
16,查询影视节目观看入口,623,289,0.823,0.0,20.42,292,0.8045,1.03,25.0,24,0.8498,0.0,8.33,18,0.548,11.11,27.78,2026搜索,0.0453,0.8074
0,在线观看动漫全集,1359,642,0.8517,0.62,27.73,682,0.8244,0.73,28.45,20,0.7349,0.0,45.0,15,0.6734,13.33,73.33,助手头部1k,0.1168,0.8343
1,动漫资源与剧情查询,1492,650,0.8622,0.62,28.31,680,0.8476,0.44,28.38,60,0.7439,1.67,23.33,102,0.7212,0.98,40.2,助手随机1k,0.141,0.8412
5,日韩泰剧在线观看,936,209,0.8455,0.96,17.22,663,0.852,0.6,10.41,55,0.8709,0.0,9.09,9,0.6583,0.0,22.22,2025搜索,0.0254,0.8498
11,电视剧与短剧查询推荐,1186,340,0.8215,0.88,20.29,749,0.8818,0.13,13.48,68,0.7568,1.47,30.88,29,0.579,3.45,48.28,助手随机1k,0.3028,0.85
4,影视剧免费在线观看查询,477,324,0.8492,1.85,8.33,143,0.8899,0.0,42.66,4,0.5373,0.0,0.0,6,0.5858,0.0,50.0,2025搜索,0.0407,0.8555
10,免费影视在线观看查询,1817,903,0.8688,0.33,27.02,863,0.8485,0.23,24.22,38,0.7801,0.0,28.95,13,0.8122,0.0,46.15,助手头部1k,0.0887,0.8569
2,查询《逆爱》电视剧在线观看资源,369,341,0.8614,0.29,2.05,22,0.8985,0.0,31.82,3,0.6439,0.0,33.33,3,0.7707,0.0,0.0,2025搜索,0.0371,0.8611
6,影视视频资源查询,2606,1196,0.9023,0.33,27.59,1197,0.8929,0.25,25.4,131,0.8893,0.0,23.66,82,0.6976,0.0,46.34,助手随机1k,0.2047,0.8909
3,免费电视剧全集在线观看查询,3401,1838,0.9111,0.38,17.25,1475,0.8899,0.54,24.0,75,0.8776,1.33,40.0,13,0.7331,0.0,38.46,助手头部1k,0.0335,0.9005
19,影视剧演员表查询,340,157,0.9125,1.27,1.91,121,0.9197,0.0,0.83,41,0.9078,0.0,0.0,21,0.788,4.76,0.0,助手随机1k,0.1317,0.9068
13,CCTV5在线直播观看查询,472,137,0.8805,1.46,21.17,320,0.9225,0.62,9.69,8,0.8556,0.0,12.5,7,0.8588,0.0,0.0,2025搜索,0.042,0.9082
7,影视文学动漫作品名称查询,2916,1506,0.9432,0.13,29.48,1268,0.9357,0.16,29.89,79,0.9065,0.0,31.65,63,0.7356,4.76,50.79,助手随机1k,0.2076,0.9345
14,电视节目表查询,151,53,0.97,0.0,1.89,93,0.976,0.0,1.08,2,0.9998,0.0,0.0,3,0.5167,33.33,0.0,2025搜索,0.006,0.9651
