外层,a,b,n_a,n_b,内层TVD,同源噪声上界,超出噪声,a主导内层,a主导占比%,b主导内层,b主导占比%,主导是否相同
影视剧免费在线观看查询,2025搜索,2026搜索,324,143,0.3049,0.1271,True,获取作品的在线播放入口,42.59,裸片名或仅带实体类型词的作品查询,56.64,False
免费电视剧全集在线观看查询,2025搜索,2026搜索,1838,1475,0.1001,0.0259,True,获取作品的在线播放入口,93.36,获取作品的在线播放入口,85.22,True
免费电视剧全集在线观看查询,2025搜索,助手头部1k,1838,75,0.1056,0.0681,True,获取作品的在线播放入口,93.36,获取作品的在线播放入口,86.67,True
免费电视剧全集在线观看查询,2026搜索,助手头部1k,1475,75,0.0608,0.0891,False,获取作品的在线播放入口,85.22,获取作品的在线播放入口,86.67,True
影视文学动漫作品名称查询,2025搜索,2026搜索,1506,1268,0.0199,0.0159,True,裸片名或仅带实体类型词的作品查询,97.68,裸片名或仅带实体类型词的作品查询,96.06,True
影视文学动漫作品名称查询,2025搜索,助手头部1k,1506,79,0.0407,0.044,False,裸片名或仅带实体类型词的作品查询,97.68,裸片名或仅带实体类型词的作品查询,94.94,True
影视文学动漫作品名称查询,2025搜索,助手随机1k,1506,63,0.3869,0.0601,True,裸片名或仅带实体类型词的作品查询,97.68,裸片名或仅带实体类型词的作品查询,60.32,True
影视文学动漫作品名称查询,2026搜索,助手头部1k,1268,79,0.0333,0.0476,False,裸片名或仅带实体类型词的作品查询,96.06,裸片名或仅带实体类型词的作品查询,94.94,True
影视文学动漫作品名称查询,2026搜索,助手随机1k,1268,63,0.3692,0.0772,True,裸片名或仅带实体类型词的作品查询,96.06,裸片名或仅带实体类型词的作品查询,60.32,True
影视文学动漫作品名称查询,助手头部1k,助手随机1k,79,63,0.3715,0.1589,True,裸片名或仅带实体类型词的作品查询,94.94,裸片名或仅带实体类型词的作品查询,60.32,True
影视视频资源查询,2025搜索,2026搜索,1196,1197,0.02,0.0259,False,裸片名或仅带实体类型词的作品查询,93.14,裸片名或仅带实体类型词的作品查询,92.9,True
影视视频资源查询,2025搜索,助手头部1k,1196,131,0.0801,0.055,True,裸片名或仅带实体类型词的作品查询,93.14,裸片名或仅带实体类型词的作品查询,87.02,True
影视视频资源查询,2025搜索,助手随机1k,1196,82,0.3486,0.0712,True,裸片名或仅带实体类型词的作品查询,93.14,裸片名或仅带实体类型词的作品查询,58.54,True
影视视频资源查询,2026搜索,助手头部1k,1197,131,0.0761,0.0585,True,裸片名或仅带实体类型词的作品查询,92.9,裸片名或仅带实体类型词的作品查询,87.02,True
影视视频资源查询,2026搜索,助手随机1k,1197,82,0.349,0.0819,True,裸片名或仅带实体类型词的作品查询,92.9,裸片名或仅带实体类型词的作品查询,58.54,True
影视视频资源查询,助手头部1k,助手随机1k,131,82,0.2849,0.1431,True,裸片名或仅带实体类型词的作品查询,87.02,裸片名或仅带实体类型词的作品查询,58.54,True
视频平台官方应用下载与官网入口查询,2025搜索,2026搜索,239,184,0.169,0.1284,True,下载或安装影视App与排障,41.0,导航到指定影视站点或平台,46.74,False
视频平台官方应用下载与官网入口查询,2025搜索,助手随机1k,239,43,0.6066,0.2431,True,下载或安装影视App与排障,41.0,处理平台账号或客服问题,60.47,False
视频平台官方应用下载与官网入口查询,2026搜索,助手随机1k,184,43,0.6805,0.238,True,导航到指定影视站点或平台,46.74,处理平台账号或客服问题,60.47,False
动漫资源与剧情查询,2025搜索,2026搜索,650,680,0.0581,0.0489,True,裸片名或仅带实体类型词的作品查询,88.15,裸片名或仅带实体类型词的作品查询,83.82,True
动漫资源与剧情查询,2025搜索,助手头部1k,650,60,0.2613,0.1218,True,裸片名或仅带实体类型词的作品查询,88.15,裸片名或仅带实体类型词的作品查询,65.0,True
动漫资源与剧情查询,2025搜索,助手随机1k,650,102,0.6592,0.1066,True,裸片名或仅带实体类型词的作品查询,88.15,剧情设定讨论与同人假设问答,57.84,False
动漫资源与剧情查询,2026搜索,助手头部1k,680,60,0.2564,0.1275,True,裸片名或仅带实体类型词的作品查询,83.82,裸片名或仅带实体类型词的作品查询,65.0,True
动漫资源与剧情查询,2026搜索,助手随机1k,680,102,0.6613,0.125,True,裸片名或仅带实体类型词的作品查询,83.82,剧情设定讨论与同人假设问答,57.84,False
动漫资源与剧情查询,助手头部1k,助手随机1k,60,102,0.5706,0.2343,True,裸片名或仅带实体类型词的作品查询,65.0,剧情设定讨论与同人假设问答,57.84,False
CCTV5在线直播观看查询,2025搜索,2026搜索,137,320,0.167,0.1014,True,收看电视频道直播或查询节目表,70.8,收看电视频道直播或查询节目表,86.88,True
电影资源查询,2025搜索,2026搜索,518,734,0.1321,0.0806,True,裸片名或仅带实体类型词的作品查询,49.03,裸片名或仅带实体类型词的作品查询,57.36,True
电影资源查询,2025搜索,助手头部1k,518,70,0.2467,0.175,True,裸片名或仅带实体类型词的作品查询,49.03,裸片名或仅带实体类型词的作品查询,60.0,True
电影资源查询,2025搜索,助手随机1k,518,53,0.5115,0.2127,True,裸片名或仅带实体类型词的作品查询,49.03,剧情设定讨论与同人假设问答,26.42,False
电影资源查询,2026搜索,助手头部1k,734,70,0.1652,0.1678,False,裸片名或仅带实体类型词的作品查询,57.36,裸片名或仅带实体类型词的作品查询,60.0,True
电影资源查询,2026搜索,助手随机1k,734,53,0.4868,0.208,True,裸片名或仅带实体类型词的作品查询,57.36,剧情设定讨论与同人假设问答,26.42,False
电影资源查询,助手头部1k,助手随机1k,70,53,0.4431,0.2628,True,裸片名或仅带实体类型词的作品查询,60.0,剧情设定讨论与同人假设问答,26.42,False
在线观看动漫全集,2025搜索,2026搜索,642,682,0.1093,0.0581,True,获取作品的在线播放入口,83.02,获取作品的在线播放入口,73.17,True
免费影视在线观看查询,2025搜索,2026搜索,903,863,0.0637,0.0402,True,获取作品的在线播放入口,87.82,获取作品的在线播放入口,81.69,True
免费影视在线观看查询,2025搜索,助手头部1k,903,38,0.3081,0.1316,True,获取作品的在线播放入口,87.82,获取作品的在线播放入口,57.89,True
免费影视在线观看查询,2026搜索,助手头部1k,863,38,0.2858,0.1532,True,获取作品的在线播放入口,81.69,获取作品的在线播放入口,57.89,True
电视剧与短剧查询推荐,2025搜索,2026搜索,340,749,0.1091,0.0741,True,裸片名或仅带实体类型词的作品查询,66.76,裸片名或仅带实体类型词的作品查询,76.64,True
电视剧与短剧查询推荐,2025搜索,助手头部1k,340,68,0.1441,0.1706,False,裸片名或仅带实体类型词的作品查询,66.76,裸片名或仅带实体类型词的作品查询,67.65,True
电视剧与短剧查询推荐,2026搜索,助手头部1k,749,68,0.1591,0.135,True,裸片名或仅带实体类型词的作品查询,76.64,裸片名或仅带实体类型词的作品查询,67.65,True
电视节目表查询,2025搜索,2026搜索,53,93,0.0459,0.0459,False,收看电视频道直播或查询节目表,94.34,收看电视频道直播或查询节目表,98.92,True
视频内容查询与生成,2025搜索,2026搜索,370,285,0.1603,0.1166,True,获取片段、台词或混剪等衍生内容,30.27,裸片名或仅带实体类型词的作品查询,21.75,False
视频内容查询与生成,2025搜索,助手头部1k,370,116,0.4446,0.1461,True,获取片段、台词或混剪等衍生内容,30.27,获取片段、台词或混剪等衍生内容,70.69,True
视频内容查询与生成,2025搜索,助手随机1k,370,122,0.5525,0.1433,True,获取片段、台词或混剪等衍生内容,30.27,获取片段、台词或混剪等衍生内容,77.05,True
视频内容查询与生成,2026搜索,助手头部1k,285,116,0.512,0.1553,True,裸片名或仅带实体类型词的作品查询,21.75,获取片段、台词或混剪等衍生内容,70.69,False
视频内容查询与生成,2026搜索,助手随机1k,285,122,0.6408,0.1622,True,裸片名或仅带实体类型词的作品查询,21.75,获取片段、台词或混剪等衍生内容,77.05,False
视频内容查询与生成,助手头部1k,助手随机1k,116,122,0.1287,0.1438,False,获取片段、台词或混剪等衍生内容,70.69,获取片段、台词或混剪等衍生内容,77.05,True
