key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导叶,主导叶占比%,代表串(流量最高，仅供辨识)
ACCESS_WATCH__2,ACCESS_WATCH__2,,3764,17.161,2024,20.244,19.468,21.043,29.862,1620,16.202,15.492,16.937,19.375,101,10.576,8.781,12.687,11.631,19,1.935,1.242,3.002,1.849,41.35,1.1797,1.654,33.09,0.9441,1.3238,21.6,0.6163,0.8641,3.95,0.1127,0.1581,4,,,2025搜索,助手随机1k,18.309,10.46,1,1,2,15,免费电视剧全集在线观看查询,73.3,以法之名张译电视剧在线观看免费高清 / 书卷一梦电视剧免费观看完整版 / 日剧韩剧在线观看大全
BARE_TITLE_LOOKUP__6,BARE_TITLE_LOOKUP__6,,2429,11.074,1264,12.643,12.005,13.308,13.068,997,9.971,9.399,10.574,9.955,114,11.937,10.032,14.148,11.793,54,5.499,4.239,7.106,5.145,31.57,1.1416,1.2627,24.9,0.9004,0.9959,29.81,1.0779,1.1922,13.73,0.4966,0.5492,4,,,2025搜索,助手随机1k,7.144,2.3,2,2,1,4,影视文学动漫作品名称查询,55.9,以法之名 / 努尔哈赤 / 书卷一梦
ACCESS_WATCH__1,ACCESS_WATCH__1,,1963,8.95,977,9.772,9.205,10.37,7.85,918,9.181,8.631,9.763,6.921,41,4.293,3.18,5.772,3.738,27,2.749,1.896,3.971,2.653,37.59,1.0919,1.5036,35.32,1.0258,1.4127,16.52,0.4797,0.6606,10.58,0.3072,0.4231,4,,,2025搜索,助手随机1k,7.022,3.55,3,3,9,12,免费影视在线观看查询,73.5,以法之名在线观看完整版免费 / 心动的信号9免费观看 / 韩国电影在线高清免费观看完整版
BARE_TITLE_LOOKUP__2,BARE_TITLE_LOOKUP__2,,1874,8.544,865,8.652,8.116,9.219,8.052,883,8.831,8.29,9.403,7.133,81,8.482,6.877,10.419,8.436,45,4.582,3.442,6.077,4.984,28.32,1.0126,1.1329,28.91,1.0336,1.1564,27.77,0.9927,1.1106,15.0,0.5364,0.6001,4,,,2026搜索,助手随机1k,4.248,1.93,5,4,3,5,影视视频资源查询（合并后目标）,87.2,逆爱 / 她是谁 / 花开锦绣
BARE_TITLE_LOOKUP__1,BARE_TITLE_LOOKUP__1,,1733,7.901,877,8.772,8.233,9.342,6.37,786,7.861,7.349,8.405,6.743,38,3.979,2.913,5.414,2.773,32,3.259,2.318,4.564,2.974,36.75,1.1102,1.4699,32.93,0.9949,1.3173,16.67,0.5036,0.6668,13.65,0.4124,0.5461,4,,,2025搜索,助手随机1k,5.513,2.69,4,6,12,10,影视文学动漫作品名称查询,76.5,南部档案 / 色戒 / 美国动作片《一击》
ACCESS_WATCH__3,ACCESS_WATCH__3,,1680,7.659,818,8.182,7.66,8.735,7.577,824,8.241,7.718,8.796,6.054,22,2.304,1.526,3.463,1.256,16,1.629,1.005,2.63,1.768,40.19,1.0682,1.6078,40.48,1.0759,1.6194,11.32,0.3008,0.4527,8.0,0.2127,0.3202,4,,,2026搜索,助手随机1k,6.611,5.06,6,5,15,17,在线观看动漫全集（合并后目标）,62.3,以法之名全集 / 乐园侵触之死亡岛第一季动漫在线观看 / 哪吒2魔童闹海免费观看完整版
BARE_TITLE_LOOKUP__3,BARE_TITLE_LOOKUP__3,,1354,6.173,640,6.401,5.938,6.898,4.912,630,6.301,5.841,6.794,4.676,51,5.34,4.085,6.954,4.762,33,3.36,2.403,4.682,2.733,29.91,1.037,1.1963,29.44,1.0207,1.1775,24.95,0.8651,0.9981,15.7,0.5444,0.628,4,,,2025搜索,助手随机1k,3.041,1.9,7,8,6,9,动漫资源与剧情查询,69.8,这是什么动漫 / 动漫 / 小猪佩奇
BARE_TITLE_LOOKUP__4,BARE_TITLE_LOOKUP__4,,1153,5.257,345,3.451,3.11,3.827,3.509,702,7.021,6.536,7.538,6.8,79,8.272,6.688,10.191,11.647,27,2.749,1.896,3.971,3.376,16.05,0.6564,0.6422,32.66,1.3356,1.3066,38.49,1.5737,1.5395,12.79,0.523,0.5117,4,,,助手头部1k,助手随机1k,5.523,3.01,8,7,4,12,电视剧与短剧查询推荐,71.2,早春晴朗电视剧 / 《早春晴朗》电视剧 / 电视剧奸细
BARE_TITLE_LOOKUP__5,BARE_TITLE_LOOKUP__5,,720,3.283,249,2.49,2.203,2.815,2.087,417,4.17,3.796,4.58,3.376,42,4.398,3.27,5.891,5.552,12,1.222,0.7,2.124,1.527,20.28,0.7587,0.8112,33.96,1.2705,1.3584,35.81,1.3398,1.4324,9.95,0.3723,0.398,4,,,助手头部1k,助手随机1k,3.176,3.6,10,9,8,19,电影资源查询（合并后目标）,98.1,什么电影 / 这是什么电影 / 二战片《尼曼行动》
SITE_PORTAL_NAV__1,SITE_PORTAL_NAV__1,,537,2.448,254,2.541,2.25,2.868,3.266,248,2.48,2.193,2.804,3.091,27,2.827,1.95,4.082,4.381,8,0.815,0.413,1.599,1.125,29.33,1.0377,1.1731,28.63,1.0131,1.1453,32.64,1.1548,1.3055,9.4,0.3328,0.3762,4,,,助手头部1k,助手随机1k,2.013,3.47,9,11,13,22,视频平台官方应用下载与官网入口查询,33.1,视频 / 抖音 / 抖音
