key,类目,a,b,k_a,k_b,n_a,n_b,占比_a%,占比_b%,差_pp,低_pp,高_pp,显著,类型
1,查询《逆爱》电视剧在线观看资源,2025搜索,2026搜索,341,22,9998,9999,3.411,0.22,-3.191,-3.572,-2.834,True,共有
10,电视剧与短剧查询推荐,2025搜索,2026搜索,340,749,9998,9999,3.401,7.491,4.09,3.466,4.721,True,共有
11,动漫资源与剧情查询,2025搜索,2026搜索,650,680,9998,9999,6.501,6.801,0.299,-0.392,0.991,False,共有
12,影视剧免费在线观看查询,2025搜索,2026搜索,324,143,9998,9999,3.241,1.43,-1.811,-2.234,-1.396,True,共有
13,免费电视剧全集在线观看查询,2025搜索,2026搜索,1838,1475,9998,9999,18.384,14.751,-3.632,-4.662,-2.603,True,共有
14,免费影视完整版在线观看查询,2025搜索,2026搜索,903,863,9998,9999,9.032,8.631,-0.401,-1.188,0.386,False,共有
15,视频平台官方应用下载与官网入口查询,2025搜索,2026搜索,239,184,9998,9999,2.39,1.84,-0.55,-0.952,-0.151,True,共有
16,日韩泰剧在线观看,2025搜索,2026搜索,209,663,9998,9999,2.09,6.631,4.54,3.982,5.109,True,共有
17,影视节目观看入口查询,2025搜索,2026搜索,289,292,9998,9999,2.891,2.92,0.03,-0.437,0.497,False,共有
2,视频内容查询与生成,2025搜索,2026搜索,370,285,9998,9999,3.701,2.85,-0.85,-1.346,-0.357,True,共有
4,影视动漫剧情与演员表查询,2025搜索,2026搜索,443,349,9998,9999,4.431,3.49,-0.941,-1.483,-0.4,True,共有
5,电视频道直播与节目表查询,2025搜索,2026搜索,190,413,9998,9999,1.9,4.13,2.23,1.76,2.708,True,共有
6,动漫全集在线观看查询,2025搜索,2026搜索,642,682,9998,9999,6.421,6.821,0.399,-0.29,1.09,False,共有
7,电影资源查询,2025搜索,2026搜索,518,734,9998,9999,5.181,7.341,2.16,1.489,2.833,True,共有
8,影视视频资源查询,2025搜索,2026搜索,1196,1197,9998,9999,11.962,11.971,0.009,-0.891,0.909,False,共有
9,影视文学动漫作品名称查询,2025搜索,2026搜索,1506,1268,9998,9999,15.063,12.681,-2.382,-3.34,-1.424,True,共有
1,查询《逆爱》电视剧在线观看资源,2025搜索,助手头部1k,341,3,9998,955,3.411,0.314,-3.097,-3.524,-2.403,True,共有
10,电视剧与短剧查询推荐,2025搜索,助手头部1k,340,68,9998,955,3.401,7.12,3.72,2.208,5.56,True,共有
11,动漫资源与剧情查询,2025搜索,助手头部1k,650,60,9998,955,6.501,6.283,-0.219,-1.678,1.565,False,共有
12,影视剧免费在线观看查询,2025搜索,助手头部1k,324,4,9998,955,3.241,0.419,-2.822,-3.268,-2.09,True,共有
13,免费电视剧全集在线观看查询,2025搜索,助手头部1k,1838,75,9998,955,18.384,7.853,-10.53,-12.255,-8.507,True,共有
14,免费影视完整版在线观看查询,2025搜索,助手头部1k,903,38,9998,955,9.032,3.979,-5.053,-6.266,-3.517,True,共有
15,视频平台官方应用下载与官网入口查询,2025搜索,助手头部1k,239,23,9998,955,2.39,2.408,0.018,-0.841,1.231,False,共有
