层级,a,b,n_a,n_b,秩相关rho,前5重合个数,首位是否相同,TVD,TVD低,TVD高,同源噪声上界,超出噪声,CramersV
自上而下 L1 意图,2025搜索,2026搜索,9998,9999,0.7623,3,True,0.0739,0.0609,0.0872,0.0318,True,0.1494
自上而下 L1 意图,2025搜索,助手头部1k,9998,955,0.5126,4,True,0.237,0.2245,0.2756,0.1006,True,0.2802
自上而下 L1 意图,2025搜索,助手随机1k,9998,982,0.3391,3,False,0.5949,0.5689,0.6242,0.108,True,0.6375
自上而下 L1 意图,2026搜索,助手头部1k,9999,955,0.5212,3,True,0.2392,0.2162,0.2728,0.1027,True,0.2921
自上而下 L1 意图,2026搜索,助手随机1k,9999,982,0.0639,2,False,0.607,0.5776,0.6391,0.1059,True,0.6546
自上而下 L1 意图,助手头部1k,助手随机1k,955,982,0.5962,3,False,0.4449,0.41,0.4906,0.1111,True,0.5094
自上而下 L2 子意图,2025搜索,2026搜索,9998,9999,0.824,4,True,0.1176,0.1123,0.1334,0.0466,True,0.1947
自上而下 L2 子意图,2025搜索,助手头部1k,9998,955,0.673,3,False,0.3088,0.2859,0.3514,0.149,True,0.3395
自上而下 L2 子意图,2025搜索,助手随机1k,9998,982,0.317,2,False,0.6032,0.5789,0.6349,0.1466,True,0.6766
自上而下 L2 子意图,2026搜索,助手头部1k,9999,955,0.6252,3,False,0.2749,0.2573,0.3172,0.1531,True,0.3318
自上而下 L2 子意图,2026搜索,助手随机1k,9999,982,0.2092,2,False,0.6101,0.5873,0.6441,0.1427,True,0.6841
自上而下 L2 子意图,助手头部1k,助手随机1k,955,982,0.691,2,False,0.4625,0.4342,0.5035,0.1568,True,0.5328
自下而上 家族,2025搜索,2026搜索,9998,9999,0.7206,4,True,0.1376,0.1296,0.1542,0.0384,True,0.2183
自下而上 家族,2025搜索,助手头部1k,9998,955,0.5441,3,False,0.3407,0.3178,0.3746,0.1091,True,0.2591
自下而上 家族,2025搜索,助手随机1k,9998,982,0.3753,3,False,0.5122,0.4857,0.5439,0.104,True,0.4373
自下而上 家族,2026搜索,助手头部1k,9999,955,0.5324,3,False,0.2696,0.2533,0.3082,0.1154,True,0.2629
自下而上 家族,2026搜索,助手随机1k,9999,982,0.2163,2,False,0.5313,0.5015,0.5629,0.1019,True,0.4731
自下而上 家族,助手头部1k,助手随机1k,955,982,0.7932,4,True,0.2864,0.257,0.3343,0.1195,True,0.3399
自下而上 叶,2025搜索,2026搜索,9998,9999,0.7825,4,True,0.1376,0.1304,0.1531,0.0396,True,0.2193
自下而上 叶,2025搜索,助手头部1k,9998,955,0.5281,3,False,0.3407,0.32,0.3768,0.1279,True,0.2741
自下而上 叶,2025搜索,助手随机1k,9998,982,0.3464,3,False,0.5122,0.4889,0.5408,0.11,True,0.5031
自下而上 叶,2026搜索,助手头部1k,9999,955,0.6123,3,False,0.2696,0.2491,0.3133,0.1196,True,0.2702
自下而上 叶,2026搜索,助手随机1k,9999,982,0.3464,2,False,0.5313,0.5007,0.5585,0.1079,True,0.5175
自下而上 叶,助手头部1k,助手随机1k,955,982,0.8273,4,False,0.3124,0.2833,0.3588,0.1237,True,0.3724
