层级,快照,n,类目数,前1条数,前1行占比%,前1流量占比%,前3条数,前3行占比%,前3流量占比%,前5条数,前5行占比%,前5流量占比%,前10条数,前10行占比%,前10流量占比%,流量有效n,单行最大流量%,前10之外类数,前10之外条数,前10之外行占比%,前10之外流量占比%,第10名条数,并列类数,并列需选,边界并列,前10流量占比%低,前10流量占比%高,前10流量摆动pp
自上而下 L1 意图,2025搜索,9998,17,4240,42.408481696339265,37.9983988941793,8583,85.84716943388678,88.6704682292341,8971,89.72794558911782,91.7528643929019,9704,97.05941188237648,98.23049845208203,410.92762915704077,2.219014742452342,7,294,2.94058811762352,1.7695015479179688,108,1,1,False,98.23049845208203,98.23049845208203,0.0
自上而下 L1 意图,2026搜索,9999,17,4415,44.15441544154415,38.68488108550361,8277,82.77827782778277,76.62628901553721,8970,89.70897089708971,92.29194814131712,9679,96.7996799679968,98.16739048243937,630.3522447089841,2.6306939229481276,7,320,3.200320032003205,1.832609517560627,95,1,1,False,98.16739048243937,98.16739048243937,0.0
自上而下 L1 意图,助手头部1k,955,16,405,42.40837696335078,44.96217451528634,667,69.84293193717278,71.4117227772246,777,81.36125654450262,83.10878087672822,900,94.24083769633508,95.60937792784682,296.96076285920816,2.883481340774734,6,55,5.759162303664922,4.390622072153178,15,1,1,False,95.60937792784682,95.60937792784682,0.0
自上而下 L1 意图,助手随机1k,982,17,355,36.15071283095723,30.06430868167202,680,69.24643584521385,68.72990353697747,785,79.938900203666,79.42122186495175,919,93.58452138492872,94.0514469453376,177.38835396607058,6.511254019292605,7,63,6.4154786150712795,5.948553054662398,18,1,1,False,94.0514469453376,94.0514469453376,0.0
自上而下 L2 子意图,2025搜索,9998,35,2024,20.244048809761953,29.86223438754664,4265,42.65853170634127,50.780268589452525,6007,60.082016403280655,65.20224446588168,8313,83.14662932586518,86.55386590465216,410.92762915704077,2.219014742452342,25,1685,16.853370674134823,13.446134095347844,249,1,1,False,86.55386590465216,86.55386590465216,0.0
自上而下 L2 子意图,2026搜索,9999,36,1620,16.2016201620162,19.374911231713735,3535,35.35353535353536,36.25109172489534,5242,52.425242524252425,49.43873637969423,8075,80.75807580758075,82.09106275892836,630.3522447089841,2.6306939229481276,26,1924,19.241924192419248,17.90893724107164,298,1,1,False,82.09106275892836,82.09106275892836,0.0
自上而下 L2 子意图,助手头部1k,955,33,114,11.93717277486911,11.792586278479337,296,30.994764397905758,31.858647688401774,435,45.54973821989529,48.49524747309595,659,69.00523560209425,71.82065686645528,296.96076285920816,2.883481340774734,23,296,30.994764397905755,28.17934313354472,41,2,2,False,71.82065686645528,71.82065686645528,0.0
自上而下 L2 子意图,助手随机1k,982,33,186,18.940936863543786,15.514469453376208,441,44.908350305498985,44.29260450160772,540,54.989816700611,54.421221864951775,723,73.62525458248473,72.74919614147912,177.38835396607058,6.511254019292605,23,259,26.37474541751527,27.250803858520882,32,1,1,False,72.74919614147912,72.74919614147912,0.0
自下而上 家族,2025搜索,9998,16,1838,18.38367673534707,21.88452100250864,4540,45.409081816363276,42.59833822965353,6093,60.942188437687534,54.15083340779631,8407,84.08681736347269,78.3848221976241,410.92762915704077,2.219014742452342,6,1591,15.91318263652731,21.615177802375896,341,1,1,False,78.3848221976241,78.3848221976241,0.0
自下而上 家族,2026搜索,9999,16,1475,14.751475147514752,18.00491701290466,3940,39.4039403940394,39.350378177904645,5552,55.52555255525552,52.635706955632855,8724,87.24872487248724,87.55027535672347,630.3522447089841,2.6306939229481276,6,1275,12.751275127512756,12.449724643276525,413,1,1,False,87.55027535672347,87.55027535672347,0.0
自下而上 家族,助手头部1k,955,16,179,18.7434554973822,18.394318277847383,426,44.60732984293194,44.39561893074575,580,60.73298429319372,60.335597841063155,871,91.20418848167539,92.83575399289418,296.96076285920816,2.883481340774734,6,84,8.795811518324612,7.164246007105817,38,1,1,False,92.83575399289418,92.83575399289418,0.0
自下而上 家族,助手随机1k,982,16,401,40.835030549898164,38.58520900321543,625,63.645621181262726,64.63022508038586,770,78.41140529531569,78.7781350482315,928,94.5010183299389,94.37299035369774,177.38835396607058,6.511254019292605,6,54,5.498981670061099,5.627009646302255,15,1,1,False,94.37299035369774,94.37299035369774,0.0
自下而上 叶,2025搜索,9998,19,1838,18.38367673534707,21.884521002508638,4540,45.409081816363276,42.59833822965352,6093,60.942188437687534,54.150833407796306,8304,83.05661132226446,78.09237420165057,410.92762915704077,2.219014742452342,9,1694,16.94338867773554,21.90762579834943,340,1,1,False,78.09237420165057,78.09237420165057,0.0
自下而上 叶,2026搜索,9999,19,1475,14.751475147514752,18.00491701290466,3940,39.4039403940394,39.350378177904645,5552,55.52555255525552,52.635706955632855,8631,86.31863186318631,86.01840779200514,630.3522447089841,2.6306939229481276,9,1368,13.681368136813688,13.981592207994865,320,1,1,False,86.01840779200514,86.01840779200514,0.0
自下而上 叶,助手头部1k,955,19,131,13.717277486910994,13.495559776757991,369,38.638743455497384,38.207597429557154,523,54.76439790575916,54.147576339874554,817,85.54973821989529,87.50748610248704,296.96076285920816,2.883481340774734,9,138,14.45026178010471,12.492513897512964,41,1,1,False,87.50748610248704,87.50748610248704,0.0
自下而上 叶,助手随机1k,982,19,367,37.372708757637476,35.20900321543408,591,60.18329938900204,61.25401929260449,736,74.949083503055,75.40192926045015,900,91.64969450101833,91.0771704180064,177.38835396607058,6.511254019292605,9,82,8.350305498981669,8.922829581993597,18,1,1,False,91.0771704180064,91.0771704180064,0.0
