层级,快照,名次,key,条数,行占比%,流量占比%
自上而下 L1 意图,2025搜索,1,BARE_TITLE_LOOKUP,4240,42.408481696339265,37.9983988941793
自上而下 L1 意图,2025搜索,2,ACCESS_WATCH,3819,38.19763952790558,45.28911995710933
自上而下 L1 意图,2025搜索,3,SITE_PORTAL_NAV,524,5.241048209641928,5.382949377945466
自上而下 L1 意图,2025搜索,4,ACCESS_SPECIFIC_EPISODE,202,2.020404080816163,1.7533749961248861
自上而下 L1 意图,2025搜索,5,CLIP_QUOTE_DERIVATIVE,186,1.860372074414883,1.3290211675428985
自上而下 L1 意图,2025搜索,6,WORK_CAST_LOOKUP,179,1.7903580716143228,1.3726047997918684
自上而下 L1 意图,2025搜索,7,APP_INSTALL_SUPPORT,170,1.7003400680136027,1.6105519803198927
自上而下 L1 意图,2025搜索,8,LIVE_TV_SCHEDULE,164,1.6403280656131227,1.7529130217802666
自上而下 L1 意图,2025搜索,9,BROADCAST_FACTS,112,1.1202240448089618,0.8482639186487493
自上而下 L1 意图,2025搜索,10,PLOT_SYNOPSIS_ENDING,108,1.0802160432086416,0.8933003386393519
自上而下 L1 意图,2026搜索,1,BARE_TITLE_LOOKUP,4415,44.15441544154415,38.68488108550361
自上而下 L1 意图,2026搜索,2,ACCESS_WATCH,3362,33.623362336233626,32.34987207364717
自上而下 L1 意图,2026搜索,3,SITE_PORTAL_NAV,500,5.000500050005001,5.5915358563864155
自上而下 L1 意图,2026搜索,4,LIVE_TV_SCHEDULE,396,3.9603960396039604,12.693814925874731
自上而下 L1 意图,2026搜索,5,CHANNEL_RESOURCE_ACCESS,297,2.9702970297029703,2.9718441999051803
自上而下 L1 意图,2026搜索,6,ACCESS_SPECIFIC_EPISODE,245,2.45024502450245,2.243910245510575
自上而下 L1 意图,2026搜索,7,WORK_CAST_LOOKUP,127,1.27012701270127,0.952540223285997
自上而下 L1 意图,2026搜索,8,CLIP_QUOTE_DERIVATIVE,123,1.2301230123012301,0.8772447124107566
自上而下 L1 意图,2026搜索,9,APP_INSTALL_SUPPORT,119,1.1901190119011902,1.1519653048527996
自上而下 L1 意图,2026搜索,10,BROADCAST_FACTS,95,0.95009500950095,0.6497818550621428
自上而下 L1 意图,助手头部1k,1,BARE_TITLE_LOOKUP,405,42.40837696335078,44.96217451528634
自上而下 L1 意图,助手头部1k,2,ACCESS_WATCH,164,17.172774869109947,16.624475054285725
自上而下 L1 意图,助手头部1k,3,CLIP_QUOTE_DERIVATIVE,98,10.261780104712042,9.825073207652542
自上而下 L1 意图,助手头部1k,4,PLOT_SYNOPSIS_ENDING,60,6.282722513089006,4.989877687189304
自上而下 L1 意图,助手头部1k,5,SITE_PORTAL_NAV,50,5.2356020942408374,6.707180412314317
自上而下 L1 意图,助手头部1k,6,WORK_CAST_LOOKUP,40,4.18848167539267,4.383641166766481
自上而下 L1 意图,助手头部1k,7,IDENTIFY_TITLE_FROM_FRAGMENT,25,2.6178010471204187,1.8231185541442698
自上而下 L1 意图,助手头部1k,8,LORE_QA_DISCUSSION,24,2.513089005235602,2.5645641894250306
自上而下 L1 意图,助手头部1k,9,CHANNEL_RESOURCE_ACCESS,19,1.9895287958115184,2.541784392900052
自上而下 L1 意图,助手头部1k,10,BROADCAST_FACTS,15,1.5706806282722514,1.1874887478827647
自上而下 L1 意图,助手随机1k,1,LORE_QA_DISCUSSION,355,36.15071283095723,30.06430868167202
自上而下 L1 意图,助手随机1k,2,BARE_TITLE_LOOKUP,203,20.672097759674134,20.739549839228296
自上而下 L1 意图,助手随机1k,3,CLIP_QUOTE_DERIVATIVE,122,12.423625254582484,17.92604501607717
自上而下 L1 意图,助手随机1k,4,ACCESS_WATCH,62,6.313645621181263,6.270096463022507
自上而下 L1 意图,助手随机1k,5,BROADCAST_FACTS,43,4.378818737270875,4.421221864951768
自上而下 L1 意图,助手随机1k,6,IDENTIFY_TITLE_FROM_FRAGMENT,40,4.0733197556008145,4.581993569131832
自上而下 L1 意图,助手随机1k,7,PLATFORM_ACCOUNT_SUPPORT,29,2.9531568228105907,2.813504823151125
自上而下 L1 意图,助手随机1k,8,PLOT_SYNOPSIS_ENDING,26,2.6476578411405294,2.7331189710610926
自上而下 L1 意图,助手随机1k,9,WORK_CAST_LOOKUP,21,2.1384928716904277,1.7684887459807073
自上而下 L1 意图,助手随机1k,10,ACCESS_SPECIFIC_EPISODE,18,1.8329938900203666,2.7331189710610926
自上而下 L2 子意图,2025搜索,1,ACCESS_WATCH__2,2024,20.244048809761953,29.86223438754664
自上而下 L2 子意图,2025搜索,2,BARE_TITLE_LOOKUP__6,1264,12.64252850570114,13.068196531180536
自上而下 L2 子意图,2025搜索,3,ACCESS_WATCH__1,977,9.771954390878175,7.849837670725355
自上而下 L2 子意图,2025搜索,4,BARE_TITLE_LOOKUP__1,877,8.771754350870173,6.369756971101682
自上而下 L2 子意图,2025搜索,5,BARE_TITLE_LOOKUP__2,865,8.651730346069213,8.052218905327479
自上而下 L2 子意图,2025搜索,6,ACCESS_WATCH__3,818,8.181636327265453,7.577047898837344
自上而下 L2 子意图,2025搜索,7,BARE_TITLE_LOOKUP__3,640,6.40128025605121,4.9121853635586135
自上而下 L2 子意图,2025搜索,8,BARE_TITLE_LOOKUP__4,345,3.4506901380276056,3.508664754336025
自上而下 L2 子意图,2025搜索,9,SITE_PORTAL_NAV__1,254,2.540508101620324,3.266347053363508
自上而下 L2 子意图,2025搜索,10,BARE_TITLE_LOOKUP__5,249,2.490498099619924,2.087376368674979
自上而下 L2 子意图,2026搜索,1,ACCESS_WATCH__2,1620,16.2016201620162,19.374911231713735
自上而下 L2 子意图,2026搜索,2,BARE_TITLE_LOOKUP__6,997,9.97099709970997,9.955410814627815
自上而下 L2 子意图,2026搜索,3,ACCESS_WATCH__1,918,9.18091809180918,6.920769678553785
自上而下 L2 子意图,2026搜索,4,BARE_TITLE_LOOKUP__2,883,8.83088308830883,7.133453491419235
自上而下 L2 子意图,2026搜索,5,ACCESS_WATCH__3,824,8.24082408240824,6.054191163379658
自上而下 L2 子意图,2026搜索,6,BARE_TITLE_LOOKUP__1,786,7.860786078607861,6.743333126624087
自上而下 L2 子意图,2026搜索,7,BARE_TITLE_LOOKUP__4,702,7.020702070207021,6.800232847966683
自上而下 L2 子意图,2026搜索,8,BARE_TITLE_LOOKUP__3,630,6.300630063006301,4.6762993176594385
自上而下 L2 子意图,2026搜索,9,BARE_TITLE_LOOKUP__5,417,4.17041704170417,3.3761514872063647
自上而下 L2 子意图,2026搜索,10,LIVE_TV_SCHEDULE__1,298,2.9802980298029804,11.056309599777554
自上而下 L2 子意图,助手头部1k,1,BARE_TITLE_LOOKUP__6,114,11.93717277486911,11.792586278479337
自上而下 L2 子意图,助手头部1k,2,ACCESS_WATCH__2,101,10.575916230366492,11.630555790293599
自上而下 L2 子意图,助手头部1k,3,BARE_TITLE_LOOKUP__2,81,8.481675392670157,8.435505619628834
自上而下 L2 子意图,助手头部1k,4,BARE_TITLE_LOOKUP__4,79,8.272251308900524,11.646722097504876
自上而下 L2 子意图,助手头部1k,5,PLOT_SYNOPSIS_ENDING__1,60,6.282722513089006,4.989877687189303
自上而下 L2 子意图,助手头部1k,6,BARE_TITLE_LOOKUP__3,51,5.340314136125654,4.762447138012499
自上而下 L2 子意图,助手头部1k,7,CLIP_QUOTE_DERIVATIVE__3,49,5.130890052356021,4.3972355614668714
自上而下 L2 子意图,助手头部1k,8,BARE_TITLE_LOOKUP__5,42,4.397905759162303,5.552391694927085
自上而下 L2 子意图,助手头部1k,9,ACCESS_WATCH__1,41,4.293193717277487,3.7380911265344205
自上而下 L2 子意图,助手头部1k,10,CLIP_QUOTE_DERIVATIVE__1,41,4.293193717277487,4.875243872418443
自上而下 L2 子意图,助手随机1k,1,LORE_QA_DISCUSSION__2,186,18.940936863543786,15.514469453376208
自上而下 L2 子意图,助手随机1k,2,LORE_QA_DISCUSSION__1,169,17.209775967413442,14.54983922829582
自上而下 L2 子意图,助手随机1k,3,CLIP_QUOTE_DERIVATIVE__3,86,8.75763747454175,14.228295819935692
自上而下 L2 子意图,助手随机1k,4,BARE_TITLE_LOOKUP__6,54,5.4989816700611,5.144694533762058
自上而下 L2 子意图,助手随机1k,5,BARE_TITLE_LOOKUP__2,45,4.582484725050916,4.983922829581994
自上而下 L2 子意图,助手随机1k,6,BROADCAST_FACTS__1,43,4.378818737270875,4.421221864951769
自上而下 L2 子意图,助手随机1k,7,IDENTIFY_TITLE_FROM_FRAGMENT__1,40,4.0733197556008145,4.581993569131833
自上而下 L2 子意图,助手随机1k,8,CLIP_QUOTE_DERIVATIVE__1,35,3.564154786150713,3.6173633440514474
自上而下 L2 子意图,助手随机1k,9,BARE_TITLE_LOOKUP__3,33,3.360488798370672,2.733118971061093
自上而下 L2 子意图,助手随机1k,10,BARE_TITLE_LOOKUP__1,32,3.258655804480652,2.9742765273311895
自下而上 家族,2025搜索,1,13,1838,18.38367673534707,21.88452100250864
自下而上 家族,2025搜索,2,9,1506,15.063012602520503,12.28256660788651
自下而上 家族,2025搜索,3,8,1196,11.9623924784957,8.431250619258373
自下而上 家族,2025搜索,4,14,903,9.031806361272254,6.464084837941224
自下而上 家族,2025搜索,5,11,650,6.501300260052011,5.088410340201555
自下而上 家族,2025搜索,6,6,642,6.42128425685137,5.572358859239456
自下而上 家族,2025搜索,7,7,518,5.181036207241449,4.03378369753324
自下而上 家族,2025搜索,8,4,443,4.430886177235447,3.0185038960849497
自下而上 家族,2025搜索,9,2,370,3.700740148029606,3.0395237287651367
自下而上 家族,2025搜索,10,1,341,3.4106821364272855,8.56981860820503
自下而上 家族,2026搜索,1,13,1475,14.751475147514752,18.00491701290466
自下而上 家族,2026搜索,2,9,1268,12.68126812681268,10.586476814223728
自下而上 家族,2026搜索,3,8,1197,11.971197119711972,10.75898435077626
自下而上 家族,2026搜索,4,14,863,8.630863086308631,6.467588323194579
自下而上 家族,2026搜索,5,10,749,7.490749074907491,6.817740454533635
自下而上 家族,2026搜索,6,7,734,7.340734073407341,6.030002180449172
自下而上 家族,2026搜索,7,6,682,6.82068206820682,5.115101710952456
自下而上 家族,2026搜索,8,11,680,6.800680068006801,4.993500661136194
自下而上 家族,2026搜索,9,16,663,6.630663066306631,6.161789328601692
自下而上 家族,2026搜索,10,5,413,4.130413041304131,12.614174519951108
自下而上 家族,助手头部1k,1,4,179,18.7434554973822,18.394318277847383
自下而上 家族,助手头部1k,2,8,131,13.717277486910994,13.495559776757991
自下而上 家族,助手头部1k,3,2,116,12.146596858638743,12.505740876140369
自下而上 家族,助手头部1k,4,9,79,8.272251308900524,6.794992853757381
自下而上 家族,助手头部1k,5,13,75,7.853403141361256,9.14498605656003
自下而上 家族,助手头部1k,6,7,70,7.329842931937173,7.614698112583634
自下而上 家族,助手头部1k,7,10,68,7.12041884816754,9.65532698193415
自下而上 家族,助手头部1k,8,11,60,6.282722513089006,5.682089568690272
自下而上 家族,助手头部1k,9,16,55,5.7591623036649215,6.002843800404893
自下而上 家族,助手头部1k,10,14,38,3.979057591623037,3.5451976882180696
自下而上 家族,助手随机1k,1,4,401,40.835030549898164,38.58520900321543
自下而上 家族,助手随机1k,2,2,122,12.423625254582484,17.684887459807076
自下而上 家族,助手随机1k,3,11,102,10.386965376782078,8.360128617363344
自下而上 家族,助手随机1k,4,8,82,8.35030549898167,8.038585209003216
自下而上 家族,助手随机1k,5,9,63,6.415478615071283,6.109324758842443
自下而上 家族,助手随机1k,6,7,53,5.39714867617108,5.225080385852091
自下而上 家族,助手随机1k,7,15,43,4.378818737270875,3.858520900321544
自下而上 家族,助手随机1k,8,10,29,2.9531568228105907,3.295819935691318
自下而上 家族,助手随机1k,9,17,18,1.8329938900203666,1.5273311897106112
自下而上 家族,助手随机1k,10,6,15,1.5274949083503055,1.688102893890675
自下而上 叶,2025搜索,1,3,1838,18.38367673534707,21.884521002508638
自下而上 叶,2025搜索,2,7,1506,15.063012602520503,12.282566607886508
自下而上 叶,2025搜索,3,6,1196,11.9623924784957,8.431250619258371
自下而上 叶,2025搜索,4,10,903,9.031806361272254,6.464084837941223
自下而上 叶,2025搜索,5,1,650,6.501300260052011,5.088410340201554
自下而上 叶,2025搜索,6,0,642,6.42128425685137,5.572358859239455
自下而上 叶,2025搜索,7,9,518,5.181036207241449,4.033783697533239
自下而上 叶,2025搜索,8,17,370,3.700740148029606,3.039523728765136
自下而上 叶,2025搜索,9,2,341,3.4106821364272855,8.569818608205027
自下而上 叶,2025搜索,10,11,340,3.4006801360272054,2.7260559001114206
自下而上 叶,2026搜索,1,3,1475,14.751475147514752,18.00491701290466
自下而上 叶,2026搜索,2,7,1268,12.68126812681268,10.586476814223728
自下而上 叶,2026搜索,3,6,1197,11.971197119711972,10.75898435077626
自下而上 叶,2026搜索,4,10,863,8.630863086308631,6.467588323194579
自下而上 叶,2026搜索,5,11,749,7.490749074907491,6.817740454533635
自下而上 叶,2026搜索,6,9,734,7.340734073407341,6.030002180449172
自下而上 叶,2026搜索,7,0,682,6.82068206820682,5.115101710952456
自下而上 叶,2026搜索,8,1,680,6.800680068006801,4.993500661136194
自下而上 叶,2026搜索,9,5,663,6.630663066306631,6.161789328601692
自下而上 叶,2026搜索,10,13,320,3.2003200320032,11.082306955232777
自下而上 叶,助手头部1k,1,6,131,13.717277486910994,13.495559776757991
自下而上 叶,助手头部1k,2,12,122,12.774869109947645,12.20629677665879
自下而上 叶,助手头部1k,3,17,116,12.146596858638743,12.505740876140369
自下而上 叶,助手头部1k,4,7,79,8.272251308900524,6.794992853757381
自下而上 叶,助手头部1k,5,3,75,7.853403141361256,9.14498605656003
自下而上 叶,助手头部1k,6,9,70,7.329842931937173,7.614698112583634
自下而上 叶,助手头部1k,7,11,68,7.12041884816754,9.65532698193415
自下而上 叶,助手头部1k,8,1,60,6.282722513089006,5.682089568690272
自下而上 叶,助手头部1k,9,5,55,5.7591623036649215,6.002843800404893
自下而上 叶,助手头部1k,10,19,41,4.293193717277487,4.404951298999526
自下而上 叶,助手随机1k,1,12,367,37.372708757637476,35.20900321543408
自下而上 叶,助手随机1k,2,17,122,12.423625254582484,17.684887459807072
自下而上 叶,助手随机1k,3,1,102,10.386965376782078,8.360128617363342
