快照,层级,n,类目数,有效类目数,熵,HHI,首位类目,首位占比%,前3占比%,前5占比%,前10占比%,前10流量占比%,前10流量摆动pp,前10流量占比%低,前10流量占比%高,流量有效n
2025搜索,自上而下 L1 意图,9998,17,4.82,1.572,0.3114,直接在线播放,39.69,82.58,88.62,97.24,97.95,0.0,97.95,97.95,410.9
2025搜索随机1w,自上而下 L1 意图,10000,17,10.33,2.3353,0.1314,裸片名导航,22.85,56.35,69.01,91.04,96.31,0.0,96.31,96.31,26.8
2026搜索,自上而下 L1 意图,9999,17,4.81,1.5713,0.3098,裸片名导航,40.39,81.93,89.25,97.37,98.09,0.24,97.85,98.09,630.4
2026搜索随机1w,自上而下 L1 意图,10000,17,9.72,2.2745,0.146,裸片名导航,24.16,60.94,72.0,90.5,95.41,0.0,95.41,95.41,9.8
助手头部1k,自上而下 L1 意图,955,17,8.41,2.1295,0.1681,裸片名导航,31.73,61.78,77.91,95.39,96.73,0.0,96.73,96.73,297.0
助手随机1k,自上而下 L1 意图,982,17,11.18,2.4141,0.1053,其他意图,14.77,41.04,66.09,92.16,93.09,0.0,93.09,93.09,177.4
助手语音头部1k,自上而下 L1 意图,999,15,5.22,1.6531,0.2936,裸片名导航,45.95,78.98,88.59,97.8,98.56,0.0,98.56,98.56,311.7
助手语音随机1k,自上而下 L1 意图,1000,17,9.31,2.2312,0.1498,裸片名导航,28.0,60.5,75.2,93.2,94.91,0.0,94.91,94.91,80.2
2025搜索,自上而下 L2 子意图,9998,51,15.31,2.7286,0.102,WATCH_DIRECT__3,20.2,43.93,64.48,82.79,85.78,0.0,85.78,85.78,410.9
2025搜索随机1w,自上而下 L2 子意图,10000,54,31.05,3.4355,0.0466,NON_DRAMA_VIDEO__1,11.17,27.1,39.98,58.93,83.39,0.0,83.39,83.39,26.8
2026搜索,自上而下 L2 子意图,9999,54,16.49,2.8029,0.0899,WATCH_DIRECT__3,17.58,38.55,58.35,82.19,83.9,0.0,83.9,83.9,630.4
2026搜索随机1w,自上而下 L2 子意图,10000,54,29.47,3.3835,0.0511,NON_DRAMA_VIDEO__1,11.87,29.18,43.32,62.03,84.18,0.0,84.18,84.18,9.8
助手头部1k,自上而下 L2 子意图,955,48,26.04,3.2597,0.0536,WATCH_DIRECT__3,10.99,29.11,42.09,63.14,63.63,0.76,62.87,63.63,297.0
助手随机1k,自上而下 L2 子意图,982,50,30.74,3.4256,0.0466,NON_DRAMA_VIDEO__1,11.91,28.0,38.39,56.21,58.52,0.0,58.52,58.52,177.4
助手语音头部1k,自上而下 L2 子意图,999,38,15.21,2.7219,0.098,WATCH_DIRECT__3,15.92,45.25,66.17,80.68,75.69,0.0,75.69,75.69,311.7
助手语音随机1k,自上而下 L2 子意图,1000,53,28.35,3.3446,0.0539,NON_DRAMA_VIDEO__1,13.4,31.2,42.3,61.1,71.81,0.0,71.81,71.81,80.2
2025搜索,自下而上 家族,9998,52,33.59,3.5141,0.0447,影视综艺视频搜索播放,12.86,27.55,35.03,51.57,61.61,0.0,61.61,61.61,410.9
2025搜索随机1w,自下而上 家族,10000,52,35.08,3.5575,0.041,查询作品剧情与详情信息,12.42,24.79,33.79,51.49,26.46,0.0,26.46,26.46,26.8
2026搜索,自下而上 家族,9999,52,33.71,3.5178,0.0402,影视综艺视频搜索播放,10.95,24.04,33.15,52.57,60.45,0.0,60.45,60.45,630.4
2026搜索随机1w,自下而上 家族,10000,52,37.77,3.6314,0.0352,查询作品剧情与详情信息,9.44,22.51,31.51,47.54,26.97,0.0,26.97,26.97,9.8
助手头部1k,自下而上 家族,955,50,28.75,3.3588,0.0512,影视综艺视频搜索播放,12.77,29.01,39.37,59.48,63.23,0.0,63.23,63.23,297.0
助手随机1k,自下而上 家族,982,49,21.06,3.0473,0.0824,虚构作品剧情设定与同人创作讨论查询,19.14,41.96,53.87,71.18,66.4,0.0,66.4,66.4,177.4
助手语音头部1k,自下而上 家族,999,51,26.57,3.2797,0.064,影视综艺视频搜索播放,19.52,31.03,41.64,60.56,60.17,0.8,60.17,60.98,311.7
助手语音随机1k,自下而上 家族,1000,50,31.24,3.4416,0.0442,影视综艺视频搜索播放,9.3,25.5,38.1,58.2,52.08,0.0,52.08,52.08,80.2
2025搜索,自下而上 叶,9998,58,35.3,3.5639,0.0442,影视视频搜索播放,12.86,27.55,35.03,51.57,61.61,0.0,61.61,61.61,410.9
2025搜索随机1w,自下而上 叶,10000,58,43.4,3.7704,0.0288,影视视频搜索播放,6.99,17.15,25.34,43.32,24.03,0.0,24.03,24.03,26.8
2026搜索,自下而上 叶,9999,58,35.4,3.5667,0.0395,影视视频搜索播放,10.95,24.04,33.15,51.61,58.93,0.0,58.93,58.93,630.4
2026搜索随机1w,自下而上 叶,10000,58,44.33,3.7918,0.0282,影视视频搜索播放,6.79,18.12,25.59,41.24,25.05,0.0,25.05,25.05,9.8
助手头部1k,自下而上 叶,955,56,33.74,3.5186,0.0427,影视视频搜索播放,12.77,23.56,33.61,52.46,55.91,0.0,55.91,55.91,297.0
助手随机1k,自下而上 叶,982,55,26.73,3.2858,0.0651,虚构作品剧情设定查询与同人创作讨论,19.14,33.91,43.99,63.14,59.41,0.0,59.41,59.41,177.4
助手语音头部1k,自下而上 叶,999,57,27.64,3.3191,0.0633,影视视频搜索播放,19.52,31.03,41.14,59.96,60.56,0.8,59.76,60.56,311.7
助手语音随机1k,自下而上 叶,1000,56,35.38,3.5662,0.0399,影视视频搜索播放,9.3,24.5,35.4,53.4,48.59,0.0,48.59,48.59,80.2
