外层,a,b,n_a,n_b,内层TVD,同源噪声上界,超出噪声,a主导内层,a主导占比%,b主导内层,b主导占比%,主导是否相同
影视视频搜索播放,2025搜索,2025搜索随机1w,1286,699,0.3434,0.0519,True,裸片名导航,90.75,裸片名导航,56.51,True
影视视频搜索播放,2025搜索,2026搜索,1286,1095,0.0099,0.0306,False,裸片名导航,90.75,裸片名导航,90.32,True
影视视频搜索播放,2025搜索,2026搜索随机1w,1286,679,0.3722,0.0513,True,裸片名导航,90.75,裸片名导航,53.61,True
影视视频搜索播放,2025搜索,助手头部1k,1286,122,0.1549,0.0723,True,裸片名导航,90.75,裸片名导航,77.05,True
影视视频搜索播放,2025搜索,助手随机1k,1286,70,0.5423,0.0991,True,裸片名导航,90.75,裸片名导航,37.14,True
影视视频搜索播放,2025搜索,助手语音头部1k,1286,195,0.0536,0.0544,False,裸片名导航,90.75,裸片名导航,86.67,True
影视视频搜索播放,2025搜索,助手语音随机1k,1286,93,0.3845,0.0852,True,裸片名导航,90.75,裸片名导航,52.69,True
影视视频搜索播放,2025搜索随机1w,2026搜索,699,1095,0.3389,0.0546,True,裸片名导航,56.51,裸片名导航,90.32,True
影视视频搜索播放,2025搜索随机1w,2026搜索随机1w,699,679,0.0499,0.0768,False,裸片名导航,56.51,裸片名导航,53.61,True
影视视频搜索播放,2025搜索随机1w,助手头部1k,699,122,0.2581,0.1356,True,裸片名导航,56.51,裸片名导航,77.05,True
影视视频搜索播放,2025搜索随机1w,助手随机1k,699,70,0.3498,0.1699,True,裸片名导航,56.51,裸片名导航,37.14,True
影视视频搜索播放,2025搜索随机1w,助手语音头部1k,699,195,0.3016,0.1022,True,裸片名导航,56.51,裸片名导航,86.67,True
影视视频搜索播放,2025搜索随机1w,助手语音随机1k,699,93,0.1382,0.142,False,裸片名导航,56.51,裸片名导航,52.69,True
影视视频搜索播放,2026搜索,2026搜索随机1w,1095,679,0.3693,0.0539,True,裸片名导航,90.32,裸片名导航,53.61,True
影视视频搜索播放,2026搜索,助手头部1k,1095,122,0.1556,0.0727,True,裸片名导航,90.32,裸片名导航,77.05,True
影视视频搜索播放,2026搜索,助手随机1k,1095,70,0.5391,0.1023,True,裸片名导航,90.32,裸片名导航,37.14,True
影视视频搜索播放,2026搜索,助手语音头部1k,1095,195,0.0493,0.0587,False,裸片名导航,90.32,裸片名导航,86.67,True
影视视频搜索播放,2026搜索,助手语音随机1k,1095,93,0.3818,0.0836,True,裸片名导航,90.32,裸片名导航,52.69,True
影视视频搜索播放,2026搜索随机1w,助手头部1k,679,122,0.29,0.134,True,裸片名导航,53.61,裸片名导航,77.05,True
影视视频搜索播放,2026搜索随机1w,助手随机1k,679,70,0.3489,0.1906,True,裸片名导航,53.61,裸片名导航,37.14,True
影视视频搜索播放,2026搜索随机1w,助手语音头部1k,679,195,0.3306,0.1109,True,裸片名导航,53.61,裸片名导航,86.67,True
影视视频搜索播放,2026搜索随机1w,助手语音随机1k,679,93,0.1135,0.158,False,裸片名导航,53.61,裸片名导航,52.69,True
影视视频搜索播放,助手头部1k,助手随机1k,122,70,0.4054,0.1874,True,裸片名导航,77.05,裸片名导航,37.14,True
影视视频搜索播放,助手头部1k,助手语音头部1k,122,195,0.1126,0.1006,True,裸片名导航,77.05,裸片名导航,86.67,True
影视视频搜索播放,助手头部1k,助手语音随机1k,122,93,0.2518,0.1537,True,裸片名导航,77.05,裸片名导航,52.69,True
影视视频搜索播放,助手随机1k,助手语音头部1k,70,195,0.4952,0.1616,True,裸片名导航,37.14,裸片名导航,86.67,True
影视视频搜索播放,助手随机1k,助手语音随机1k,70,93,0.3349,0.2375,True,裸片名导航,37.14,裸片名导航,52.69,True
影视视频搜索播放,助手语音头部1k,助手语音随机1k,195,93,0.3398,0.1345,True,裸片名导航,86.67,裸片名导航,52.69,True
免费在线观看电视剧资源查找,2025搜索,2025搜索随机1w,370,58,0.0287,0.0683,False,直接在线播放,94.86,直接在线播放,96.55,True
免费在线观看电视剧资源查找,2025搜索,2026搜索,370,462,0.019,0.0347,False,直接在线播放,94.86,直接在线播放,94.59,True
免费在线观看电视剧资源查找,2025搜索,2026搜索随机1w,370,97,0.0451,0.0568,False,直接在线播放,94.86,直接在线播放,91.75,True
免费在线观看电视剧资源查找,2025搜索,助手头部1k,370,33,0.1077,0.0888,True,直接在线播放,94.86,直接在线播放,87.88,True
