key,类目,a,b,k_a,k_b,n_a,n_b,占比_a%,占比_b%,差_pp,低_pp,高_pp,显著,类型
0,查询剧情结局,2025搜索,2025搜索随机1w,39,195,9998,10000,0.39,1.95,1.56,1.269,1.868,True,共有
1,查询影视剧集数与情节所在集数,2025搜索,2025搜索随机1w,49,360,9998,10000,0.49,3.6,3.11,2.728,3.511,True,共有
10,查询爱情题材影视与情感类片段,2025搜索,2025搜索随机1w,100,73,9998,10000,1.0,0.73,-0.27,-0.532,-0.013,True,共有
11,泰剧资源与观看渠道查询,2025搜索,2025搜索随机1w,75,38,9998,10000,0.75,0.38,-0.37,-0.585,-0.163,True,共有
12,含“恋”影视与词条内容查找,2025搜索,2025搜索随机1w,67,45,9998,10000,0.67,0.45,-0.22,-0.433,-0.012,True,共有
13,奥特曼影视与角色查询,2025搜索,2025搜索随机1w,38,64,9998,10000,0.38,0.64,0.26,0.062,0.464,True,共有
14,鬼灭之刃等惊悚悬疑影视在线观看查询,2025搜索,2025搜索随机1w,463,256,9998,10000,4.631,2.56,-2.071,-2.59,-1.557,True,共有
15,查找儿童动画片视频,2025搜索,2025搜索随机1w,221,393,9998,10000,2.21,3.93,1.72,1.244,2.201,True,共有
16,查询影视动漫游戏作品信息,2025搜索,2025搜索随机1w,378,397,9998,10000,3.781,3.97,0.189,-0.347,0.726,False,共有
17,动画片查询观看,2025搜索,2025搜索随机1w,44,121,9998,10000,0.44,1.21,0.77,0.523,1.029,True,共有
18,动漫免费在线观看,2025搜索,2025搜索随机1w,363,229,9998,10000,3.631,2.29,-1.341,-1.814,-0.872,True,共有
19,获取或生成视频,2025搜索,2025搜索随机1w,60,213,9998,10000,0.6,2.13,1.53,1.214,1.86,True,共有
2,虚构作品剧情设定查询与同人创作讨论,2025搜索,2025搜索随机1w,50,275,9998,10000,0.5,2.75,2.25,1.908,2.61,True,共有
20,影视剧演员表查询,2025搜索,2025搜索随机1w,186,422,9998,10000,1.86,4.22,2.36,1.888,2.84,True,共有
22,影视动漫及娱乐视频查询,2025搜索,2025搜索随机1w,38,93,9998,10000,0.38,0.93,0.55,0.329,0.782,True,共有
23,App下载安装渠道查询,2025搜索,2025搜索随机1w,85,118,9998,10000,0.85,1.18,0.33,0.052,0.612,True,共有
24,查询直播平台与节目播出信息,2025搜索,2025搜索随机1w,37,120,9998,10000,0.37,1.2,0.83,0.59,1.084,True,共有
25,查询哔哩哔哩平台入口及相关内容,2025搜索,2025搜索随机1w,47,59,9998,10000,0.47,0.59,0.12,-0.083,0.326,False,共有
26,查询影视综艺免费观看资源,2025搜索,2025搜索随机1w,134,260,9998,10000,1.34,2.6,1.26,0.877,1.65,True,共有
27,快手应用下载与使用查询,2025搜索,2025搜索随机1w,40,83,9998,10000,0.4,0.83,0.43,0.215,0.654,True,共有
28,查询完整版视频免费观看资源,2025搜索,2025搜索随机1w,310,174,9998,10000,3.101,1.74,-1.361,-1.791,-0.937,True,共有
29,免费影视观看查询,2025搜索,2025搜索随机1w,160,223,9998,10000,1.6,2.23,0.63,0.25,1.013,True,共有
3,查询影视剧名称与详情,2025搜索,2025搜索随机1w,32,340,9998,10000,0.32,3.4,3.08,2.718,3.465,True,共有
30,影视全集免费观看查询,2025搜索,2025搜索随机1w,226,181,9998,10000,2.26,1.81,-0.45,-0.845,-0.059,True,共有
31,电影信息查询,2025搜索,2025搜索随机1w,266,538,9998,10000,2.661,5.38,2.719,2.179,3.267,True,共有
32,影视在线观看渠道查询,2025搜索,2025搜索随机1w,187,70,9998,10000,1.87,0.7,-1.17,-1.49,-0.862,True,共有
33,查询抖音功能设置与使用问题解决方法,2025搜索,2025搜索随机1w,23,382,9998,10000,0.23,3.82,3.59,3.214,3.991,True,共有
34,解析抖音作品分享口令,2025搜索,2025搜索随机1w,1,8,9998,10000,0.01,0.08,0.07,0.009,0.148,True,共有
36,抖音下载安装与客服查询,2025搜索,2025搜索随机1w,52,63,9998,10000,0.52,0.63,0.11,-0.102,0.324,False,共有
37,免费电影在线观看,2025搜索,2025搜索随机1w,250,112,9998,10000,2.501,1.12,-1.381,-1.756,-1.014,True,共有
38,在线观看电影,2025搜索,2025搜索随机1w,200,92,9998,10000,2.0,0.92,-1.08,-1.419,-0.751,True,共有
39,免费在线观看电视剧资源查找,2025搜索,2025搜索随机1w,370,58,9998,10000,3.701,0.58,-3.121,-3.53,-2.73,True,共有
4,查询影视剧情介绍,2025搜索,2025搜索随机1w,78,166,9998,10000,0.78,1.66,0.88,0.578,1.191,True,共有
40,影视在线观看查询,2025搜索,2025搜索随机1w,370,190,9998,10000,3.701,1.9,-1.801,-2.262,-1.346,True,共有
41,查询女性相关视频,2025搜索,2025搜索随机1w,173,195,9998,10000,1.73,1.95,0.22,-0.154,0.595,False,共有
42,影视作品资源与剧情查询,2025搜索,2025搜索随机1w,220,133,9998,10000,2.2,1.33,-0.87,-1.24,-0.507,True,共有
43,少女少年影视资源查询,2025搜索,2025搜索随机1w,97,83,9998,10000,0.97,0.83,-0.14,-0.406,0.123,False,共有
44,查询姐姐/姐妹相关影视与人物信息,2025搜索,2025搜索随机1w,46,51,9998,10000,0.46,0.51,0.05,-0.146,0.247,False,共有
45,美字相关影视视频与美容内容查询,2025搜索,2025搜索随机1w,102,120,9998,10000,1.02,1.2,0.18,-0.112,0.474,False,共有
46,影视视频搜索播放,2025搜索,2025搜索随机1w,1286,699,9998,10000,12.863,6.99,-5.873,-6.699,-5.049,True,共有
48,第三季影视免费在线观看查询,2025搜索,2025搜索随机1w,117,100,9998,10000,1.17,1.0,-0.17,-0.461,0.118,False,共有
49,第一季影视动漫观看资源查询,2025搜索,2025搜索随机1w,180,104,9998,10000,1.8,1.04,-0.76,-1.093,-0.434,True,共有
5,短剧免费全集观看查询,2025搜索,2025搜索随机1w,113,96,9998,10000,1.13,0.96,-0.17,-0.456,0.113,False,共有
50,查询影视动漫第二季在线观看资源,2025搜索,2025搜索随机1w,139,138,9998,10000,1.39,1.38,-0.01,-0.336,0.316,False,共有
51,指定季数影视综免费在线观看查询,2025搜索,2025搜索随机1w,118,62,9998,10000,1.18,0.62,-0.56,-0.829,-0.3,True,共有
52,奔跑吧各季节目查询观看,2025搜索,2025搜索随机1w,55,35,9998,10000,0.55,0.35,-0.2,-0.392,-0.014,True,共有
53,查询电视剧,2025搜索,2025搜索随机1w,282,323,9998,10000,2.821,3.23,0.409,-0.066,0.886,False,共有
54,短剧查询与在线观看,2025搜索,2025搜索随机1w,46,183,9998,10000,0.46,1.83,1.37,1.081,1.674,True,共有
