key,类目,快照,方向,该快照条数,该快照n,该快照占比%,其余快照合并占比%,最弱一对的区间端点pp,对比了几个快照
BARE_TITLE_LOOKUP,裸片名导航,助手随机1k,显著低于其余全部,125,982,12.729,31.741,-7.747,7
BARE_TITLE_LOOKUP,裸片名导航,助手语音头部1k,显著高于其余全部,459,999,45.946,30.975,2.335,7
WATCH_DIRECT,直接在线播放,2025搜索,显著高于其余全部,3968,9998,39.688,26.044,0.825,7
WATCH_DIRECT,直接在线播放,助手随机1k,显著低于其余全部,91,982,9.267,29.604,-3.915,7
SITE_NAVIGATION,站点与聚合站导航,助手随机1k,显著低于其余全部,6,982,0.611,3.187,-0.217,7
CAST_LOOKUP,演员及人剧关系查询,助手语音头部1k,显著低于其余全部,8,999,0.801,3.929,-0.494,7
NON_DRAMA_VIDEO,非影视剧视频获取,2026搜索,显著低于其余全部,196,9999,1.96,9.739,-0.208,7
NON_DRAMA_VIDEO,非影视剧视频获取,助手语音随机1k,显著高于其余全部,164,1000,16.4,7.773,0.679,7
RECOMMENDATION,推荐同类片单,助手头部1k,显著高于其余全部,45,955,4.712,2.048,0.155,7
PLOT_INFO_QA,剧情与结局问答,助手随机1k,显著高于其余全部,133,982,13.544,3.045,3.058,7
PLATFORM_HELP,平台功能与规则求助,2025搜索随机1w,显著高于其余全部,630,10000,6.3,2.234,1.257,7
WORK_FACT_QA,作品点状事实问答,助手随机1k,显著高于其余全部,124,982,12.627,3.52,2.486,7
FACT_VERIFICATION,是非与同一性裁决,助手随机1k,显著高于其余全部,60,982,6.11,0.691,3.363,7
