label,a,b,k_a,k_b,n_a,n_b,share_a,share_b,diff_pp,lo_pp,hi_pp,kind,sig,why
启动翻译工具或查询英汉词句,2025search,2026search,2099,1837,9989,9981,0.21013114425868457,0.18404969441939686,-2.6081449839287703,-3.7107243845065243,-1.5049509422127645,stable,True,时间（搜索内部，2025→2026）
按裸校名检索院校信息,2025search,2026search,2377,2144,9989,9981,0.2379617579337271,0.21480813545736901,-2.315362247635808,-3.4753563089642308,-1.1546298293944082,stable,True,时间（搜索内部，2025→2026）
查询录取分数线与录取数据,2025search,2026search,416,234,9989,9981,0.041645810391430574,0.023444544634806132,-1.820126575662444,-2.3158264743673973,-1.3303401869310565,stable,True,时间（搜索内部，2025→2026）
进行升学与择校志愿决策咨询,2025search,2026search,442,353,9989,9981,0.044248673540894984,0.035367197675583606,-0.8881475865311378,-1.4324420244665346,-0.34601328342464355,stable,True,时间（搜索内部，2025→2026）
判定高校办学层次与标签,2025search,2026search,248,186,9989,9981,0.024827310041045148,0.018635407273820258,-0.619190276722489,-1.0267459766540603,-0.21487834553436583,stable,True,时间（搜索内部，2025→2026）
了解专业培养内容与就业前景,2025search,2026search,350,295,9989,9981,0.0350385423966363,0.02955615669772568,-0.548238569891062,-1.0406627444081344,-0.057566320219899075,stable,True,时间（搜索内部，2025→2026）
完成中小学学科作业与写作任务,2025search,2026search,174,130,9989,9981,0.017419161077184903,0.01302474701933674,-0.4394414057848163,-0.7826957732435136,-0.09964038863701812,stable,True,时间（搜索内部，2025→2026）
按结构约束列举字词,2025search,2026search,77,49,9989,9981,0.007708479327259986,0.004909327722673079,-0.2799151604586907,-0.505521744738475,-0.05995050377544417,stable,True,时间（搜索内部，2025→2026）
查询考试成绩与出分动态,2025search,2026search,104,103,9989,9981,0.010411452597857643,0.010319607253782186,-0.009184534407545748,-0.2926283434272443,0.27418104487966094,stable,False,时间（搜索内部，2025→2026）
检索古诗文与课文原文,2025search,2026search,467,469,9989,9981,0.04675142656922615,0.046989279631299466,0.02378530620733149,-0.563391662958023,0.6110382248203634,stable,False,时间（搜索内部，2025→2026）
查询官方教务与考试办事流程,2025search,2026search,13,18,9989,9981,0.0013014315747322054,0.0018034265103697023,0.05019949356374969,-0.0634951673607348,0.1679180678049648,stable,False,时间（搜索内部，2025→2026）
生成生字组词,2025search,2026search,153,164,9989,9981,0.015316848533386725,0.016431219316701735,0.111437078331501,-0.23675637578616845,0.46050299808349804,stable,False,时间（搜索内部，2025→2026）
进入高校官网及校内业务平台,2025search,2026search,186,219,9989,9981,0.018620482530783862,0.021941689209498048,0.3321206678714186,-0.05956217322020587,0.7257340087751452,stable,False,时间（搜索内部，2025→2026）
查询职业资格与成人学历提升,2025search,2026search,75,116,9989,9981,0.007508259084993493,0.01162208195571586,0.41138228707223673,0.14160321985362007,0.6866024153082066,stable,True,时间（搜索内部，2025→2026）
查询词语或成语释义,2025search,2026search,160,207,9989,9981,0.016017619381319452,0.020739404869251576,0.4721785487932124,0.09941632118584424,0.8480002296366921,stable,True,时间（搜索内部，2025→2026）
求生肖谜语博彩谜底,2025search,2026search,176,270,9989,9981,0.017619381319451396,0.027051397655545536,0.943201633609414,0.5343731922260593,1.3569116751171242,stable,True,时间（搜索内部，2025→2026）
查询汉字笔顺写法,2025search,2026search,130,249,9989,9981,0.013014315747322053,0.024947400060114217,1.1933084312792164,0.8171696727713239,1.5769565680436846,stable,True,时间（搜索内部，2025→2026）
导航至官方招考政务门户与登录入口,2025search,2026search,302,424,9989,9981,0.030233256582240464,0.04248071335537521,1.2247456773134748,0.7064053794289166,1.74654177387002,stable,True,时间（搜索内部，2025→2026）
无意图或上下文依赖的残余查询,2025search,2026search,1034,1175,9989,9981,0.10351386525177696,0.11772367498246669,1.4209809730689735,0.5510113180761573,2.2913943235483107,stable,True,时间（搜索内部，2025→2026）
查询汉字或词语读音,2025search,2026search,1006,1339,9989,9981,0.10071078186004605,0.1341548942991684,3.344411243912236,2.452660648253335,4.236949146686387,stable,True,时间（搜索内部，2025→2026）
按裸校名检索院校信息,2026search,assistant_top,2144,3,9981,859,0.21480813545736901,0.0034924330616996507,-21.131570239566937,-21.980044836906444,-20.090549634221894,stable,True,界面（同为头部流量）
启动翻译工具或查询英汉词句,2026search,assistant_top,1837,48,9981,859,0.18404969441939686,0.05587892898719441,-12.817076543220246,-14.37027480534487,-10.920333986542403,stable,True,界面（同为头部流量）
