source,label,k,n,row_share,lo,hi,pv_share
2025search,中英文翻译查询,206,9989,0.020622684953448794,0.01801443077068428,0.023599504624208862,0.021059111752545063
2025search,高考信息查询,75,9989,0.007508259084993493,0.005994496279891513,0.009400670301538332,0.010041388219051052
2025search,官网入口查询,69,9989,0.0069075983581940135,0.005462217714752358,0.00873208922636619,0.015345752537618648
2025search,高考志愿填报信息查询,100,9989,0.010011012113324657,0.00823840569159805,0.012160342724462196,0.012258892610769364
2025search,查询中考成绩,181,9989,0.01811993192511763,0.015683386991375097,0.020926966568887647,0.018388935783974297
2025search,考试招生官网查询,53,9989,0.005305836420062068,0.004058990189856628,0.006933024377098464,0.010299270227271116
2025search,生肖谜底查询,87,9989,0.008709580538592452,0.007066871368496755,0.010730014493555682,0.010811031718328383
2025search,查询高校与职业院校信息,2672,9989,0.2674942436680348,0.25890423052346706,0.2762630170393687,0.4769691529581928
2025search,录取分数线查询,422,9989,0.04224647111823005,0.0384746192408081,0.046370263205291695,0.030439135316886603
2025search,查找古诗文原文,330,9989,0.03303633997397137,0.029706928815592424,0.0367247724790675,0.028629186316784155
2025search,短词模糊查询处理,177,9989,0.017719491440584642,0.015311549139218018,0.020498231327503856,0.013376334499893932
2025search,查询好词好句与名言故事素材,138,9989,0.013815196716388027,0.011705922666662257,0.016298270138036197,0.010682950906076951
2025search,教育考试院官网查询,131,9989,0.013114425868455301,0.011063207554763855,0.015539982336238087,0.01664302718999756
2025search,词语释义查询,260,9989,0.026028631494644107,0.023083742896292583,0.02933792926140222,0.016441004987778604
2025search,查询极短词条,128,9989,0.012814095505055561,0.010788246159008748,0.015214513911837545,0.008592193151482455
2025search,查询专业与院校信息,168,9989,0.016818500350385426,0.014476173274752407,0.01953231773150253,0.01618070039840576
2025search,生成作业与学习内容,222,9989,0.022224446891580738,0.019512012400519366,0.02530421536853723,0.01589627532712043
2025search,高校985/211属性查询,93,9989,0.009310241265391931,0.007606437027021509,0.011391308475342225,0.006370194696176372
2025search,查询词语对应生肖,96,9989,0.009610571628791672,0.007876969486339577,0.011721205836179804,0.008745939280004668
2025search,教育服务平台官网查询,64,9989,0.0064070477525277805,0.005020969236349053,0.008172621337843414,0.006132360424742376
2025search,英文单词查询,1862,9989,0.18640504555010512,0.17888916281115758,0.1941620333096532,0.10287522464173712
2025search,查询职业资格考试报名信息,77,9989,0.007708479327259986,0.006172538489089227,0.009622914639111052,0.006525380329441543
2025search,按需求生成与改写文本,145,9989,0.014515967564320753,0.012350136994440724,0.01705505872395424,0.010206229067055572
2025search,汉字读音释义查询,314,9989,0.031434578035839426,0.02818881758917078,0.03504059133132569,0.01590852867237146
2025search,查询中文内容拼音读音,1015,9989,0.10161177295024527,0.09583904357809112,0.10769079998544176,0.05906217740610935
2025search,汉字笔顺查询,133,9989,0.013314646110721794,0.011246680798393333,0.01575679563937904,0.007709109656485717
2025search,考试升学报考条件与学制学费查询,34,9989,0.003403744118530383,0.0024368634429725103,0.0047524289296634785,0.0019302003109470686
2025search,汉字组词查询,128,9989,0.012814095505055561,0.010788246159008748,0.015214513911837545,0.006785017831250582
2025search,查询专业学习内容与就业方向,101,9989,0.010111122234457903,0.008328889304693266,0.012270002384752194,0.006759001416262008
2025search,专业就业方向及前景查询,83,9989,0.008309140054059465,0.006708353428708165,0.010287959339803409,0.005439361775559583
2025search,查询拼音字母与声韵母发音表,45,9989,0.004504955450996096,0.003368678636850352,0.006022189743023014,0.0033799922463359153
2025search,查询院校基本信息,46,9989,0.004605065572129342,0.003454461649591744,0.006136550003666837,0.002939082476529577
2025search,查询词语概念含义与基础常识,69,9989,0.0069075983581940135,0.005462217714752358,0.00873208922636619,0.003618528715205503
2025search,查询汉字与词语,36,9989,0.0036039643607968766,0.0026044697524519253,0.004985109166954497,0.0022938683628386165
2025search,查询高校一本二本层次,149,9989,0.01491640804885374,0.012718891601130905,0.017486877210804927,0.007554310231810119
2025search,查询事物区别,27,9989,0.0027029732705976576,0.0018583755376415934,0.0039299139212978845,0.001297801300455607
2025search,院校专业名单查询,21,9989,0.002102312543798178,0.001375505191348316,0.003211924627279866,0.000978652565980402
2025search,多音字组词查询,32,9989,0.0032035238762638902,0.00227021204909962,0.004518793776765937,0.001434694690523684
2026search,生肖谜底查询,155,9981,0.015529506061516882,0.01328348759845667,0.01814830430066667,0.023251095897824443
