key,类目,全语料条数,2025搜索_n,2025搜索_置信度均值,2025搜索_意图歧义%,2025搜索_聚类歧义%,2026搜索_n,2026搜索_置信度均值,2026搜索_意图歧义%,2026搜索_聚类歧义%,助手头部1k_n,助手头部1k_置信度均值,助手头部1k_意图歧义%,助手头部1k_聚类歧义%,助手随机1k_n,助手随机1k_置信度均值,助手随机1k_意图歧义%,助手随机1k_聚类歧义%,置信度最低快照,置信度极差,全语料置信度均值
GOVERNMENT_SERVICE_PROCESS_INQUIRY,查询官方教务与考试办事流程,35,13,0.4822,7.69,7.69,18,0.4474,16.67,11.11,0,,,,4,0.4894,0.0,50.0,,,0.4651
STRUCTURAL_WORD_LISTING,按结构约束列举字词,144,77,0.6432,5.19,25.97,49,0.7303,2.04,22.45,4,0.6709,0.0,25.0,14,0.4601,14.29,57.14,2025搜索,0.0871,0.6558
ADULT_CERTIFICATION_AND_DEGREE_INQUIRY,查询职业资格与成人学历提升,230,75,0.7095,1.33,12.0,116,0.7282,1.72,12.93,5,0.563,0.0,20.0,34,0.5463,2.94,20.59,助手随机1k,0.1819,0.6916
HOMEWORK_ASSISTANCE,完成中小学学科作业与写作任务,646,174,0.7194,2.3,14.37,130,0.6895,3.85,16.92,105,0.7062,1.9,25.71,237,0.6794,3.8,26.16,助手随机1k,0.04,0.6966
ENROLLMENT_DELIBERATION,进行升学与择校志愿决策咨询,893,442,0.7274,1.13,9.05,353,0.7237,1.13,11.33,27,0.6704,7.41,11.11,71,0.4674,8.45,32.39,助手随机1k,0.26,0.7035
CAMPUS_PORTAL_NAVIGATION,进入高校官网及校内业务平台,410,186,0.7716,1.08,20.97,219,0.7775,0.0,21.0,1,0.6075,0.0,0.0,4,0.3224,25.0,0.0,2025搜索,0.0059,0.77
UNCLASSIFIABLE_OTHER,无意图或上下文依赖的残余查询,3129,1034,0.7743,1.84,25.34,1175,0.8099,1.36,25.87,532,0.8039,0.94,28.57,388,0.6044,2.32,27.58,助手随机1k,0.2055,0.7716
CLASSICAL_TEXT_RETRIEVAL,检索古诗文与课文原文,1042,467,0.807,1.07,21.41,469,0.7946,1.49,21.32,51,0.6508,3.92,19.61,55,0.5564,3.64,32.73,助手随机1k,0.2506,0.7806
WORD_MEANING_LOOKUP,查询词语或成语释义,399,160,0.8097,0.62,8.75,207,0.8372,0.0,7.73,9,0.6098,11.11,22.22,23,0.7428,8.7,17.39,助手随机1k,0.0944,0.8156
MAJOR_AND_CAREER_EXPLORATION,了解专业培养内容与就业前景,669,350,0.8542,0.29,6.86,295,0.8713,0.68,5.08,2,0.3865,0.0,0.0,22,0.5341,9.09,18.18,助手随机1k,0.3372,0.8498
GOVERNMENT_EXAM_PORTAL_NAVIGATION,导航至官方招考政务门户与登录入口,728,302,0.8731,0.33,3.31,424,0.846,1.18,4.72,1,0.9958,0.0,0.0,1,0.3994,0.0,100.0,2026搜索,0.0271,0.8568
ZODIAC_RIDDLE_ANSWER,求生肖谜语博彩谜底,492,176,0.8576,0.0,3.41,270,0.8672,0.37,2.59,26,0.8572,0.0,7.69,20,0.7337,10.0,10.0,助手随机1k,0.1335,0.8578
EXAM_RESULT_TRACKING,查询考试成绩与出分动态,207,104,0.8722,0.0,1.92,103,0.8538,0.0,3.88,0,,,,0,,,,2026搜索,0.0184,0.8631
TRANSLATION_AND_TOOL_LOOKUP,启动翻译工具或查询英汉词句,4041,2099,0.9197,0.14,6.57,1837,0.9173,0.33,6.8,48,0.7921,2.08,4.17,57,0.7257,1.75,19.3,助手随机1k,0.194,0.9144
INSTITUTION_TIER_VERDICT,判定高校办学层次与标签,437,248,0.9365,0.0,1.61,186,0.9201,0.0,0.54,1,0.8944,0.0,100.0,2,0.5678,0.0,0.0,2026搜索,0.0164,0.9277
ADMISSION_SCORE_LOOKUP,查询录取分数线与录取数据,661,416,0.9664,0.0,5.05,234,0.9175,0.43,8.97,4,0.6702,0.0,25.0,7,0.799,14.29,57.14,2026搜索,0.0489,0.9455
STROKE_ORDER_LOOKUP,查询汉字笔顺写法,382,130,0.9679,0.0,0.77,249,0.9615,0.0,1.2,0,,,,3,0.8795,0.0,0.0,2026搜索,0.0064,0.963
WORD_FORMATION,生成生字组词,351,153,0.9702,0.0,0.0,164,0.9696,0.0,0.0,28,0.9601,0.0,3.57,6,0.8926,0.0,16.67,助手头部1k,0.0101,0.9678
INSTITUTION_NAME_LOOKUP,按裸校名检索院校信息,4534,2377,0.9736,0.13,1.6,2144,0.9751,0.05,1.54,3,0.8555,0.0,0.0,10,0.4842,0.0,40.0,2025搜索,0.0015,0.9732
CHARACTER_PRONUNCIATION_LOOKUP,查询汉字或词语读音,2369,1006,0.9832,0.1,2.58,1339,0.9802,0.22,2.84,12,0.9021,0.0,8.33,12,0.7546,0.0,16.67,2026搜索,0.003,0.98
