key,类目,搜索条数,搜索n,搜索占比%,助手条数,助手n,助手占比%,差_pp,低_pp,高_pp,显著,归属,另一边期望条数,另一边P(0),缺席判定,助手行占该类比例%
TRANSLATION_AND_TOOL_LOOKUP__1,TRANSLATION_AND_TOOL_LOOKUP__1,3441,19970,17.231,26,1829,1.422,-15.809,-16.504,-14.976,True,两界面都有,,,,0.75
CHARACTER_PRONUNCIATION_LOOKUP__1,CHARACTER_PRONUNCIATION_LOOKUP__1,1644,19970,8.232,13,1829,0.711,-7.522,-8.01,-6.896,True,两界面都有,,,,0.78
INSTITUTION_NAME_LOOKUP__5,INSTITUTION_NAME_LOOKUP__5,1377,19970,6.895,5,1829,0.273,-6.622,-7.014,-6.121,True,两界面都有,,,,0.36
INSTITUTION_NAME_LOOKUP__3,INSTITUTION_NAME_LOOKUP__3,847,19970,4.241,0,1829,0.0,-4.241,-4.53,-3.899,True,仅搜索,77.57,0.0,真缺席,0.0
INSTITUTION_NAME_LOOKUP__6,INSTITUTION_NAME_LOOKUP__6,788,19970,3.946,2,1829,0.109,-3.837,-4.127,-3.447,True,两界面都有,,,,0.25
INSTITUTION_NAME_LOOKUP__4,INSTITUTION_NAME_LOOKUP__4,780,19970,3.906,3,1829,0.164,-3.742,-4.04,-3.332,True,两界面都有,,,,0.38
CHARACTER_PRONUNCIATION_LOOKUP__2,CHARACTER_PRONUNCIATION_LOOKUP__2,701,19970,3.51,11,1829,0.601,-2.909,-3.283,-2.376,True,两界面都有,,,,1.54
GOVERNMENT_EXAM_PORTAL_NAVIGATION__1,GOVERNMENT_EXAM_PORTAL_NAVIGATION__1,443,19970,2.218,1,1829,0.055,-2.164,-2.382,-1.843,True,两界面都有,,,,0.23
INSTITUTION_NAME_LOOKUP__2,INSTITUTION_NAME_LOOKUP__2,410,19970,2.053,3,1829,0.164,-1.889,-2.122,-1.521,True,两界面都有,,,,0.73
INSTITUTION_NAME_LOOKUP__1,INSTITUTION_NAME_LOOKUP__1,319,19970,1.597,0,1829,0.0,-1.597,-1.781,-1.331,True,仅搜索,29.22,0.0,真缺席,0.0
