key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导意图,主导意图占比%,盲评一致性,风险标注,user_need
12,查询高校与职业院校信息,当用户输入院校名称（包括“是几本”“官网”等变体）时，系统返回该院校的基本信息、办学层次或官网入口，用户即得到满足。,5121,23.492,2672,26.749,25.89,27.626,47.697,2408,24.126,23.297,24.975,44.933,14,1.63,0.973,2.717,1.435,27,2.784,1.92,4.02,7.673,48.38,1.1387,1.9353,43.64,1.027,1.7454,2.95,0.0694,0.1179,5.03,0.1185,0.2014,4,,,2025搜索,助手头部1k,25.12,16.41,1,1,15,10,按裸校名检索院校信息,87.6,4.0,,当用户输入院校名称（包括“是几本”“官网”等变体）时，系统返回该院校的基本信息、办学层次或官网入口，用户即得到满足。
26,英文单词查询,用户输入一个英文单词后，系统返回该词的释义、翻译或用法说明，使用户能确认其含义或用法。,3505,16.079,1862,18.641,17.889,19.416,10.288,1591,15.94,15.235,16.672,8.181,29,3.376,2.361,4.806,6.696,23,2.371,1.585,3.533,3.336,46.22,1.1593,1.8489,39.53,0.9914,1.5811,8.37,0.21,0.3349,5.88,0.1475,0.2352,4,,,2025搜索,助手随机1k,16.269,7.86,2,2,9,12,启动翻译工具或查询英汉词句,97.9,2.0,,用户输入一个英文单词后，系统返回该词的释义、翻译或用法说明，使用户能确认其含义或用法。
39,查询中文内容拼音读音,用户想知道某个汉字、词语或文本片段的标准读音或拼音；获得对应的拼音标注或读音说明后即满足。,2421,11.106,1015,10.161,9.584,10.769,5.906,1363,13.656,12.996,14.344,8.331,23,2.678,1.791,3.986,4.172,20,2.062,1.339,3.163,2.585,35.58,0.9149,1.4233,47.82,1.2296,1.9128,9.38,0.2411,0.3751,7.22,0.1857,0.2888,4,,,2026搜索,助手随机1k,11.594,6.62,3,3,10,13,查询汉字或词语读音,95.9,4.0,,用户想知道某个汉字、词语或文本片段的标准读音或拼音；获得对应的拼音标注或读音说明后即满足。
23,查找古诗文原文,用户提供古诗或古文篇目名、作者或诗句，获得对应作品的原文全文（含作者、朝代等信息）即满足。,734,3.367,330,3.304,2.971,3.672,2.863,327,3.276,2.945,3.644,2.977,40,4.657,3.438,6.279,2.457,37,3.814,2.78,5.213,3.753,21.95,0.9811,0.878,21.77,0.973,0.8707,30.94,1.383,1.2376,25.34,1.1328,1.0137,4,,,助手头部1k,2026搜索,1.38,1.42,5,5,7,6,检索古诗文与课文原文,88.0,4.0,,用户提供古诗或古文篇目名、作者或诗句，获得对应作品的原文全文（含作者、朝代等信息）即满足。
10,汉字读音释义查询,用户输入一个汉字（多为生僻字或人名用字），希望获得该字的读音、释义、部首、笔画等基础信息。,731,3.353,314,3.143,2.819,3.504,1.591,397,3.978,3.612,4.379,2.075,19,2.212,1.421,3.429,1.443,1,0.103,0.018,0.582,0.167,33.31,0.9374,1.3325,42.15,1.1861,1.6861,23.44,0.6596,0.9376,1.09,0.0307,0.0437,4,,,2026搜索,助手随机1k,3.874,38.58,6,4,11,29,无意图或上下文依赖的残余查询,92.7,4.0,,用户输入一个汉字（多为生僻字或人名用字），希望获得该字的读音、释义、部首、笔画等基础信息。
22,生成作业与学习内容,用户给定某道题、某年级学科、作文字数或题型等要求后，系统直接返回对应的答案、题目、算式、公式、试卷或示例内容，供其完成或参考。,724,3.321,222,2.222,1.951,2.53,1.59,166,1.663,1.43,1.933,1.386,130,15.134,12.893,17.685,12.488,206,21.237,18.779,23.922,19.266,5.52,0.6692,0.2208,4.13,0.5008,0.1653,37.59,4.5567,1.5037,52.75,6.3943,2.1102,4,,,助手随机1k,2026搜索,19.574,12.77,8,12,2,2,完成中小学学科作业与写作任务,58.6,4.0,,用户给定某道题、某年级学科、作文字数或题型等要求后，系统直接返回对应的答案、题目、算式、公式、试卷或示例内容，供其完成或参考。
45,录取分数线查询,用户给出某次中考、高考或某所高校及年份，希望查到对应的录取分数线或分数线一览表；获得该分数或表格即满足。,710,3.257,422,4.225,3.847,4.637,3.044,257,2.575,2.282,2.904,1.718,4,0.466,0.181,1.191,0.498,27,2.784,1.92,4.02,2.419,42.04,1.2971,1.6817,25.62,0.7906,1.025,4.63,0.143,0.1854,27.7,0.8546,1.108,4,,,2025搜索,助手头部1k,3.759,9.07,4,7,23,10,查询录取分数线与录取数据,79.7,4.0,,用户给出某次中考、高考或某所高校及年份，希望查到对应的录取分数线或分数线一览表；获得该分数或表格即满足。
54,按需求生成与改写文本,用户给出具体的文字任务（如写作文、读后感、总结、诗评、续写故事、简化内容、修改词句、设计应用题等），系统能按用户要求直接产出或改写出一段可用的文本内容，用户即满意。,609,2.794,145,1.452,1.235,1.706,1.021,155,1.553,1.328,1.815,1.202,48,5.588,4.24,7.331,3.053,261,26.907,24.211,29.785,24.103,4.09,0.5196,0.1636,4.37,0.5559,0.175,15.74,2.0002,0.6296,75.8,9.6314,3.0318,4,,,助手随机1k,2025搜索,25.456,18.54,14,15,5,1,无意图或上下文依赖的残余查询,49.9,2.0,,用户给出具体的文字任务（如写作文、读后感、总结、诗评、续写故事、简化内容、修改词句、设计应用题等），系统能按用户要求直接产出或改写出一段可用的文本内容，用户即满意。
0,词语释义查询,用户输入某个字词、短语、缩写、成语或诗句后，获得该表达的准确中文释义或解释即满足。,591,2.711,260,2.603,2.308,2.934,1.644,293,2.936,2.622,3.285,2.183,9,1.048,0.552,1.979,0.552,29,2.99,2.09,4.261,2.585,27.18,0.9601,1.0873,30.66,1.0828,1.2262,10.94,0.3865,0.4377,31.22,1.1027,1.2488,4,,,助手随机1k,助手头部1k,1.942,2.85,7,6,18,8,查询词语或成语释义,58.2,4.0,,用户输入某个字词、短语、缩写、成语或诗句后，获得该表达的准确中文释义或解释即满足。
11,短词模糊查询处理,用户输入极短且高度多义的词或短语后，获得系统返回的最可能释义、搜索结果或指令执行结果，并在歧义过大时获得澄清提示，即视为满足。,569,2.61,177,1.772,1.531,2.05,1.338,197,1.974,1.719,2.266,1.475,183,21.304,18.697,24.167,20.391,12,1.237,0.709,2.15,2.752,6.74,0.6789,0.2696,7.51,0.7562,0.3003,81.04,8.1617,3.2418,4.71,0.474,0.1882,4,,,助手头部1k,助手随机1k,20.067,17.22,11,9,1,15,无意图或上下文依赖的残余查询,84.7,1.0,True,用户输入极短且高度多义的词或短语后，获得系统返回的最可能释义、搜索结果或指令执行结果，并在歧义过大时获得澄清提示，即视为满足。
