key,类目,快照,方向,该快照条数,该快照n,该快照占比%,其余快照合并占比%,最弱一对的区间端点pp,对比了几个快照
4,获取与生成文本内容,助手随机1k,显著高于其余全部,556,970,57.32,11.042,18.469,3
17,官网入口查询,2026搜索,显著高于其余全部,101,9981,1.012,0.601,0.066,3
21,高考志愿填报信息查询,2025搜索,显著高于其余全部,100,9989,1.001,0.644,0.001,3
20,查询中考成绩,助手头部1k,显著低于其余全部,1,859,0.116,1.7,-0.282,3
16,考试招生官网查询,2026搜索,显著高于其余全部,103,9981,1.032,0.474,0.161,3
3,查询高校与职业院校信息,2025搜索,显著高于其余全部,2672,9989,26.749,20.737,1.416,3
11,录取分数线查询,2025搜索,显著高于其余全部,422,9989,4.225,2.439,0.149,3
11,录取分数线查询,助手头部1k,显著低于其余全部,4,859,0.466,3.372,-1.19,3
23,短词模糊查询处理,助手头部1k,显著高于其余全部,183,859,21.304,1.843,16.707,3
0,字词概念释义查询,助手随机1k,显著高于其余全部,97,970,10.0,3.87,3.48,3
2,查询单字与极短词条信息,助手头部1k,显著高于其余全部,136,859,15.832,4.89,7.694,3
2,查询单字与极短词条信息,助手随机1k,显著低于其余全部,3,970,0.309,5.555,-3.405,3
6,查询院校与专业信息,助手头部1k,显著低于其余全部,27,859,3.143,6.886,-1.683,3
6,查询院校与专业信息,助手随机1k,显著高于其余全部,92,970,9.485,6.611,0.49,3
18,教育服务平台官网查询,2026搜索,显著高于其余全部,92,9981,0.922,0.55,0.036,3
5,英文单词查询,2025搜索,显著高于其余全部,1862,9989,18.641,13.912,1.652,3
8,汉语拼音查询,2026搜索,显著高于其余全部,1431,9981,14.337,9.714,2.485,3
10,汉字笔顺查询,2026搜索,显著高于其余全部,246,9981,2.465,1.151,0.757,3
