key,类目,快照,方向,该快照条数,该快照n,该快照占比%,其余快照合并占比%,最弱一对的区间端点pp,对比了几个快照
6,官网入口查询,2026搜索,显著高于其余全部,101,9981,1.012,0.601,0.066,3
48,高考志愿填报信息查询,2025搜索,显著高于其余全部,100,9989,1.001,0.644,0.001,3
9,查询中考成绩,助手头部1k,显著低于其余全部,1,859,0.116,1.7,-0.282,3
4,考试招生官网查询,2026搜索,显著高于其余全部,103,9981,1.032,0.474,0.161,3
12,查询高校与职业院校信息,2025搜索,显著高于其余全部,2672,9989,26.749,20.737,1.416,3
45,录取分数线查询,2025搜索,显著高于其余全部,422,9989,4.225,2.439,0.149,3
45,录取分数线查询,助手头部1k,显著低于其余全部,4,859,0.466,3.372,-1.19,3
11,短词模糊查询处理,助手头部1k,显著高于其余全部,183,859,21.304,1.843,16.707,3
0,词语释义查询,助手头部1k,显著低于其余全部,9,859,1.048,2.779,-0.578,3
53,查询极短词条,助手头部1k,显著高于其余全部,117,859,13.62,1.49,9.646,3
53,查询极短词条,助手随机1k,显著低于其余全部,2,970,0.206,2.05,-0.496,3
32,查询专业与院校信息,2025搜索,显著高于其余全部,168,9989,1.682,1.041,0.138,3
22,生成作业与学习内容,2026搜索,显著低于其余全部,166,9981,1.663,4.722,-0.176,3
22,生成作业与学习内容,助手随机1k,显著高于其余全部,206,970,21.237,2.487,2.561,3
7,教育服务平台官网查询,2026搜索,显著高于其余全部,92,9981,0.922,0.55,0.036,3
26,英文单词查询,2025搜索,显著高于其余全部,1862,9989,18.641,13.912,1.652,3
54,按需求生成与改写文本,助手随机1k,显著高于其余全部,261,970,26.907,1.671,18.109,3
10,汉字读音释义查询,2026搜索,显著高于其余全部,397,9981,3.978,2.826,0.32,3
10,汉字读音释义查询,助手随机1k,显著低于其余全部,1,970,0.103,3.505,-1.184,3
39,查询中文内容拼音读音,2026搜索,显著高于其余全部,1363,9981,13.656,8.952,2.598,3
44,汉字笔顺查询,2026搜索,显著高于其余全部,246,9981,2.465,1.151,0.757,3
31,考试升学报考条件与学制学费查询,2025搜索,显著低于其余全部,34,9989,0.34,0.94,-0.071,3
31,考试升学报考条件与学制学费查询,助手随机1k,显著高于其余全部,36,970,3.711,0.523,0.455,3
25,汉字组词查询,助手头部1k,显著高于其余全部,34,859,3.958,1.366,1.314,3
55,查询院校基本信息,助手随机1k,显著高于其余全部,29,970,2.99,0.418,1.221,3
52,查询词语概念含义与基础常识,助手随机1k,显著高于其余全部,57,970,5.876,0.802,2.007,3
30,查询高校一本二本层次,2025搜索,显著高于其余全部,149,9989,1.492,0.559,0.547,3
29,院校专业名单查询,助手随机1k,显著高于其余全部,19,970,1.959,0.197,1.039,3
