key,类目,快照,方向,该快照条数,该快照n,该快照占比%,其余快照合并占比%,最弱一对的区间端点pp,对比了几个快照
TRANSLATION_AND_TOOL_LOOKUP,启动翻译工具或查询英汉词句,2025搜索,显著高于其余全部,2099,9989,21.013,16.444,1.505,3
ENROLLMENT_DELIBERATION,进行升学与择校志愿决策咨询,助手随机1k,显著高于其余全部,71,970,7.32,3.946,1.36,3
GOVERNMENT_EXAM_PORTAL_NAVIGATION,导航至官方招考政务门户与登录入口,2026搜索,显著高于其余全部,424,9981,4.248,2.572,0.706,3
UNCLASSIFIABLE_OTHER,无意图或上下文依赖的残余查询,2025搜索,显著低于其余全部,1034,9989,10.351,17.739,-0.551,3
UNCLASSIFIABLE_OTHER,无意图或上下文依赖的残余查询,助手头部1k,显著高于其余全部,532,859,61.932,12.402,17.398,3
INSTITUTION_NAME_LOOKUP,按裸校名检索院校信息,2025搜索,显著高于其余全部,2377,9989,23.796,18.264,1.155,3
ADMISSION_SCORE_LOOKUP,查询录取分数线与录取数据,2025搜索,显著高于其余全部,416,9989,4.165,2.075,1.33,3
MAJOR_AND_CAREER_EXPLORATION,了解专业培养内容与就业前景,2025搜索,显著高于其余全部,350,9989,3.504,2.701,0.043,3
MAJOR_AND_CAREER_EXPLORATION,了解专业培养内容与就业前景,助手头部1k,显著低于其余全部,2,859,0.233,3.185,-1.055,3
HOMEWORK_ASSISTANCE,完成中小学学科作业与写作任务,2026搜索,显著低于其余全部,130,9981,1.302,4.366,-0.1,3
HOMEWORK_ASSISTANCE,完成中小学学科作业与写作任务,助手随机1k,显著高于其余全部,237,970,24.433,1.964,8.698,3
STRUCTURAL_WORD_LISTING,按结构约束列举字词,助手随机1k,显著高于其余全部,14,970,1.443,0.624,0.048,3
INSTITUTION_TIER_VERDICT,判定高校办学层次与标签,2025搜索,显著高于其余全部,248,9989,2.483,1.6,0.215,3
CHARACTER_PRONUNCIATION_LOOKUP,查询汉字或词语读音,2026搜索,显著高于其余全部,1339,9981,13.415,8.716,2.453,3
ADULT_CERTIFICATION_AND_DEGREE_INQUIRY,查询职业资格与成人学历提升,助手随机1k,显著高于其余全部,34,970,3.505,0.941,1.33,3
WORD_FORMATION,生成生字组词,助手头部1k,显著高于其余全部,28,859,3.26,1.543,0.586,3
WORD_FORMATION,生成生字组词,助手随机1k,显著低于其余全部,6,970,0.619,1.656,-0.155,3
STROKE_ORDER_LOOKUP,查询汉字笔顺写法,2026搜索,显著高于其余全部,249,9981,2.495,1.125,0.817,3
