bucket,n,label,share
留存(两年都在),6703,按裸校名检索院校信息,0.2985
留存(两年都在),6703,启动翻译工具或查询英汉词句,0.2327
留存(两年都在),6703,查询汉字或词语读音,0.1189
留存(两年都在),6703,无意图或上下文依赖的残余查询,0.1022
留存(两年都在),6703,检索古诗文与课文原文,0.0448
留存(两年都在),6703,进行升学与择校志愿决策咨询,0.0318
留存(两年都在),6703,了解专业培养内容与就业前景,0.0313
留存(两年都在),6703,导航至官方招考政务门户与登录入口,0.0312
留存(两年都在),6703,判定高校办学层次与标签,0.021
留存(两年都在),6703,查询汉字笔顺写法,0.0185
留存(两年都在),6703,进入高校官网及校内业务平台,0.0124
留存(两年都在),6703,生成生字组词,0.0116
留存(两年都在),6703,查询词语或成语释义,0.011
留存(两年都在),6703,完成中小学学科作业与写作任务,0.0101
留存(两年都在),6703,查询录取分数线与录取数据,0.009
留存(两年都在),6703,查询考试成绩与出分动态,0.0048
留存(两年都在),6703,查询职业资格与成人学历提升,0.0045
留存(两年都在),6703,按结构约束列举字词,0.0037
留存(两年都在),6703,查询官方教务与考试办事流程,0.001
留存(两年都在),6703,求生肖谜语博彩谜底,0.0009
掉榜(只在2025),3287,启动翻译工具或查询英汉词句,0.164
掉榜(只在2025),3287,按裸校名检索院校信息,0.1144
掉榜(只在2025),3287,查询录取分数线与录取数据,0.1083
掉榜(只在2025),3287,无意图或上下文依赖的残余查询,0.1065
掉榜(只在2025),3287,进行升学与择校志愿决策咨询,0.0697
掉榜(只在2025),3287,查询汉字或词语读音,0.0636
掉榜(只在2025),3287,求生肖谜语博彩谜底,0.0517
掉榜(只在2025),3287,检索古诗文与课文原文,0.0508
掉榜(只在2025),3287,了解专业培养内容与就业前景,0.0426
掉榜(只在2025),3287,判定高校办学层次与标签,0.0326
掉榜(只在2025),3287,完成中小学学科作业与写作任务,0.0322
掉榜(只在2025),3287,进入高校官网及校内业务平台,0.0313
掉榜(只在2025),3287,导航至官方招考政务门户与登录入口,0.0283
掉榜(只在2025),3287,查询词语或成语释义,0.0262
掉榜(只在2025),3287,生成生字组词,0.0228
掉榜(只在2025),3287,查询考试成绩与出分动态,0.0219
掉榜(只在2025),3287,按结构约束列举字词,0.0158
掉榜(只在2025),3287,查询职业资格与成人学历提升,0.0137
掉榜(只在2025),3287,查询官方教务与考试办事流程,0.0018
掉榜(只在2025),3287,查询汉字笔顺写法,0.0018
新进(只在2026),3278,查询汉字或词语读音,0.1653
新进(只在2026),3278,无意图或上下文依赖的残余查询,0.1495
新进(只在2026),3278,启动翻译工具或查询英汉词句,0.0845
新进(只在2026),3278,求生肖谜语博彩谜底,0.0805
新进(只在2026),3278,导航至官方招考政务门户与登录入口,0.0656
新进(只在2026),3278,查询录取分数线与录取数据,0.0531
新进(只在2026),3278,检索古诗文与课文原文,0.0516
新进(只在2026),3278,按裸校名检索院校信息,0.0436
新进(只在2026),3278,进行升学与择校志愿决策咨询,0.0427
新进(只在2026),3278,进入高校官网及校内业务平台,0.0415
新进(只在2026),3278,查询词语或成语释义,0.0406
新进(只在2026),3278,查询汉字笔顺写法,0.0381
新进(只在2026),3278,查询职业资格与成人学历提升,0.0262
新进(只在2026),3278,生成生字组词,0.0262
新进(只在2026),3278,了解专业培养内容与就业前景,0.0259
新进(只在2026),3278,查询考试成绩与出分动态,0.0217
新进(只在2026),3278,完成中小学学科作业与写作任务,0.0189
新进(只在2026),3278,判定高校办学层次与标签,0.0137
新进(只在2026),3278,按结构约束列举字词,0.0073
新进(只在2026),3278,查询官方教务与考试办事流程,0.0034
