key,类目,缺席快照,该快照n,其余快照条数,其余快照n,参照占比%,期望条数,P(0),该快照上界%,最高占比快照,最高占比%,判定
NK_XY,血液内科,助手随机1k,998,383,43021,0.89,8.88,0.0001,0.369,2025搜索,1.23,真缺席
WK_XX,心胸外科,助手语音头部1k,1067,43,42952,0.1,1.07,0.3434,0.345,助手随机1k,0.401,不可判定（样本量不足）
WK_SZ,烧伤整形科,助手随机1k,998,60,43021,0.139,1.39,0.2484,0.369,助手头部1k,0.313,不可判定（样本量不足）
WK_SZ,烧伤整形科,助手语音1k,1000,60,43019,0.139,1.39,0.2477,0.368,助手头部1k,0.313,不可判定（样本量不足）
TT,疼痛科,助手头部1k,958,23,43061,0.053,0.51,0.5994,0.384,助手随机1k,0.1,不可判定（样本量不足）
TT,疼痛科,助手语音头部1k,1067,23,42952,0.054,0.57,0.5647,0.345,助手随机1k,0.1,不可判定（样本量不足）
FCK_SZ,生殖医学科,助手语音1k,1000,114,43019,0.265,2.65,0.0704,0.368,助手头部1k,0.939,不可判定（样本量不足）
WK_SJ,神经外科,助手语音头部1k,1067,60,42952,0.14,1.49,0.225,0.345,2025搜索随机1w,0.31,不可判定（样本量不足）
WK_SJ,神经外科,助手语音1k,1000,60,43019,0.139,1.39,0.2477,0.368,2025搜索随机1w,0.31,不可判定（样本量不足）
MR,医学美容科,助手语音1k,1000,32,43019,0.074,0.74,0.4751,0.368,助手头部1k,0.835,不可判定（样本量不足）
