a,b,n_a,n_b,秩相关rho,前5重合个数,首位是否相同,TVD,TVD低,TVD高,同源噪声上界,超出噪声,CramersV
2025搜索,2025搜索随机1w,9998,10000,0.882,3,True,0.1896,0.1799,0.2045,0.0532,True,0.2555
2025搜索,2026搜索,9998,9998,0.9786,4,True,0.0402,0.0385,0.0593,0.0504,False,0.0529
2025搜索,2026搜索随机1w,9998,10000,0.8953,4,True,0.1762,0.1702,0.1935,0.0526,True,0.2447
2025搜索,助手头部1k,9998,958,0.7816,3,False,0.2476,0.2335,0.2931,0.1545,True,0.237
2025搜索,助手随机1k,9998,998,0.8391,4,True,0.2201,0.2037,0.2654,0.1563,True,0.1907
2025搜索,助手语音头部1k,9998,1067,0.8467,3,False,0.2665,0.2493,0.3024,0.137,True,0.2806
2025搜索,助手语音1k,9998,1000,0.8575,3,True,0.2063,0.1859,0.242,0.152,True,0.154
2025搜索随机1w,2026搜索,10000,9998,0.8684,3,True,0.2027,0.1927,0.2188,0.0524,True,0.2664
2025搜索随机1w,2026搜索随机1w,10000,10000,0.9903,4,True,0.0452,0.0448,0.0667,0.0532,False,0.063
2025搜索随机1w,助手头部1k,10000,958,0.7879,4,False,0.2401,0.2305,0.2799,0.1525,True,0.221
2025搜索随机1w,助手随机1k,10000,998,0.8815,3,True,0.1768,0.1669,0.22,0.1583,True,0.1474
2025搜索随机1w,助手语音头部1k,10000,1067,0.7631,3,False,0.379,0.3572,0.4093,0.1407,True,0.3376
2025搜索随机1w,助手语音1k,10000,1000,0.8749,3,True,0.2249,0.2136,0.2676,0.1521,True,0.1728
2026搜索,2026搜索随机1w,9998,10000,0.8961,4,True,0.186,0.1773,0.2005,0.0524,True,0.2499
2026搜索,助手头部1k,9998,958,0.8326,3,False,0.2479,0.2361,0.295,0.1566,True,0.2419
2026搜索,助手随机1k,9998,998,0.8704,4,True,0.2192,0.2041,0.2629,0.1563,True,0.1873
2026搜索,助手语音头部1k,9998,1067,0.8954,4,False,0.2652,0.2423,0.3026,0.1333,True,0.2917
2026搜索,助手语音1k,9998,1000,0.8943,4,True,0.2002,0.1801,0.2355,0.1501,True,0.1553
2026搜索随机1w,助手头部1k,10000,958,0.7997,4,False,0.2328,0.2156,0.2743,0.1566,True,0.2244
2026搜索随机1w,助手随机1k,10000,998,0.9105,4,True,0.155,0.1506,0.2025,0.1623,False,0.1387
2026搜索随机1w,助手语音头部1k,10000,1067,0.782,3,False,0.3705,0.353,0.4045,0.1388,True,0.3353
2026搜索随机1w,助手语音1k,10000,1000,0.9052,3,True,0.1996,0.1931,0.2418,0.154,True,0.1618
助手头部1k,助手随机1k,958,998,0.7784,4,False,0.2134,0.1946,0.2701,0.1649,True,0.2781
助手头部1k,助手语音头部1k,958,1067,0.8229,4,True,0.2393,0.217,0.2948,0.1566,True,0.3091
助手头部1k,助手语音1k,958,1000,0.7945,4,False,0.2035,0.1813,0.2553,0.1587,True,0.2676
助手随机1k,助手语音头部1k,998,1067,0.7748,4,False,0.3143,0.2936,0.3588,0.1583,True,0.3724
助手随机1k,助手语音1k,998,1000,0.9179,4,True,0.1621,0.1459,0.2251,0.162,False,0.2053
助手语音头部1k,助手语音1k,1067,1000,0.854,5,False,0.2831,0.2546,0.3333,0.152,True,0.3219
