对照,科室,a,n,一致,一致率%
kimi-k3（换供应商）,养生保健营养,YS,168,151,89.9
kimi-k3（换供应商）,药品通用问题,YP_GENERIC,106,62,58.5
kimi-k3（换供应商）,中医科,ZY,105,90,85.7
kimi-k3（换供应商）,就医事务,JY,100,94,94.0
kimi-k3（换供应商）,妇科,FCK_FK,87,82,94.3
kimi-k3（换供应商）,消化内科,NK_XH,78,71,91.0
kimi-k3（换供应商）,骨科,WK_GK,63,54,85.7
kimi-k3（换供应商）,皮肤科,PF,63,57,90.5
kimi-k3（换供应商）,儿科,EK,56,49,87.5
kimi-k3（换供应商）,检验影像病理,JC,53,37,69.8
kimi-k3（换供应商）,心血管内科,NK_XX,53,48,90.6
kimi-k3（换供应商）,神经内科,NK_SJ,50,40,80.0
kimi-k3（换供应商）,呼吸内科,NK_HX,47,34,72.3
kimi-k3（换供应商）,无法判断,WFPD,47,30,63.8
kimi-k3（换供应商）,内分泌科,NK_NF,45,38,84.4
kimi-k3（换供应商）,普通外科,WK_PW,36,32,88.9
kimi-k3（换供应商）,耳鼻咽喉科,EB,35,27,77.1
kimi-k3（换供应商）,产科,FCK_CK,32,31,96.9
kimi-k3（换供应商）,非医疗内容,FYL,28,17,60.7
kimi-k3（换供应商）,全科/综合,QK,25,11,44.0
kimi-k3（换供应商）,泌尿外科,WK_MN,24,21,87.5
kimi-k3（换供应商）,精神心理科,JS,23,17,73.9
kimi-k3（换供应商）,男科,NANKE,22,17,77.3
kimi-k3（换供应商）,感染科,GR,21,16,76.2
kimi-k3（换供应商）,风湿免疫科,NK_FS,20,12,60.0
kimi-k3（换供应商）,眼科,YK,18,17,94.4
kimi-k3（换供应商）,口腔科,KQ,17,17,100.0
kimi-k3（换供应商）,肿瘤科,ZL,17,16,94.1
kimi-k3（换供应商）,急诊科,JZ,16,11,68.8
kimi-k3（换供应商）,血液内科,NK_XY,13,9,69.2
kimi-k3（换供应商）,肾内科,NK_SN,11,10,90.9
kimi-k3（换供应商）,性病科,PF_XB,7,7,100.0
kimi-k3（换供应商）,康复医学科,KF,4,2,50.0
kimi-k3（换供应商）,神经外科,WK_SJ,3,3,100.0
kimi-k3（换供应商）,烧伤整形科,WK_SZ,3,3,100.0
kimi-k3（换供应商）,疼痛科,TT,2,1,50.0
kimi-k3（换供应商）,生殖医学科,FCK_SZ,1,1,100.0
kimi-k3（换供应商）,医学美容科,MR,1,1,100.0
deepseek-v4-pro（同族大模型）,儿科,EK,316,308,97.5
deepseek-v4-pro（同族大模型）,养生保健营养,YS,86,80,93.0
deepseek-v4-pro（同族大模型）,妇科,FCK_FK,68,59,86.8
deepseek-v4-pro（同族大模型）,心血管内科,NK_XX,53,50,94.3
deepseek-v4-pro（同族大模型）,产科,FCK_CK,52,49,94.2
deepseek-v4-pro（同族大模型）,就医事务,JY,39,32,82.1
deepseek-v4-pro（同族大模型）,药品通用问题,YP_GENERIC,37,28,75.7
deepseek-v4-pro（同族大模型）,全科/综合,QK,37,30,81.1
deepseek-v4-pro（同族大模型）,无法判断,WFPD,36,19,52.8
deepseek-v4-pro（同族大模型）,内分泌科,NK_NF,32,30,93.8
deepseek-v4-pro（同族大模型）,皮肤科,PF,23,22,95.7
deepseek-v4-pro（同族大模型）,消化内科,NK_XH,21,20,95.2
deepseek-v4-pro（同族大模型）,呼吸内科,NK_HX,20,18,90.0
deepseek-v4-pro（同族大模型）,神经内科,NK_SJ,16,14,87.5
deepseek-v4-pro（同族大模型）,精神心理科,JS,15,12,80.0
deepseek-v4-pro（同族大模型）,男科,NANKE,14,10,71.4
deepseek-v4-pro（同族大模型）,中医科,ZY,13,7,53.8
deepseek-v4-pro（同族大模型）,检验影像病理,JC,13,11,84.6
deepseek-v4-pro（同族大模型）,骨科,WK_GK,11,6,54.5
deepseek-v4-pro（同族大模型）,肿瘤科,ZL,11,10,90.9
deepseek-v4-pro（同族大模型）,眼科,YK,11,10,90.9
deepseek-v4-pro（同族大模型）,普通外科,WK_PW,10,9,90.0
deepseek-v4-pro（同族大模型）,口腔科,KQ,9,4,44.4
deepseek-v4-pro（同族大模型）,肾内科,NK_SN,8,4,50.0
deepseek-v4-pro（同族大模型）,生殖医学科,FCK_SZ,7,7,100.0
deepseek-v4-pro（同族大模型）,耳鼻咽喉科,EB,7,7,100.0
deepseek-v4-pro（同族大模型）,血液内科,NK_XY,6,4,66.7
deepseek-v4-pro（同族大模型）,感染科,GR,5,5,100.0
deepseek-v4-pro（同族大模型）,非医疗内容,FYL,5,2,40.0
deepseek-v4-pro（同族大模型）,泌尿外科,WK_MN,5,5,100.0
deepseek-v4-pro（同族大模型）,神经外科,WK_SJ,3,3,100.0
deepseek-v4-pro（同族大模型）,心胸外科,WK_XX,3,3,100.0
deepseek-v4-pro（同族大模型）,急诊科,JZ,3,1,33.3
deepseek-v4-pro（同族大模型）,风湿免疫科,NK_FS,2,1,50.0
deepseek-v4-pro（同族大模型）,烧伤整形科,WK_SZ,2,2,100.0
deepseek-v4-pro（同族大模型）,性病科,PF_XB,1,1,100.0
deepseek-v4-pro（冒烟 80 串）,药品通用问题,YP_GENERIC,9,4,44.4
deepseek-v4-pro（冒烟 80 串）,就医事务,JY,9,8,88.9
deepseek-v4-pro（冒烟 80 串）,养生保健营养,YS,7,7,100.0
deepseek-v4-pro（冒烟 80 串）,皮肤科,PF,7,6,85.7
deepseek-v4-pro（冒烟 80 串）,儿科,EK,5,4,80.0
deepseek-v4-pro（冒烟 80 串）,消化内科,NK_XH,4,4,100.0
deepseek-v4-pro（冒烟 80 串）,中医科,ZY,4,3,75.0
deepseek-v4-pro（冒烟 80 串）,妇科,FCK_FK,4,3,75.0
deepseek-v4-pro（冒烟 80 串）,无法判断,WFPD,3,1,33.3
deepseek-v4-pro（冒烟 80 串）,心血管内科,NK_XX,3,3,100.0
deepseek-v4-pro（冒烟 80 串）,骨科,WK_GK,3,3,100.0
deepseek-v4-pro（冒烟 80 串）,耳鼻咽喉科,EB,3,2,66.7
deepseek-v4-pro（冒烟 80 串）,内分泌科,NK_NF,3,2,66.7
deepseek-v4-pro（冒烟 80 串）,血液内科,NK_XY,2,2,100.0
deepseek-v4-pro（冒烟 80 串）,检验影像病理,JC,2,1,50.0
deepseek-v4-pro（冒烟 80 串）,呼吸内科,NK_HX,2,2,100.0
deepseek-v4-pro（冒烟 80 串）,产科,FCK_CK,2,2,100.0
deepseek-v4-pro（冒烟 80 串）,口腔科,KQ,1,1,100.0
deepseek-v4-pro（冒烟 80 串）,神经内科,NK_SJ,1,0,0.0
deepseek-v4-pro（冒烟 80 串）,风湿免疫科,NK_FS,1,1,100.0
deepseek-v4-pro（冒烟 80 串）,泌尿外科,WK_MN,1,1,100.0
deepseek-v4-pro（冒烟 80 串）,普通外科,WK_PW,1,1,100.0
deepseek-v4-pro（冒烟 80 串）,神经外科,WK_SJ,1,1,100.0
deepseek-v4-pro（冒烟 80 串）,肿瘤科,ZL,1,1,100.0
deepseek-v4-pro（冒烟 80 串）,男科,NANKE,1,1,100.0
规则词表（可审计）,儿科,EK,1748,1651,94.5
规则词表（可审计）,内分泌科,NK_NF,1114,1031,92.5
规则词表（可审计）,产科,FCK_CK,743,642,86.4
规则词表（可审计）,消化内科,NK_XH,735,669,91.0
规则词表（可审计）,就医事务,JY,680,152,22.4
规则词表（可审计）,中医科,ZY,638,586,91.8
规则词表（可审计）,心血管内科,NK_XX,637,581,91.2
规则词表（可审计）,妇科,FCK_FK,591,362,61.3
规则词表（可审计）,肿瘤科,ZL,576,534,92.7
规则词表（可审计）,皮肤科,PF,527,413,78.4
规则词表（可审计）,养生保健营养,YS,492,354,72.0
规则词表（可审计）,耳鼻咽喉科,EB,432,411,95.1
规则词表（可审计）,骨科,WK_GK,422,380,90.0
规则词表（可审计）,检验影像病理,JC,415,110,26.5
规则词表（可审计）,普通外科,WK_PW,367,272,74.1
规则词表（可审计）,感染科,GR,330,321,97.3
规则词表（可审计）,神经内科,NK_SJ,316,237,75.0
规则词表（可审计）,呼吸内科,NK_HX,298,219,73.5
规则词表（可审计）,药品通用问题,YP_GENERIC,291,0,0.0
规则词表（可审计）,精神心理科,JS,201,167,83.1
规则词表（可审计）,泌尿外科,WK_MN,200,180,90.0
规则词表（可审计）,肾内科,NK_SN,191,175,91.6
规则词表（可审计）,血液内科,NK_XY,167,150,89.8
规则词表（可审计）,风湿免疫科,NK_FS,157,56,35.7
规则词表（可审计）,眼科,YK,157,137,87.3
规则词表（可审计）,男科,NANKE,152,82,53.9
规则词表（可审计）,口腔科,KQ,148,122,82.4
规则词表（可审计）,性病科,PF_XB,127,102,80.3
规则词表（可审计）,无法判断,WFPD,124,0,0.0
规则词表（可审计）,急诊科,JZ,92,73,79.3
规则词表（可审计）,非医疗内容,FYL,76,0,0.0
规则词表（可审计）,生殖医学科,FCK_SZ,67,12,17.9
规则词表（可审计）,烧伤整形科,WK_SZ,46,46,100.0
规则词表（可审计）,神经外科,WK_SJ,35,32,91.4
规则词表（可审计）,康复医学科,KF,23,7,30.4
规则词表（可审计）,全科/综合,QK,23,0,0.0
规则词表（可审计）,心胸外科,WK_XX,18,6,33.3
规则词表（可审计）,疼痛科,TT,10,5,50.0
规则词表（可审计）,医学美容科,MR,4,0,0.0
