td_l1_name,share%_2025search,share%_2026search,share%_assistant_random,share%_assistant_top,index_2025search,index_2026search,index_assistant_random,index_assistant_top
下载并安装指定软件,18.01,19.95,3.25,1.7,1.027,1.138,0.1855,0.0971
仅产品名消歧,26.84,29.17,6.1,21.17,1.0041,1.0914,0.2281,0.792
从图片或文档提取内容,0.16,0.15,2.03,3.09,0.4385,0.411,5.5691,8.4532
判断社交关系状态与可见性,0.58,0.43,2.03,0.64,1.0014,0.7422,3.5081,1.1017
取消持续扣费或授权,0.77,0.55,0.51,0.0,1.2324,0.8801,0.813,0.0
完成设置或操作步骤,13.34,8.76,24.29,4.26,1.1752,0.7715,2.139,0.3748
平台规则与能力裁决,3.08,1.77,17.89,1.7,0.9975,0.5732,5.7912,0.5511
恢复误删或丢失的数据与关系,1.85,1.56,1.93,1.06,1.0963,0.9243,1.1439,0.6302
打开官方网页或网页版入口,3.21,4.44,0.2,3.19,0.8831,1.2213,0.0559,0.8778
按功能求推荐软件,3.8,3.46,4.98,4.57,1.0186,0.9273,1.3344,1.2258
排查并修复故障,1.33,0.76,2.95,0.0,1.2253,0.7,2.7144,0.0
查询汉字输入编码,5.58,6.79,0.1,0.11,0.9875,1.2014,0.018,0.0188
生成露骨性图像编辑,0.0,0.0,1.83,3.51,0.0,0.0,7.8623,15.0889
直接编辑或生成图像,0.6,0.54,23.88,46.17,0.168,0.1512,6.6858,12.9253
直达指定页面或账号主页,5.12,6.28,1.83,1.28,0.9595,1.1767,0.3427,0.2392
获取位置伪造工具,0.09,0.07,0.0,0.0,1.2334,0.9591,0.0,0.0
获取成人内容或成人应用,1.23,0.89,0.3,0.21,1.2428,0.8991,0.308,0.2149
获取灰色辅助或作弊工具,0.39,0.41,0.0,0.11,1.0557,1.1096,0.0,0.2879
获取破解或解锁版软件,0.38,0.18,0.51,0.0,1.3659,0.6469,1.8259,0.0
获取社交文案与发布素材,6.03,5.03,2.74,3.83,1.131,0.9433,0.5145,0.7181
获取翻墙工具或访问被限制的境外服务,4.61,5.56,0.71,0.32,0.9842,1.1868,0.1518,0.0681
获取蹭网或WiFi破解工具,0.39,0.35,0.1,0.43,1.0825,0.9712,0.282,1.1807
获取非官方软件库或第三方分发渠道,0.84,1.01,0.41,0.43,0.9543,1.1472,0.4617,0.4833
解释术语或比较概念,1.76,1.88,1.42,2.23,0.9672,1.0329,0.7816,1.2273
