source,label,n,distinct,hhi_strings,top1_pv_share,top5_pv_share
2025search,41,314,314,0.0031847133757961785,0.413867167561608,0.5913146450519611
2025search,32,255,255,0.00392156862745098,0.42769210433556576,0.7038773352132535
2025search,34,61,61,0.01639344262295082,0.5497396918960319,0.8103968123164028
2025search,33,204,204,0.004901960784313725,0.3459195535921878,0.5249809014514897
2025search,28,835,835,0.0011976047904191617,0.11663047041468612,0.2593768781074141
2025search,1,705,705,0.0014184397163120566,0.12046078663613474,0.22548451907807576
2025search,3,682,682,0.0014662756598240465,0.17698051903728274,0.2514982730611186
2025search,39,900,900,0.0011111111111111113,0.0842928047491655,0.2204511288685504
2025search,5,231,231,0.00432900432900433,0.24070819143871983,0.4368340107656816
2025search,24,572,572,0.0017482517482517487,0.08539994164870639,0.1981685223005468
2025search,29,105,105,0.009523809523809526,0.18870801477536295,0.5097714972940469
2025search,4,539,539,0.0018552875695732843,0.06033093193855061,0.15394420869107536
2025search,16,484,484,0.002066115702479339,0.06924444896092678,0.1730603119760175
2025search,19,110,110,0.009090909090909089,0.17891521911046873,0.42995827765809497
2025search,38,271,271,0.0036900369003690023,0.078642512828487,0.24860052868916188
2025search,42,375,375,0.002666666666666667,0.07374001555100022,0.18262529158125398
2025search,2,1286,1286,0.0007776049766718505,0.021442353198150643,0.061000582474789754
2025search,22,349,349,0.0028653295128939823,0.060962241169305736,0.18535322777101096
2025search,35,77,77,0.012987012987012984,0.13806995745321737,0.47400128016868104
2025search,36,306,306,0.0032679738562091513,0.0508577194752775,0.16800434681363038
2025search,31,162,162,0.006172839506172837,0.09663236669784847,0.2683504833177424
2025search,17,301,301,0.003322259136212625,0.05800651758624565,0.15691650747274974
2025search,40,57,57,0.01754385964912281,0.182996632996633,0.4949494949494948
2025search,26,227,227,0.004405286343612334,0.046896826980642584,0.16261367847877525
2025search,0,561,561,0.0017825311942958996,0.01223590831226038,0.042352557304837266
2025search,14,28,28,0.03571428571428572,0.11432637571157496,0.4459203036053131
2026search,34,154,154,0.006493506493506494,0.6749543744226394,0.8030890205709393
2026search,32,254,254,0.003937007874015748,0.45309025894146504,0.7249826175322244
2026search,41,307,307,0.0032573289902280136,0.34426761935693406,0.5477030781999929
2026search,33,220,220,0.004545454545454545,0.29757080250695067,0.4991871259601338
2026search,39,1005,1005,0.0009950248756218907,0.0868938530625413,0.21630059788632355
2026search,1,697,696,0.0014388370738294268,0.09234480113301075,0.19216924347928716
2026search,28,954,954,0.0010482180293501049,0.04736764589257593,0.1792515889290448
2026search,42,382,382,0.002617801047120419,0.11925137669296029,0.28897529394255106
2026search,19,150,150,0.006666666666666669,0.2028909421811564,0.45124597508049846
2026search,4,594,594,0.0016835016835016836,0.06520993892916545,0.16181866659895125
2026search,24,643,643,0.001555209953343701,0.07973758854009856,0.1380512462959735
2026search,3,542,542,0.0018450184501845016,0.08155161380306188,0.13985199284577396
2026search,29,91,91,0.01098901098901099,0.20663106364040942,0.5142857142857142
2026search,16,497,497,0.002012072434607646,0.06689568496020108,0.18560536237955594
2026search,22,392,392,0.0025510204081632647,0.07731467987952977,0.20029146021568053
2026search,35,73,73,0.013698630136986297,0.19241086397675194,0.5649379680339778
2026search,5,111,111,0.009009009009009007,0.1922777921741383,0.4309406582016065
2026search,38,249,249,0.00401606425702811,0.07042334756027223,0.21784519552428191
2026search,36,393,393,0.002544529262086514,0.04614685155717209,0.13912252784723803
2026search,40,43,43,0.023255813953488372,0.3735720375106563,0.5583972719522591
2026search,2,894,894,0.0011185682326621922,0.01977271158756815,0.07672134164577053
2026search,31,207,207,0.004830917874396134,0.06689400848566557,0.22946984416511365
2026search,26,151,151,0.0066225165562913925,0.09049255441008018,0.2715594828996891
2026search,17,294,294,0.0034013605442176874,0.02902354882255887,0.11819409029548522
2026search,14,21,21,0.0476190476190476,0.20108176901049954,0.610881323576201
2026search,0,681,681,0.0014684287812041113,0.01207340631036703,0.04199533161622666
assistant_top,1,21,21,0.0476190476190476,0.16077953714981733,0.4421437271619977
assistant_top,17,20,20,0.05000000000000002,0.24671052631578952,0.5568609022556392
assistant_top,4,4,4,0.25,0.847148288973384,1.0
assistant_top,39,35,35,0.028571428571428567,0.22605875619992366,0.4706219000381533
assistant_top,35,104,104,0.009615384615384618,0.08222490931076178,0.2321644498186215
assistant_top,28,49,47,0.02207413577675968,0.15158835608165236,0.4194951081048435
assistant_top,31,76,76,0.013157894736842105,0.1430277525022748,0.41560509554140135
assistant_top,14,219,219,0.004566210045662101,0.07009117189237268,0.18723593506782296
assistant_top,24,6,6,0.16666666666666669,0.33463035019455256,0.914396887159533
assistant_top,41,16,14,0.078125,0.3170134638922889,0.7558139534883722
assistant_top,40,153,153,0.006535947712418303,0.07660263827817634,0.186588752603564
assistant_top,42,18,18,0.05555555555555555,0.34653465346534656,0.6365511551155115
assistant_top,5,19,19,0.05263157894736842,0.20914479254868756,0.5622353937341237
assistant_top,29,5,5,0.20000000000000004,0.34623655913978496,1.0
assistant_top,36,1,1,1.0,1.0,1.0
assistant_top,34,38,37,0.027700831024930747,0.5284582796095044,0.6912875299318473
assistant_top,32,13,13,0.07692307692307694,0.31976543635736465,0.7940669196274576
assistant_top,3,41,41,0.024390243902439025,0.09329073482428114,0.34121405750798717
assistant_top,33,5,5,0.20000000000000004,0.36213991769547327,1.0
assistant_top,38,55,55,0.01818181818181817,0.24210426179604264,0.5621194824961949
assistant_top,2,34,34,0.029411764705882353,0.16279819471308835,0.4019987105093489
assistant_top,26,6,6,0.16666666666666669,0.4822134387351779,0.9051383399209487
assistant_top,16,2,2,0.5,0.569620253164557,1.0
assistant_random,26,60,60,0.016666666666666663,0.03174603174603175,0.126984126984127
assistant_random,17,79,79,0.012658227848101273,0.04878048780487806,0.09756097560975611
assistant_random,32,15,15,0.06666666666666667,0.17647058823529413,0.4117647058823529
assistant_random,5,62,62,0.016129032258064512,0.3010752688172043,0.38709677419354843
assistant_random,28,28,28,0.03571428571428572,0.06451612903225808,0.2580645161290323
assistant_random,31,38,38,0.02631578947368421,0.0512820512820513,0.1538461538461539
assistant_random,36,10,10,0.10000000000000003,0.5454545454545454,0.7727272727272726
assistant_random,16,12,12,0.08333333333333334,0.15384615384615385,0.46153846153846156
assistant_random,41,12,12,0.08333333333333334,0.900900900900901,0.936936936936937
assistant_random,2,158,158,0.006329113924050635,0.028248587570621472,0.1073446327683616
assistant_random,1,24,24,0.041666666666666664,0.08,0.24000000000000002
assistant_random,42,37,37,0.027027027027027025,0.3870967741935485,0.48387096774193555
assistant_random,39,13,13,0.07692307692307694,0.33333333333333337,0.6190476190476191
assistant_random,14,245,245,0.004081632653061226,0.08588957055214722,0.19018404907975456
assistant_random,40,48,48,0.020833333333333336,0.17045454545454547,0.5000000000000001
assistant_random,38,34,34,0.029411764705882353,0.23529411764705885,0.4313725490196078
assistant_random,19,1,1,1.0,1.0,1.0
assistant_random,22,6,6,0.16666666666666669,0.2857142857142857,0.8571428571428571
assistant_random,4,8,8,0.125,0.125,0.625
assistant_random,35,26,26,0.038461538461538464,0.06896551724137931,0.27586206896551724
assistant_random,3,39,39,0.02564102564102563,0.1666666666666667,0.35185185185185197
assistant_random,34,16,16,0.0625,0.15789473684210525,0.42105263157894735
assistant_random,0,3,3,0.3333333333333333,0.3333333333333333,1.0
assistant_random,29,3,3,0.3333333333333333,0.3333333333333333,1.0
assistant_random,24,6,6,0.16666666666666669,0.2857142857142857,0.8571428571428571
assistant_random,33,1,1,1.0,1.0,1.0
