bucket,n,label,share
助手行·在搜索里也出现,176,仅产品名消歧,0.5341
助手行·在搜索里也出现,176,下载并安装指定软件,0.0795
助手行·在搜索里也出现,176,打开官方网页或网页版入口,0.0795
助手行·在搜索里也出现,176,按功能求推荐软件,0.0511
助手行·在搜索里也出现,176,直接编辑或生成图像,0.0455
助手行·在搜索里也出现,176,直达指定页面或账号主页,0.0398
助手行·在搜索里也出现,176,获取社交文案与发布素材,0.0341
助手行·在搜索里也出现,176,完成设置或操作步骤,0.0284
助手行·在搜索里也出现,176,获取翻墙工具或访问被限制的境外服务,0.0227
助手行·在搜索里也出现,176,获取蹭网或WiFi破解工具,0.0227
助手行·在搜索里也出现,176,恢复误删或丢失的数据与关系,0.017
助手行·在搜索里也出现,176,获取非官方软件库或第三方分发渠道,0.0114
助手行·在搜索里也出现,176,解释术语或比较概念,0.0114
助手行·在搜索里也出现,176,从图片或文档提取内容,0.0114
助手行·在搜索里也出现,176,获取灰色辅助或作弊工具,0.0057
助手行·在搜索里也出现,176,平台规则与能力裁决,0.0057
助手行·搜索里没有,1748,直接编辑或生成图像,0.3781
助手行·搜索里没有,1748,完成设置或操作步骤,0.1568
助手行·搜索里没有,1748,平台规则与能力裁决,0.1093
助手行·搜索里没有,1748,仅产品名消歧,0.0944
助手行·搜索里没有,1748,按功能求推荐软件,0.0475
助手行·搜索里没有,1748,获取社交文案与发布素材,0.0326
助手行·搜索里没有,1748,生成露骨性图像编辑,0.0292
助手行·搜索里没有,1748,从图片或文档提取内容,0.0269
助手行·搜索里没有,1748,下载并安装指定软件,0.0195
助手行·搜索里没有,1748,解释术语或比较概念,0.0189
助手行·搜索里没有,1748,排查并修复故障,0.0166
助手行·搜索里没有,1748,恢复误删或丢失的数据与关系,0.0149
助手行·搜索里没有,1748,判断社交关系状态与可见性,0.0149
助手行·搜索里没有,1748,直达指定页面或账号主页,0.0132
助手行·搜索里没有,1748,打开官方网页或网页版入口,0.0103
助手行·搜索里没有,1748,获取非官方软件库或第三方分发渠道,0.0034
助手行·搜索里没有,1748,获取翻墙工具或访问被限制的境外服务,0.0034
助手行·搜索里没有,1748,获取成人内容或成人应用,0.0029
助手行·搜索里没有,1748,取消持续扣费或授权,0.0029
助手行·搜索里没有,1748,获取破解或解锁版软件,0.0029
助手行·搜索里没有,1748,查询汉字输入编码,0.0011
助手行·搜索里没有,1748,获取蹭网或WiFi破解工具,0.0006
