快照,层级,n,类目数,有效类目数,熵,HHI,首位类目,首位占比%,前3占比%,前5占比%,前10占比%,前10流量占比%,前10流量摆动pp,前10流量占比%低,前10流量占比%高,流量有效n
2025搜索,自上而下 L1 意图,9997,23,10.73,2.3727,0.1384,仅产品名消歧,26.84,58.19,69.8,89.63,91.93,0.0,91.93,91.93,232.4
2026搜索,自上而下 L1 意图,9999,23,9.99,2.3019,0.1512,仅产品名消歧,29.17,57.89,70.96,91.33,93.14,0.0,93.14,93.14,133.9
助手头部1k,自上而下 L1 意图,940,20,6.51,1.873,0.268,直接编辑或生成图像,46.17,71.91,80.0,93.72,94.21,0.17,94.21,94.39,191.5
助手随机1k,自上而下 L1 意图,984,22,9.25,2.2244,0.1591,完成设置或操作步骤,24.29,66.06,77.13,90.14,90.47,0.0,90.47,90.47,123.6
2025搜索,自上而下 L2 子意图,9997,57,28.39,3.346,0.0608,NAME_ONLY_DISAMBIGUATION__2,16.55,35.61,45.3,62.82,65.85,0.0,65.85,65.85,232.4
2026搜索,自上而下 L2 子意图,9999,57,28.1,3.3356,0.0641,NAME_ONLY_DISAMBIGUATION__2,17.97,35.13,45.0,63.03,64.73,0.0,64.73,64.73,133.9
助手头部1k,自上而下 L2 子意图,940,43,14.69,2.6871,0.1069,EDIT_IMAGE_COMMAND__2,19.79,49.57,67.34,83.51,83.54,0.0,83.54,83.54,191.5
助手随机1k,自上而下 L2 子意图,984,45,18.05,2.893,0.0879,EDIT_IMAGE_COMMAND__2,17.38,44.21,59.55,75.71,69.25,1.77,68.37,70.14,123.6
2025搜索,自下而上 家族,9997,26,19.52,2.9712,0.0619,微信功能操作与设置查询,12.86,30.22,44.09,69.41,57.12,0.0,57.12,57.12,232.4
2026搜索,自下而上 家族,9999,26,19.8,2.9857,0.0593,网络加速器查询下载,10.05,28.53,42.31,69.01,53.44,0.0,53.44,53.44,133.9
助手头部1k,自下而上 家族,940,23,12.49,2.5246,0.1143,按要求编辑处理图片,23.3,50.64,64.57,85.53,85.95,0.0,85.95,85.95,191.5
助手随机1k,自下而上 家族,984,26,13.58,2.6082,0.1133,按要求编辑处理图片,24.9,48.98,61.38,81.3,76.5,0.0,76.5,76.5,123.6
2025搜索,自下而上 叶,9997,39,29.96,3.3998,0.0408,网络加速器查询下载,9.0,23.08,33.53,51.42,49.9,0.0,49.9,49.9,232.4
2026搜索,自下而上 叶,9999,39,27.76,3.3237,0.0464,网络加速器查询下载,10.05,26.4,37.8,57.59,46.76,0.0,46.76,46.76,133.9
助手头部1k,自下而上 叶,940,31,13.63,2.6124,0.1126,按要求编辑处理图片,23.3,50.64,64.57,83.19,84.24,0.0,84.24,84.24,191.5
助手随机1k,自下而上 叶,984,36,18.32,2.9078,0.0926,按要求编辑处理图片,24.9,39.23,50.3,70.63,66.67,0.15,66.67,66.81,123.6
