key,类目,快照,该类该快照条数,可引条数,取法,query,pv_raw
2,QQ官网查询,2025搜索,314,276,流量最高,deepseek,101354.0
2,QQ官网查询,2025搜索,314,276,流量最高,deepseek官网,18656.0
2,QQ官网查询,2025搜索,314,276,流量最高,QQ,12202.0
2,QQ官网查询,2025搜索,314,276,随机,qq注册官网入口,61.0
2,QQ官网查询,2025搜索,314,276,随机,🌐🔗🌐🔗🌐🔗🌐🔗🌐🔗 【DGCX网页版网址】(安卓手机和苹,192.0
2,QQ官网查询,2025搜索,314,276,随机,qq.com,66.0
7,微信下载与使用支持查询,2025搜索,255,252,流量最高,微博,97069.0
7,微信下载与使用支持查询,2025搜索,255,252,流量最高,微信,37318.0
7,微信下载与使用支持查询,2025搜索,255,252,流量最高,微博网页版,12230.0
7,微信下载与使用支持查询,2025搜索,255,252,随机,微信图像女,89.0
7,微信下载与使用支持查询,2025搜索,255,252,随机,微脉,62.0
7,微信下载与使用支持查询,2025搜索,255,252,随机,微信下载安装免费,134.0
28,豆包App下载及功能查询,2025搜索,61,60,流量最高,豆包,56704.0
28,豆包App下载及功能查询,2025搜索,61,60,流量最高,豌豆荚,8198.0
28,豆包App下载及功能查询,2025搜索,61,60,流量最高,豆包官方网页版入口,6992.0
28,豆包App下载及功能查询,2025搜索,61,60,随机,京东外卖骑手众包,169.0
28,豆包App下载及功能查询,2025搜索,61,60,随机,豌豆荚下载,143.0
28,豆包App下载及功能查询,2025搜索,61,60,随机,豆包是干啥的软件,164.0
23,应用商店下载,2025搜索,204,203,流量最高,应用宝,52073.0
23,应用商店下载,2025搜索,204,203,流量最高,华为应用市场,9156.0
23,应用商店下载,2025搜索,204,203,流量最高,vivo应用商店,8644.0
23,应用商店下载,2025搜索,204,203,随机,供应链管理系统,139.0
23,应用商店下载,2025搜索,204,203,随机,vivo应用,103.0
23,应用商店下载,2025搜索,204,203,随机,应用,988.0
35,论坛社区入口查询,2025搜索,835,806,流量最高,岛遇,34155.0
35,论坛社区入口查询,2025搜索,835,806,流量最高,文心一言,12635.0
35,论坛社区入口查询,2025搜索,835,806,流量最高,小红书,11138.0
35,论坛社区入口查询,2025搜索,835,806,随机,鲁大师,546.0
35,论坛社区入口查询,2025搜索,835,806,随机,王猛微博,69.0
