key,类目,快照,该类该快照条数,可引条数,取法,query,pv_raw
NAME_ONLY_DISAMBIGUATION,仅产品名消歧,2025搜索,2683,2641,流量最高,deepseek,101354.0
NAME_ONLY_DISAMBIGUATION,仅产品名消歧,2025搜索,2683,2641,流量最高,豆包,56704.0
NAME_ONLY_DISAMBIGUATION,仅产品名消歧,2025搜索,2683,2641,流量最高,应用宝,52073.0
NAME_ONLY_DISAMBIGUATION,仅产品名消歧,2025搜索,2683,2641,随机,拉齐奥吧,75.0
NAME_ONLY_DISAMBIGUATION,仅产品名消歧,2025搜索,2683,2641,随机,pp助手,135.0
NAME_ONLY_DISAMBIGUATION,仅产品名消歧,2025搜索,2683,2641,随机,blg超话,57.0
REACH_NAMED_PAGE_OR_PROFILE,直达指定页面或账号主页,2025搜索,512,501,流量最高,微博,97069.0
REACH_NAMED_PAGE_OR_PROFILE,直达指定页面或账号主页,2025搜索,512,501,流量最高,米坛社区,9532.0
REACH_NAMED_PAGE_OR_PROFILE,直达指定页面或账号主页,2025搜索,512,501,流量最高,贴吧,8498.0
REACH_NAMED_PAGE_OR_PROFILE,直达指定页面或账号主页,2025搜索,512,501,随机,上海公交吧,107.0
REACH_NAMED_PAGE_OR_PROFILE,直达指定页面或账号主页,2025搜索,512,501,随机,他回精神病院了的微博,91.0
REACH_NAMED_PAGE_OR_PROFILE,直达指定页面或账号主页,2025搜索,512,501,随机,再去温泉吧,92.0
GENERATE_SOCIAL_COPY,获取社交文案与发布素材,2025搜索,603,603,流量最高,七月说说朋友圈,25928.0
GENERATE_SOCIAL_COPY,获取社交文案与发布素材,2025搜索,603,603,流量最高,幼儿园毕业文案发朋友圈,6285.0
GENERATE_SOCIAL_COPY,获取社交文案与发布素材,2025搜索,603,603,流量最高,7月朋友圈文案,1573.0
GENERATE_SOCIAL_COPY,获取社交文案与发布素材,2025搜索,603,603,随机,睡不着图片发朋友圈 配图,112.0
GENERATE_SOCIAL_COPY,获取社交文案与发布素材,2025搜索,603,603,随机,下午茶发朋友圈的精美句子,176.0
GENERATE_SOCIAL_COPY,获取社交文案与发布素材,2025搜索,603,603,随机,微信群名字霸气团队,55.0
CIRCUMVENTION_ACCESS,获取翻墙工具或访问被限制的境外服务,2025搜索,461,146,流量最高,谷歌商店,4620.0
CIRCUMVENTION_ACCESS,获取翻墙工具或访问被限制的境外服务,2025搜索,461,146,流量最高,谷歌play商店,3277.0
CIRCUMVENTION_ACCESS,获取翻墙工具或访问被限制的境外服务,2025搜索,461,146,流量最高,google play 商店,3174.0
CIRCUMVENTION_ACCESS,获取翻墙工具或访问被限制的境外服务,2025搜索,461,146,随机,Google Play,627.0
CIRCUMVENTION_ACCESS,获取翻墙工具或访问被限制的境外服务,2025搜索,461,146,随机,telegeram下载安卓官网,67.0
CIRCUMVENTION_ACCESS,获取翻墙工具或访问被限制的境外服务,2025搜索,461,146,随机,快连vpm,242.0
REACH_OFFICIAL_ENTRY,打开官方网页或网页版入口,2025搜索,321,319,流量最高,deepseek官网,18656.0
REACH_OFFICIAL_ENTRY,打开官方网页或网页版入口,2025搜索,321,319,流量最高,微博网页版,12230.0
REACH_OFFICIAL_ENTRY,打开官方网页或网页版入口,2025搜索,321,319,流量最高,豆包官方网页版入口,6992.0
REACH_OFFICIAL_ENTRY,打开官方网页或网页版入口,2025搜索,321,319,随机,deskry在线匿名聊天官网,55.0
REACH_OFFICIAL_ENTRY,打开官方网页或网页版入口,2025搜索,321,319,随机,懒人办公官网,61.0
REACH_OFFICIAL_ENTRY,打开官方网页或网页版入口,2025搜索,321,319,随机,觅圈官网,481.0
COMPLETE_TASK_HOWTO,完成设置或操作步骤,2025搜索,1334,1311,流量最高,excel表格,13147.0
COMPLETE_TASK_HOWTO,完成设置或操作步骤,2025搜索,1334,1311,流量最高,vlookup函数怎么用,2195.0
COMPLETE_TASK_HOWTO,完成设置或操作步骤,2025搜索,1334,1311,流量最高,word怎么删除空白页,2060.0
COMPLETE_TASK_HOWTO,完成设置或操作步骤,2025搜索,1334,1311,随机,问卷星如何制作,56.0
COMPLETE_TASK_HOWTO,完成设置或操作步骤,2025搜索,1334,1311,随机,微信表情怎么删除,100.0
COMPLETE_TASK_HOWTO,完成设置或操作步骤,2025搜索,1334,1311,随机,cad背景色如何设置为白色,82.0
DOWNLOAD_INSTALL_NAMED_APP,下载并安装指定软件,2025搜索,1800,1765,流量最高,应用宝app官方下载,9074.0
DOWNLOAD_INSTALL_NAMED_APP,下载并安装指定软件,2025搜索,1800,1765,流量最高,微信下载安装,7816.0
DOWNLOAD_INSTALL_NAMED_APP,下载并安装指定软件,2025搜索,1800,1765,流量最高,qq下载安装,6814.0
DOWNLOAD_INSTALL_NAMED_APP,下载并安装指定软件,2025搜索,1800,1765,随机,渝通行app官网下载,65.0
DOWNLOAD_INSTALL_NAMED_APP,下载并安装指定软件,2025搜索,1800,1765,随机,gagaoolala安卓版怎么下载,164.0
DOWNLOAD_INSTALL_NAMED_APP,下载并安装指定软件,2025搜索,1800,1765,随机,海易办app下载官网,96.0
GET_WIFI_CREDENTIAL_INTRUSION_TOOL,获取蹭网或WiFi破解工具,2025搜索,39,6,流量最高,无线网万能wifi钥匙,286.0
GET_WIFI_CREDENTIAL_INTRUSION_TOOL,获取蹭网或WiFi破解工具,2025搜索,39,6,流量最高,下载万能wifi钥匙自动连接,113.0
GET_WIFI_CREDENTIAL_INTRUSION_TOOL,获取蹭网或WiFi破解工具,2025搜索,39,6,流量最高,wf万能锁匙,105.0
GET_WIFI_CREDENTIAL_INTRUSION_TOOL,获取蹭网或WiFi破解工具,2025搜索,39,6,随机,万能wifi钥匙官方正版,59.0
GET_WIFI_CREDENTIAL_INTRUSION_TOOL,获取蹭网或WiFi破解工具,2025搜索,39,6,随机,wifi密码破译神器,88.0
GET_WIFI_CREDENTIAL_INTRUSION_TOOL,获取蹭网或WiFi破解工具,2025搜索,39,6,随机,万能wifi钥匙,100.0
PLATFORM_RULES_VERDICT,平台规则与能力裁决,2025搜索,308,286,流量最高,微信客服电话人工服务24小时,5319.0
PLATFORM_RULES_VERDICT,平台规则与能力裁决,2025搜索,308,286,流量最高,微信转账限额是多少,1232.0
PLATFORM_RULES_VERDICT,平台规则与能力裁决,2025搜索,308,286,流量最高,多人因微信办公违规被处理怎么办,1064.0
PLATFORM_RULES_VERDICT,平台规则与能力裁决,2025搜索,308,286,随机,微信注销要多少天可以注销成功,317.0
PLATFORM_RULES_VERDICT,平台规则与能力裁决,2025搜索,308,286,随机,微信实名认证未成年可以认证吗,74.0
PLATFORM_RULES_VERDICT,平台规则与能力裁决,2025搜索,308,286,随机,微信是什么时候开始正式使用的,87.0
