key,类目,搜索条数,搜索n,搜索占比%,助手条数,助手n,助手占比%,差_pp,低_pp,高_pp,显著,归属,另一边期望条数,另一边P(0),缺席判定,助手行占该类比例%
DOWNLOAD_INSTALL_NAMED_APP,下载并安装指定软件,3795,19996,18.979,48,1924,2.495,-16.484,-17.303,-15.522,True,两界面都有,,,,1.25
NAME_ONLY_DISAMBIGUATION,仅产品名消歧,5600,19996,28.006,259,1924,13.462,-14.544,-16.126,-12.831,True,两界面都有,,,,4.42
LOOKUP_INPUT_CODE,查询汉字输入编码,1237,19996,6.186,2,1924,0.104,-6.082,-6.433,-5.657,True,两界面都有,,,,0.16
CIRCUMVENTION_ACCESS,获取翻墙工具或访问被限制的境外服务,1017,19996,5.086,10,1924,0.52,-4.566,-4.959,-4.041,True,两界面都有,,,,0.97
REACH_NAMED_PAGE_OR_PROFILE,直达指定页面或账号主页,1140,19996,5.701,30,1924,1.559,-4.142,-4.712,-3.413,True,两界面都有,,,,2.56
GENERATE_SOCIAL_COPY,获取社交文案与发布素材,1106,19996,5.531,63,1924,3.274,-2.257,-3.035,-1.312,True,两界面都有,,,,5.39
REACH_OFFICIAL_ENTRY,打开官方网页或网页版入口,765,19996,3.826,32,1924,1.663,-2.163,-2.718,-1.44,True,两界面都有,,,,4.02
GET_ADULT_CONTENT_OR_APP,获取成人内容或成人应用,212,19996,1.06,5,1924,0.26,-0.8,-1.013,-0.429,True,两界面都有,,,,2.3
GET_UNAUTHORIZED_SOFTWARE_LIBRARY,获取非官方软件库或第三方分发渠道,185,19996,0.925,8,1924,0.416,-0.509,-0.759,-0.088,True,两界面都有,,,,4.15
CANCEL_SUBSCRIPTION_OR_AUTHORIZATION,取消持续扣费或授权,132,19996,0.66,5,1924,0.26,-0.4,-0.593,-0.038,True,两界面都有,,,,3.65
GET_GREY_UTILITY_TOOL,获取灰色辅助或作弊工具,80,19996,0.4,1,1924,0.052,-0.348,-0.455,-0.094,True,两界面都有,,,,1.23
RECOVER_LOST_DATA,恢复误删或丢失的数据与关系,341,19996,1.705,29,1924,1.507,-0.198,-0.691,0.473,False,两界面都有,,,,7.84
GET_WIFI_CREDENTIAL_INTRUSION_TOOL,获取蹭网或WiFi破解工具,74,19996,0.37,5,1924,0.26,-0.11,-0.286,0.245,False,两界面都有,,,,6.33
GET_LOCATION_SPOOFING_TOOL,获取位置伪造工具,16,19996,0.08,0,1924,0.0,-0.08,-0.13,0.122,False,仅搜索,1.54,0.2144,不可判定（样本量不足）,0.0
GET_CRACKED_UNLOCKED_SOFTWARE,获取破解或解锁版软件,56,19996,0.28,5,1924,0.26,-0.02,-0.191,0.333,False,两界面都有,,,,8.2
DEFINE_TERM_OR_COMPARE,解释术语或比较概念,364,19996,1.82,35,1924,1.819,-0.001,-0.546,0.721,False,两界面都有,,,,8.77
FIX_MALFUNCTION_TROUBLESHOOT,排查并修复故障,209,19996,1.045,29,1924,1.507,0.462,-0.018,1.124,False,两界面都有,,,,12.18
SOCIAL_RELATIONSHIP_STATUS,判断社交关系状态与可见性,101,19996,0.505,26,1924,1.351,0.846,0.405,1.474,True,两界面都有,,,,20.47
RECOMMEND_SOFTWARE_BY_FUNCTION,按功能求推荐软件,726,19996,3.631,92,1924,4.782,1.151,0.244,2.227,True,两界面都有,,,,11.25
EXTRACT_FROM_IMAGE_DOCUMENT,从图片或文档提取内容,31,19996,0.155,49,1924,2.547,2.392,1.773,3.197,True,两界面都有,,,,61.25
NON_CONSENSUAL_EXPLICIT_IMAGE_EDIT,生成露骨性图像编辑,0,19996,0.0,51,1924,2.651,2.651,2.022,3.468,True,仅助手,530.04,0.0,真缺席,100.0
COMPLETE_TASK_HOWTO,完成设置或操作步骤,2210,19996,11.052,279,1924,14.501,3.449,1.883,5.148,True,两界面都有,,,,11.21
PLATFORM_RULES_VERDICT,平台规则与能力裁决,485,19996,2.425,192,1924,9.979,7.554,6.274,8.988,True,两界面都有,,,,28.36
EDIT_IMAGE_COMMAND,直接编辑或生成图像,114,19996,0.57,669,1924,34.771,34.201,32.102,36.36,True,两界面都有,,,,85.44
