外层,a,b,n_a,n_b,内层TVD,同源噪声上界,超出噪声,a主导内层,a主导占比%,b主导内层,b主导占比%,主导是否相同
QQ官网查询,2025搜索,2026搜索,314,307,0.1198,0.1297,False,仅产品名消歧,35.03,仅产品名消歧,31.92,True
微信下载与使用支持查询,2025搜索,2026搜索,255,254,0.0762,0.1243,False,仅产品名消歧,44.31,仅产品名消歧,43.7,True
豆包App下载及功能查询,2025搜索,2026搜索,61,154,0.2729,0.2092,True,打开官方网页或网页版入口,37.7,下载并安装指定软件,41.56,False
豆包App下载及功能查询,2025搜索,助手头部1k,61,38,0.396,0.2934,True,打开官方网页或网页版入口,37.7,仅产品名消歧,39.47,False
豆包App下载及功能查询,2026搜索,助手头部1k,154,38,0.4843,0.2686,True,下载并安装指定软件,41.56,仅产品名消歧,39.47,False
应用商店下载,2025搜索,2026搜索,204,220,0.0138,0.1154,False,仅产品名消歧,52.94,仅产品名消歧,53.18,True
论坛社区入口查询,2025搜索,2026搜索,835,954,0.0319,0.0629,False,直达指定页面或账号主页,48.62,直达指定页面或账号主页,51.47,True
论坛社区入口查询,2025搜索,助手头部1k,835,49,0.3144,0.1729,True,直达指定页面或账号主页,48.62,仅产品名消歧,44.9,False
论坛社区入口查询,2026搜索,助手头部1k,954,49,0.3389,0.181,True,直达指定页面或账号主页,51.47,仅产品名消歧,44.9,False
查询软件定义与用途,2025搜索,2026搜索,307,272,0.1158,0.1194,False,仅产品名消歧,53.09,仅产品名消歧,48.9,True
七月朋友圈文案查询,2025搜索,2026搜索,122,136,0.0221,0.0246,False,获取社交文案与发布素材,100.0,获取社交文案与发布素材,97.79,True
网络加速器查询下载,2025搜索,2026搜索,900,1005,0.0473,0.0573,False,仅产品名消歧,72.22,仅产品名消歧,73.33,True
网络加速器查询下载,2025搜索,助手头部1k,900,35,0.187,0.2054,False,仅产品名消歧,72.22,仅产品名消歧,85.71,True
网络加速器查询下载,2026搜索,助手头部1k,1005,35,0.1505,0.1864,False,仅产品名消歧,73.33,仅产品名消歧,85.71,True
Excel表格操作与制作查询,2025搜索,2026搜索,231,111,0.1011,0.1047,False,完成设置或操作步骤,83.55,完成设置或操作步骤,73.87,True
Excel表格操作与制作查询,2025搜索,助手随机1k,231,62,0.2687,0.1539,True,完成设置或操作步骤,83.55,完成设置或操作步骤,66.13,True
Excel表格操作与制作查询,2026搜索,助手随机1k,111,62,0.2562,0.1953,True,完成设置或操作步骤,73.87,完成设置或操作步骤,66.13,True
APP下载获取,2025搜索,2026搜索,572,643,0.0571,0.0601,False,下载并安装指定软件,77.1,下载并安装指定软件,74.03,True
查询软件工具信息,2025搜索,2026搜索,398,425,0.0173,0.0534,False,仅产品名消歧,88.69,仅产品名消歧,87.76,True
万能遥控器与WiFi万能钥匙下载,2025搜索,2026搜索,105,91,0.033,0.1949,False,获取蹭网或WiFi破解工具,35.24,获取蹭网或WiFi破解工具,37.36,True
软件与应用下载查询,2025搜索,2026搜索,352,386,0.037,0.0612,False,下载并安装指定软件,86.93,下载并安装指定软件,84.72,True
下载安装应用软件,2025搜索,2026搜索,484,497,0.0635,0.0568,True,下载并安装指定软件,82.23,下载并安装指定软件,84.31,True
