key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导意图,主导意图占比%,家族内部一致,家族审计意见
2,微信功能操作与设置查询,用户希望获得微信某项功能的具体操作步骤、设置入口或相关账号、支付、聊天记录、语音、群管理问题的解决方法。,2372,10.821,1286,12.864,12.222,13.534,7.692,894,8.941,8.397,9.516,4.881,34,3.617,2.6,5.012,2.389,158,16.057,13.896,18.482,13.082,31.01,1.1888,1.2405,21.56,0.8262,0.8622,8.72,0.3343,0.3488,38.71,1.4838,1.5484,4,,,助手随机1k,助手头部1k,12.44,4.44,1,3,10,2,完成设置或操作步骤,54.0,是,
39,网络加速器查询下载,用户想查找可用的网络加速器或同类工具应用的官网、下载和使用入口。,1953,8.91,900,9.003,8.457,9.58,10.035,1005,10.051,9.477,10.656,10.79,35,3.723,2.689,5.134,4.036,13,1.321,0.774,2.247,1.552,37.36,1.0104,1.4943,41.71,1.1281,1.6683,15.45,0.4179,0.618,5.48,0.1483,0.2193,4,,,2026搜索,助手随机1k,8.73,7.61,2,1,9,16,仅产品名消歧,73.1,是,
28,论坛社区入口查询,用户想知道某个论坛、贴吧或社区的官网、入口或访问方式，获得对应链接或入口后即满足。,1866,8.513,835,8.353,7.826,8.911,10.25,954,9.541,8.981,10.132,9.912,49,5.213,3.965,6.825,6.375,28,2.846,1.976,4.082,2.291,32.18,0.9812,1.2874,36.76,1.1208,1.4706,20.09,0.6123,0.8035,10.96,0.3343,0.4386,4,,,2026搜索,助手随机1k,6.695,3.35,3,2,6,11,直达指定页面或账号主页,49.0,是,
1,查询软件介绍与使用信息,用户输入软件、应用或在线服务的名称或缩写，查询其官方介绍、主要用途、下载/访问入口或使用方法。,1447,6.601,705,7.052,6.567,7.571,7.979,697,6.971,6.488,7.487,7.612,21,2.234,1.466,3.391,1.264,24,2.439,1.644,3.604,1.848,37.72,1.0683,1.5088,37.28,1.056,1.4914,11.95,0.3384,0.478,13.05,0.3695,0.5218,4,,,2025搜索,助手头部1k,4.818,3.16,4,4,11,13,仅产品名消歧,72.0,是,
3,微信朋友圈与聊天界面素材及发布方法查询,用户想要获取发微信朋友圈或聊天界面所需的文案、背景图等素材，或了解朋友圈的发布方法。,1304,5.949,682,6.822,6.344,7.333,5.128,542,5.421,4.994,5.882,3.422,41,4.362,3.231,5.864,3.615,39,3.963,2.913,5.372,3.991,33.17,1.1468,1.3267,26.35,0.9112,1.0542,21.21,0.7332,0.8483,19.27,0.6662,0.7708,4,,,2025搜索,助手随机1k,2.859,1.72,5,8,7,7,获取社交文案与发布素材,79.1,是,
0,汉字五笔打法查询,用户想知道某个汉字用五笔输入法怎么拆字、敲哪些键，以获得该字对应的五笔编码或键位说明。,1245,5.68,561,5.612,5.177,6.08,2.145,681,6.811,6.333,7.321,2.79,0,0.0,0.0,0.407,0.0,3,0.305,0.104,0.893,0.222,44.09,0.988,1.7637,53.51,1.1991,2.1405,0.0,0.0,0.0,2.4,0.0537,0.0958,3,助手头部1k,,2026搜索,助手头部1k,6.811,inf,7,5,24,23,查询汉字输入编码,99.4,是,
24,APP下载获取,用户想要获得某个APP（或其官方、免费版本）的下载链接、官方下载渠道或安装包，以便下载安装该APP。,1227,5.598,572,5.722,5.283,6.194,3.719,643,6.431,5.966,6.928,3.543,6,0.638,0.293,1.386,0.396,6,0.61,0.28,1.324,0.517,42.7,1.0222,1.7079,47.99,1.1488,1.9195,4.76,0.114,0.1905,4.55,0.1089,0.182,4,,,2026搜索,助手随机1k,5.821,10.55,6,6,17,21,下载并安装指定软件,75.1,是,
4,软件应用及安卓商店下载查询,用户想获取某款软件、应用、安卓应用或应用商店的官方、免费或可用版本的下载链接、安装包或获取渠道。,1145,5.224,539,5.392,4.966,5.852,4.256,594,5.941,5.494,6.421,4.422,4,0.426,0.166,1.089,1.013,8,0.813,0.413,1.596,0.591,42.89,1.0322,1.7156,47.26,1.1373,1.8903,3.39,0.0815,0.1354,6.47,0.1556,0.2587,4,,,2026搜索,助手头部1k,5.515,13.96,8,7,21,20,下载并安装指定软件,72.1,是,
16,应用软件下载安装查询,用户希望获取所查询应用或软件的官方、正版或免费下载安装入口及安装包，并能按当前设备完成安装。,995,4.539,484,4.841,4.438,5.28,3.444,497,4.97,4.562,5.414,3.351,2,0.213,0.058,0.772,0.122,12,1.22,0.699,2.119,0.961,43.06,1.0666,1.7223,44.2,1.095,1.7682,1.89,0.0469,0.0757,10.85,0.2687,0.4338,4,,,2026搜索,助手头部1k,4.758,23.36,9,9,22,17,下载并安装指定软件,83.0,是,
42,查询软件及工具信息,用户查询软件或工具的下载安装渠道、功能用途说明、名称或对比推荐等信息。,812,3.704,375,3.751,3.396,4.142,2.476,382,3.82,3.462,4.214,3.018,18,1.915,1.215,3.007,1.867,37,3.76,2.74,5.14,4.582,28.32,1.0126,1.1327,28.84,1.0313,1.1536,14.46,0.5169,0.5782,28.39,1.0151,1.1354,4,,,2026搜索,助手头部1k,1.905,2.0,10,12,14,9,按功能求推荐软件,39.8,是,
