key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导叶,主导叶占比%,体系内风险标注,架构师预估占比,user_need
NAME_ONLY_DISAMBIGUATION,仅产品名消歧,用户只给出一个产品、品牌或平台名，没有动词或渠道指示，且该名称本身不足以直接归入翻墙、成人、破解等风险实体类，需由语境或追问判定动作。,5859,26.729,2683,26.838,25.978,27.715,43.179,2917,29.173,28.29,30.072,45.158,199,21.17,18.679,23.896,33.207,60,6.098,4.766,7.77,5.395,32.23,1.0041,1.2891,35.03,1.0914,1.4012,25.42,0.792,1.0168,7.32,0.2281,0.2929,4,,,2026搜索,助手随机1k,23.075,4.78,1,1,2,4,网络加速器查询下载,24.4,否,0.02,系统识别该名称所指对象，并通过上下文或澄清判断实际动作后给出对应结果，用户即满足。
DOWNLOAD_INSTALL_NAMED_APP,下载并安装指定软件,用户想获取某个已指明名称的软件或App的安装包或下载地址并完成安装，查询中常带官方、正版、免费、最新版、旧版本等限定词。,3843,17.532,1800,18.005,17.265,18.771,13.075,1995,19.952,19.18,20.747,14.634,16,1.702,1.05,2.747,1.307,32,3.252,2.313,4.555,9.978,41.96,1.027,1.6784,46.5,1.138,1.8598,3.97,0.0971,0.1587,7.58,0.1855,0.3031,4,,,2026搜索,助手头部1k,18.25,11.72,2,2,10,6,APP下载获取,24.0,否,0.2,获得目标软件可安装的安装包或可信下载入口并成功安装，用户即满足。
COMPLETE_TASK_HOWTO,完成设置或操作步骤,用户想按步骤在某个软件、系统或平台中完成一项具体的设置或操作，包括微信功能、办公软件公式等，只要目标是学会怎么做。,2489,11.355,1334,13.344,12.691,14.025,7.97,876,8.761,8.222,9.331,4.657,40,4.255,3.14,5.743,2.648,239,24.289,21.713,27.065,20.695,26.35,1.1752,1.0538,17.3,0.7715,0.6919,8.4,0.3748,0.3361,47.95,2.139,1.9182,4,,,助手随机1k,助手头部1k,20.033,5.71,3,3,4,1,微信功能设置与操作查询,16.8,否,0.1,获得可直接照做的分步说明并成功完成该操作，用户即满足。
LOOKUP_INPUT_CODE,查询汉字输入编码,用户给出一个汉字，想知道它的五笔字型编码、拆分方法或输入法打字方式。,1239,5.652,558,5.582,5.148,6.049,2.125,679,6.791,6.314,7.301,2.773,1,0.106,0.019,0.6,0.225,1,0.102,0.018,0.573,0.074,44.37,0.9875,1.7747,53.98,1.2014,2.1591,0.85,0.0188,0.0338,0.81,0.018,0.0323,4,,,2026搜索,助手随机1k,6.689,66.82,5,4,19,21,汉字五笔打法查询,99.9,否,0.02,获得该汉字对应的五笔键位或拆分说明，并能据此打出这个字，用户即满足。
REACH_NAMED_PAGE_OR_PROFILE,直达指定页面或账号主页,用户想打开一个指定的论坛、贴吧、微博主页、深链或URL，目标是非官方页面或特定个人、专区主页。,1170,5.338,512,5.122,4.706,5.571,6.794,628,6.281,5.822,6.773,8.012,12,1.277,0.732,2.218,2.197,18,1.829,1.16,2.873,1.404,35.3,0.9595,1.4121,43.29,1.1767,1.7316,8.8,0.2392,0.352,12.61,0.3427,0.5043,4,,,2026搜索,助手头部1k,5.004,4.92,6,5,12,12,论坛社区入口查询,78.2,否,0.006,获得可点击的目标页面链接或直达地址并成功到达该页面，用户即满足。
GENERATE_SOCIAL_COPY,获取社交文案与发布素材,用户想要可直接复制使用的朋友圈文案、句子、群名、背景图或回复语，而不是学习操作步骤。,1169,5.333,603,6.032,5.582,6.516,4.388,503,5.031,4.619,5.476,2.742,36,3.83,2.779,5.256,3.341,27,2.744,1.893,3.963,2.809,34.2,1.131,1.3681,28.52,0.9433,1.141,21.72,0.7181,0.8686,15.56,0.5145,0.6223,4,,,2025搜索,助手随机1k,3.288,2.2,4,7,5,8,朋友圈文案句子查询,26.6,否,0.04,获得可直接粘贴发布的文案、图片或名称素材，用户即满足。
CIRCUMVENTION_ACCESS,获取翻墙工具或访问被限制的境外服务,用户想下载、使用或获取能突破网络访问限制的VPN、加速器、代理工具，或访问、下载大陆无法直接访问的境外应用与服务。,1027,4.685,461,4.611,4.217,5.04,6.613,556,5.561,5.128,6.027,7.738,3,0.319,0.109,0.934,0.265,7,0.711,0.345,1.461,1.404,41.16,0.9842,1.6466,49.64,1.1868,1.9855,2.85,0.0681,0.114,6.35,0.1518,0.254,4,,,2026搜索,助手头部1k,5.241,17.42,7,6,17,15,查找VPN软件与服务,24.3,是,0.04,获得可用的翻墙工具或目标境外服务的可达入口并连接成功，用户即满足，是否应当满足属合规另行判断。
RECOMMEND_SOFTWARE_BY_FUNCTION,按功能求推荐软件,用户描述一项能力或需求，想找一个能完成该任务的软件，但说不出软件名，常以有无、推荐、什么软件可以等句式出现。,818,3.732,380,3.801,3.444,4.194,1.858,346,3.46,3.12,3.837,1.61,43,4.574,3.414,6.105,4.462,49,4.98,3.787,6.522,5.765,22.6,1.0186,0.9042,20.58,0.9273,0.8231,27.2,1.2258,1.0881,29.61,1.3344,1.1845,4,,,助手随机1k,2026搜索,1.519,1.44,8,9,3,5,查询软件及工具信息,39.5,否,0.01,获得一款或多款能做这件事的软件名及获取方式，用户即满足。
REACH_OFFICIAL_ENTRY,打开官方网页或网页版入口,用户想直达某产品或服务的官网、网页版或官方客户端入口，以便在线使用或访问，而不是下载安装App。,797,3.636,321,3.211,2.883,3.575,4.056,444,4.44,4.054,4.862,4.62,30,3.191,2.245,4.519,4.777,2,0.203,0.056,0.738,0.148,29.07,0.8831,1.1627,40.2,1.2213,1.608,28.89,0.8778,1.1557,1.84,0.0559,0.0736,4,,,2026搜索,助手随机1k,4.237,21.85,9,8,7,20,QQ官网查询,19.2,否,0.08,获得指向官方域名或官方网页版的直达链接并成功打开，用户即满足。
EDIT_IMAGE_COMMAND,直接编辑或生成图像,用户以祈使句或功能词直接要求对当前或上传的图片执行去水印、抠图、换背景、美颜、修复、扩图等操作。,783,3.572,60,0.6,0.467,0.772,0.45,54,0.54,0.414,0.704,0.478,434,46.17,43.005,49.366,36.079,235,23.882,21.323,26.644,25.425,0.84,0.168,0.0337,0.76,0.1512,0.0303,64.85,12.9253,2.5941,33.55,6.6858,1.3418,4,,,助手头部1k,2026搜索,45.63,85.49,17,17,1,2,按要求编辑处理图片,44.2,是,0.05,系统返回已按指令编辑后的图片，用户即满足。
