key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,主导叶,主导叶占比%,代表串(流量最高，仅供辨识)
NAME_ONLY_DISAMBIGUATION__2,NAME_ONLY_DISAMBIGUATION__2,,3632,16.569,1655,16.555,15.839,17.296,27.212,1797,17.972,17.232,18.737,30.692,134,14.255,12.166,16.636,20.522,46,4.675,3.523,6.179,4.287,30.97,0.9991,1.2388,33.62,1.0846,1.3448,26.67,0.8603,1.0667,8.74,0.2821,0.3498,4,,,2026搜索,助手随机1k,13.297,3.84,1,1,3,6,网络加速器查询下载,38.8,豆包 / 豆包 / 豆包
NAME_ONLY_DISAMBIGUATION__1,NAME_ONLY_DISAMBIGUATION__1,,2227,10.16,1028,10.283,9.703,10.894,15.967,1120,11.201,10.598,11.834,14.466,65,6.915,5.462,8.718,12.685,14,1.423,0.849,2.374,1.109,34.48,1.0121,1.3793,37.56,1.1025,1.5024,23.19,0.6806,0.9275,4.77,0.14,0.1908,4,,,2026搜索,助手随机1k,9.778,7.87,2,2,5,16,查询软件工具信息,32.7,deepseek / deepseek / 百度ai助手
COMPLETE_TASK_HOWTO__1,COMPLETE_TASK_HOWTO__1,,1575,7.185,877,8.773,8.234,9.343,5.243,596,5.961,5.513,6.442,3.19,13,1.383,0.81,2.352,0.87,89,9.045,7.408,11.0,7.465,34.87,1.2209,1.3946,23.69,0.8296,0.9476,5.5,0.1925,0.2199,35.95,1.2588,1.4379,4,,,助手随机1k,助手头部1k,7.662,6.54,3,3,14,4,微信功能设置与操作查询,26.3,怎么建群？ / 微信怎么设置面容解锁 / 安全抵达怎么发朋友圈
DOWNLOAD_INSTALL_NAMED_APP__1,DOWNLOAD_INSTALL_NAMED_APP__1,,1074,4.9,512,5.122,4.706,5.571,3.278,554,5.541,5.109,6.006,3.449,3,0.319,0.109,0.934,0.116,5,0.508,0.217,1.184,0.37,44.58,1.0453,1.7831,48.22,1.1308,1.9289,2.78,0.0651,0.1111,4.42,0.1037,0.1769,4,,,2026搜索,助手头部1k,5.221,17.36,4,4,28,26,APP下载获取,83.2,应用宝app官方下载 / 应用宝app官方下载 / 钉钉下载app官方免费下载
COMPLETE_TASK_HOWTO__2,COMPLETE_TASK_HOWTO__2,,914,4.17,457,4.571,4.179,4.999,2.727,280,2.8,2.495,3.142,1.467,27,2.872,1.981,4.147,1.778,150,15.244,13.133,17.625,13.23,17.94,1.0963,0.7174,10.99,0.6716,0.4395,11.27,0.6889,0.4508,59.81,3.6559,2.3923,4,,,助手随机1k,2026搜索,12.444,5.44,5,9,10,2,Excel表格操作与制作查询,35.7,怎么把这张图改成情侣头像 / excel表格 / 把字数压缩到十个字以内
DOWNLOAD_INSTALL_NAMED_APP__2,DOWNLOAD_INSTALL_NAMED_APP__2,,842,3.841,404,4.041,3.673,4.445,3.444,428,4.28,3.901,4.695,3.09,2,0.213,0.058,0.772,0.127,8,0.813,0.413,1.596,0.591,43.23,1.0521,1.7293,45.79,1.1143,1.8317,2.28,0.0554,0.091,8.7,0.2117,0.3479,4,,,2026搜索,助手头部1k,4.068,20.12,6,6,32,21,下载安装应用软件,89.5,微信下载安装 / 微信下载安装 / qq下载安装
DOWNLOAD_INSTALL_NAMED_APP__5,DOWNLOAD_INSTALL_NAMED_APP__5,,821,3.745,381,3.811,3.453,4.205,2.327,433,4.33,3.949,4.747,2.973,1,0.106,0.019,0.6,0.077,6,0.61,0.28,1.324,7.834,43.03,1.0175,1.7211,48.89,1.1562,1.9556,1.2,0.0284,0.048,6.88,0.1628,0.2754,4,,,2026搜索,助手头部1k,4.224,40.71,7,5,37,23,软件下载查询,67.0,qq下载 / shine软件下载 / thephenomenon下载
DOWNLOAD_INSTALL_NAMED_APP__6,DOWNLOAD_INSTALL_NAMED_APP__6,,807,3.682,378,3.781,3.425,4.173,2.59,415,4.15,3.777,4.559,2.628,5,0.532,0.227,1.239,0.444,9,0.915,0.482,1.729,0.739,40.32,1.027,1.6128,44.26,1.1273,1.7703,5.67,0.1445,0.2269,9.75,0.2484,0.3901,4,,,2026搜索,助手头部1k,3.619,7.8,8,8,20,19,软件与应用下载查询,69.8,下载微信 / 如果微信刚刚下载完文件没有保存手机文件管理一样会 / 陌陌官方正版下载
LOOKUP_INPUT_CODE__2,LOOKUP_INPUT_CODE__2,,766,3.495,348,3.481,3.139,3.859,1.418,416,4.16,3.786,4.57,1.866,1,0.106,0.019,0.6,0.225,1,0.102,0.018,0.573,0.074,44.35,0.9961,1.7739,53.0,1.1906,2.1201,1.36,0.0304,0.0542,1.29,0.0291,0.0518,4,,,2026搜索,助手随机1k,4.059,40.94,9,7,37,38,汉字五笔打法查询,99.9,这个怎么拆 / 鬼五笔怎么打 / 肆五笔怎么打
LOOKUP_INPUT_CODE__1,LOOKUP_INPUT_CODE__1,,473,2.158,210,2.101,1.837,2.401,0.707,263,2.63,2.334,2.963,0.907,0,0.0,0.0,0.407,0.0,0,0.0,0.0,0.389,0.0,44.4,0.9735,1.7761,55.6,1.2189,2.2239,0.0,0.0,0.0,0.0,0.0,0.0,2,助手头部1k / 助手随机1k,,2026搜索,助手头部1k,2.63,inf,12,10,44,46,汉字五笔打法查询,100.0,套字五笔怎么打 / 盛五笔怎么打字 / 套字五笔怎么打
