key,类目,a,b,k_a,k_b,n_a,n_b,占比_a%,占比_b%,差_pp,低_pp,高_pp,显著,类型
0,汉字五笔打法查询,2025搜索,2026搜索,561,681,9997,9999,5.612,6.811,1.199,0.53,1.869,True,共有
1,查询软件介绍与使用信息,2025搜索,2026搜索,705,697,9997,9999,7.052,6.971,-0.081,-0.79,0.627,False,共有
14,按要求编辑处理图片,2025搜索,2026搜索,28,21,9997,9999,0.28,0.21,-0.07,-0.214,0.07,False,共有
16,应用软件下载安装查询,2025搜索,2026搜索,484,497,9997,9999,4.841,4.97,0.129,-0.47,0.729,False,共有
17,复制网址并用浏览器打开,2025搜索,2026搜索,301,294,9997,9999,3.011,2.94,-0.071,-0.543,0.402,False,共有
19,查找VPN软件与服务,2025搜索,2026搜索,110,150,9997,9999,1.1,1.5,0.4,0.086,0.718,True,共有
2,微信功能操作与设置查询,2025搜索,2026搜索,1286,894,9997,9999,12.864,8.941,-3.923,-4.786,-3.061,True,共有
22,软件下载地址与安装包查询,2025搜索,2026搜索,349,392,9997,9999,3.491,3.92,0.429,-0.095,0.955,False,共有
24,APP下载获取,2025搜索,2026搜索,572,643,9997,9999,5.722,6.431,0.709,0.046,1.372,True,共有
26,查询微信QQ好友删除拉黑状态及恢复联系方法,2025搜索,2026搜索,227,151,9997,9999,2.271,1.51,-0.761,-1.142,-0.384,True,共有
28,论坛社区入口查询,2025搜索,2026搜索,835,954,9997,9999,8.353,9.541,1.188,0.397,1.98,True,共有
29,万能遥控器与WiFi万能钥匙下载,2025搜索,2026搜索,105,91,9997,9999,1.05,0.91,-0.14,-0.417,0.135,False,共有
3,微信朋友圈与聊天界面素材及发布方法查询,2025搜索,2026搜索,682,542,9997,9999,6.822,5.421,-1.402,-2.067,-0.737,True,共有
31,查找AI软件与工具,2025搜索,2026搜索,162,207,9997,9999,1.62,2.07,0.45,0.076,0.826,True,共有
32,微信下载与使用支持查询,2025搜索,2026搜索,255,254,9997,9999,2.551,2.54,-0.011,-0.449,0.428,False,共有
33,应用商店客户端下载,2025搜索,2026搜索,204,220,9997,9999,2.041,2.2,0.16,-0.241,0.561,False,共有
34,豆包App下载及功能查询,2025搜索,2026搜索,61,154,9997,9999,0.61,1.54,0.93,0.648,1.223,True,共有
35,去除图片视频水印,2025搜索,2026搜索,77,73,9997,9999,0.77,0.73,-0.04,-0.283,0.202,False,共有
36,查询软件应用版本与下载渠道,2025搜索,2026搜索,306,393,9997,9999,3.061,3.93,0.869,0.361,1.381,True,共有
38,图片编辑与绘图软件查询,2025搜索,2026搜索,271,249,9997,9999,2.711,2.49,-0.221,-0.664,0.222,False,共有
39,网络加速器查询下载,2025搜索,2026搜索,900,1005,9997,9999,9.003,10.051,1.048,0.234,1.863,True,共有
4,软件应用及安卓商店下载查询,2025搜索,2026搜索,539,594,9997,9999,5.392,5.941,0.549,-0.092,1.191,False,共有
40,删除或清理不需要的内容,2025搜索,2026搜索,57,43,9997,9999,0.57,0.43,-0.14,-0.341,0.057,False,共有
41,QQ官网查询,2025搜索,2026搜索,314,307,9997,9999,3.141,3.07,-0.071,-0.553,0.411,False,共有
42,查询软件及工具信息,2025搜索,2026搜索,375,382,9997,9999,3.751,3.82,0.069,-0.461,0.599,False,共有
5,Excel表格操作与制作查询,2025搜索,2026搜索,231,111,9997,9999,2.311,1.11,-1.201,-1.566,-0.844,True,共有
0,汉字五笔打法查询,2025搜索,助手头部1k,561,0,9997,940,5.612,0.0,-5.612,-6.08,-5.016,True,a独有
1,查询软件介绍与使用信息,2025搜索,助手头部1k,705,21,9997,940,7.052,2.234,-4.818,-5.745,-3.563,True,共有
14,按要求编辑处理图片,2025搜索,助手头部1k,28,219,9997,940,0.28,23.298,23.018,20.424,25.827,True,共有
16,应用软件下载安装查询,2025搜索,助手头部1k,484,2,9997,940,4.841,0.213,-4.629,-5.093,-3.939,True,共有
17,复制网址并用浏览器打开,2025搜索,助手头部1k,301,20,9997,940,3.011,2.128,-0.883,-1.709,0.296,False,共有
19,查找VPN软件与服务,2025搜索,助手头部1k,110,0,9997,940,1.1,0.0,-1.1,-1.324,-0.653,True,a独有
2,微信功能操作与设置查询,2025搜索,助手头部1k,1286,34,9997,940,12.864,3.617,-9.247,-10.465,-7.711,True,共有
22,软件下载地址与安装包查询,2025搜索,助手头部1k,349,0,9997,940,3.491,0.0,-3.491,-3.869,-2.959,True,a独有
24,APP下载获取,2025搜索,助手头部1k,572,6,9997,940,5.722,0.638,-5.083,-5.669,-4.217,True,共有
26,查询微信QQ好友删除拉黑状态及恢复联系方法,2025搜索,助手头部1k,227,6,9997,940,2.271,0.638,-1.632,-2.097,-0.836,True,共有
28,论坛社区入口查询,2025搜索,助手头部1k,835,49,9997,940,8.353,5.213,-3.14,-4.507,-1.444,True,共有
29,万能遥控器与WiFi万能钥匙下载,2025搜索,助手头部1k,105,5,9997,940,1.05,0.532,-0.518,-0.894,0.212,False,共有
3,微信朋友圈与聊天界面素材及发布方法查询,2025搜索,助手头部1k,682,41,9997,940,6.822,4.362,-2.46,-3.701,-0.884,True,共有
31,查找AI软件与工具,2025搜索,助手头部1k,162,76,9997,940,1.62,8.085,6.465,4.865,8.396,True,共有
32,微信下载与使用支持查询,2025搜索,助手头部1k,255,13,9997,940,2.551,1.383,-1.168,-1.828,-0.156,True,共有
