key,类目,a,b,k_a,k_b,n_a,n_b,占比_a%,占比_b%,差_pp,低_pp,高_pp,显著,类型
0,汉字五笔打法查询,2025搜索,2026搜索,561,681,9997,9999,5.612,6.811,1.199,0.53,1.869,True,共有
1,查找AI软件与工具,2025搜索,2026搜索,162,207,9997,9999,1.62,2.07,0.45,0.076,0.826,True,共有
10,微信功能设置与操作查询,2025搜索,2026搜索,282,187,9997,9999,2.821,1.87,-0.951,-1.374,-0.532,True,共有
11,微信语音与声音设置查询,2025搜索,2026搜索,110,76,9997,9999,1.1,0.76,-0.34,-0.611,-0.074,True,共有
12,查询微信好友删除拉黑状态及恢复联系方法,2025搜索,2026搜索,227,151,9997,9999,2.271,1.51,-0.761,-1.142,-0.384,True,共有
13,微信账号注册与手机号绑定查询,2025搜索,2026搜索,197,128,9997,9999,1.971,1.28,-0.69,-1.045,-0.341,True,共有
14,微信群建群、群管理与群名查询,2025搜索,2026搜索,190,120,9997,9999,1.901,1.2,-0.7,-1.047,-0.359,True,共有
15,查询微信朋友圈与聊天背景图,2025搜索,2026搜索,98,116,9997,9999,0.98,1.16,0.18,-0.107,0.468,False,共有
16,七月朋友圈文案查询,2025搜索,2026搜索,122,136,9997,9999,1.22,1.36,0.14,-0.175,0.455,False,共有
17,生成生日朋友圈文案,2025搜索,2026搜索,45,25,9997,9999,0.45,0.25,-0.2,-0.372,-0.036,True,共有
18,朋友圈文案句子查询,2025搜索,2026搜索,197,115,9997,9999,1.971,1.15,-0.82,-1.169,-0.478,True,共有
19,朋友圈发布方法查询,2025搜索,2026搜索,149,77,9997,9999,1.49,0.77,-0.72,-1.02,-0.429,True,共有
2,QQ官网查询,2025搜索,2026搜索,314,307,9997,9999,3.141,3.07,-0.071,-0.553,0.411,False,共有
20,建党节朋友圈文案查询,2025搜索,2026搜索,29,36,9997,9999,0.29,0.36,0.07,-0.091,0.234,False,共有
21,毕业发朋友圈文案查询,2025搜索,2026搜索,42,37,9997,9999,0.42,0.37,-0.05,-0.229,0.127,False,共有
22,APP下载获取,2025搜索,2026搜索,572,643,9997,9999,5.722,6.431,0.709,0.046,1.372,True,共有
23,应用商店下载,2025搜索,2026搜索,204,220,9997,9999,2.041,2.2,0.16,-0.241,0.561,False,共有
24,万能遥控器与WiFi万能钥匙下载,2025搜索,2026搜索,105,91,9997,9999,1.05,0.91,-0.14,-0.417,0.135,False,共有
25,查询软件及工具信息,2025搜索,2026搜索,375,382,9997,9999,3.751,3.82,0.069,-0.461,0.599,False,共有
26,下载安装应用软件,2025搜索,2026搜索,484,497,9997,9999,4.841,4.97,0.129,-0.47,0.729,False,共有
27,软件下载查询,2025搜索,2026搜索,349,392,9997,9999,3.491,3.92,0.429,-0.095,0.955,False,共有
28,豆包App下载及功能查询,2025搜索,2026搜索,61,154,9997,9999,0.61,1.54,0.93,0.648,1.223,True,共有
29,Excel表格操作与制作查询,2025搜索,2026搜索,231,111,9997,9999,2.311,1.11,-1.201,-1.566,-0.844,True,共有
30,删除或清理不需要的内容,2025搜索,2026搜索,57,43,9997,9999,0.57,0.43,-0.14,-0.341,0.057,False,共有
31,按要求编辑处理图片,2025搜索,2026搜索,28,21,9997,9999,0.28,0.21,-0.07,-0.214,0.07,False,共有
32,去除图片视频水印,2025搜索,2026搜索,77,73,9997,9999,0.77,0.73,-0.04,-0.283,0.202,False,共有
33,复制网址并用浏览器打开,2025搜索,2026搜索,301,294,9997,9999,3.011,2.94,-0.071,-0.543,0.402,False,共有
34,图片编辑与绘图软件查询,2025搜索,2026搜索,271,249,9997,9999,2.711,2.49,-0.221,-0.664,0.222,False,共有
35,论坛社区入口查询,2025搜索,2026搜索,835,954,9997,9999,8.353,9.541,1.188,0.397,1.98,True,共有
36,网络加速器查询下载,2025搜索,2026搜索,900,1005,9997,9999,9.003,10.051,1.048,0.234,1.863,True,共有
37,查询软件工具信息,2025搜索,2026搜索,398,425,9997,9999,3.981,4.25,0.269,-0.282,0.821,False,共有
38,软件与应用下载查询,2025搜索,2026搜索,352,386,9997,9999,3.521,3.86,0.339,-0.184,0.864,False,共有
39,安卓应用及商店下载查询,2025搜索,2026搜索,187,208,9997,9999,1.871,2.08,0.21,-0.177,0.598,False,共有
4,查找VPN软件与服务,2025搜索,2026搜索,110,150,9997,9999,1.1,1.5,0.4,0.086,0.718,True,共有
5,查询软件定义与用途,2025搜索,2026搜索,307,272,9997,9999,3.071,2.72,-0.351,-0.817,0.115,False,共有
