key,类目,a,b,k_a,k_b,n_a,n_b,占比_a%,占比_b%,差_pp,低_pp,高_pp,显著,类型
CANCEL_SUBSCRIPTION_OR_AUTHORIZATION__1,CANCEL_SUBSCRIPTION_OR_AUTHORIZATION__1,2025搜索,2026搜索,77,55,9997,9999,0.77,0.55,-0.22,-0.45,0.005,False,共有
CIRCUMVENTION_ACCESS__1,CIRCUMVENTION_ACCESS__1,2025搜索,2026搜索,91,132,9997,9999,0.91,1.32,0.41,0.119,0.706,True,共有
CIRCUMVENTION_ACCESS__2,CIRCUMVENTION_ACCESS__2,2025搜索,2026搜索,63,86,9997,9999,0.63,0.86,0.23,-0.009,0.473,False,共有
CIRCUMVENTION_ACCESS__3,CIRCUMVENTION_ACCESS__3,2025搜索,2026搜索,120,106,9997,9999,1.2,1.06,-0.14,-0.436,0.154,False,共有
CIRCUMVENTION_ACCESS__4,CIRCUMVENTION_ACCESS__4,2025搜索,2026搜索,45,55,9997,9999,0.45,0.55,0.1,-0.098,0.3,False,共有
CIRCUMVENTION_ACCESS__5,CIRCUMVENTION_ACCESS__5,2025搜索,2026搜索,26,45,9997,9999,0.26,0.45,0.19,0.024,0.363,True,共有
CIRCUMVENTION_ACCESS__6,CIRCUMVENTION_ACCESS__6,2025搜索,2026搜索,116,132,9997,9999,1.16,1.32,0.16,-0.148,0.47,False,共有
COMPLETE_TASK_HOWTO__1,COMPLETE_TASK_HOWTO__1,2025搜索,2026搜索,877,596,9997,9999,8.773,5.961,-2.812,-3.537,-2.09,True,共有
COMPLETE_TASK_HOWTO__2,COMPLETE_TASK_HOWTO__2,2025搜索,2026搜索,457,280,9997,9999,4.571,2.8,-1.771,-2.296,-1.251,True,共有
DEFINE_TERM_OR_COMPARE__1,DEFINE_TERM_OR_COMPARE__1,2025搜索,2026搜索,87,113,9997,9999,0.87,1.13,0.26,-0.017,0.54,False,共有
DEFINE_TERM_OR_COMPARE__2,DEFINE_TERM_OR_COMPARE__2,2025搜索,2026搜索,89,75,9997,9999,0.89,0.75,-0.14,-0.394,0.112,False,共有
DOWNLOAD_INSTALL_NAMED_APP__1,DOWNLOAD_INSTALL_NAMED_APP__1,2025搜索,2026搜索,512,554,9997,9999,5.122,5.541,0.419,-0.204,1.043,False,共有
DOWNLOAD_INSTALL_NAMED_APP__2,DOWNLOAD_INSTALL_NAMED_APP__2,2025搜索,2026搜索,404,428,9997,9999,4.041,4.28,0.239,-0.315,0.794,False,共有
DOWNLOAD_INSTALL_NAMED_APP__3,DOWNLOAD_INSTALL_NAMED_APP__3,2025搜索,2026搜索,113,102,9997,9999,1.13,1.02,-0.11,-0.399,0.177,False,共有
DOWNLOAD_INSTALL_NAMED_APP__4,DOWNLOAD_INSTALL_NAMED_APP__4,2025搜索,2026搜索,12,63,9997,9999,0.12,0.63,0.51,0.346,0.693,True,共有
DOWNLOAD_INSTALL_NAMED_APP__5,DOWNLOAD_INSTALL_NAMED_APP__5,2025搜索,2026搜索,381,433,9997,9999,3.811,4.33,0.519,-0.029,1.069,False,共有
DOWNLOAD_INSTALL_NAMED_APP__6,DOWNLOAD_INSTALL_NAMED_APP__6,2025搜索,2026搜索,378,415,9997,9999,3.781,4.15,0.369,-0.172,0.912,False,共有
EDIT_IMAGE_COMMAND__1,EDIT_IMAGE_COMMAND__1,2025搜索,2026搜索,3,3,9997,9999,0.03,0.03,-0.0,-0.061,0.061,False,共有
EDIT_IMAGE_COMMAND__2,EDIT_IMAGE_COMMAND__2,2025搜索,2026搜索,33,31,9997,9999,0.33,0.31,-0.02,-0.182,0.141,False,共有
EDIT_IMAGE_COMMAND__3,EDIT_IMAGE_COMMAND__3,2025搜索,2026搜索,24,20,9997,9999,0.24,0.2,-0.04,-0.177,0.094,False,共有
EXTRACT_FROM_IMAGE_DOCUMENT__1,EXTRACT_FROM_IMAGE_DOCUMENT__1,2025搜索,2026搜索,16,15,9997,9999,0.16,0.15,-0.01,-0.126,0.105,False,共有
FIX_MALFUNCTION_TROUBLESHOOT__1,FIX_MALFUNCTION_TROUBLESHOOT__1,2025搜索,2026搜索,133,76,9997,9999,1.33,0.76,-0.57,-0.858,-0.29,True,共有
GENERATE_SOCIAL_COPY__1,GENERATE_SOCIAL_COPY__1,2025搜索,2026搜索,63,51,9997,9999,0.63,0.51,-0.12,-0.334,0.091,False,共有
GENERATE_SOCIAL_COPY__2,GENERATE_SOCIAL_COPY__2,2025搜索,2026搜索,132,150,9997,9999,1.32,1.5,0.18,-0.148,0.509,False,共有
GENERATE_SOCIAL_COPY__3,GENERATE_SOCIAL_COPY__3,2025搜索,2026搜索,51,62,9997,9999,0.51,0.62,0.11,-0.1,0.322,False,共有
GENERATE_SOCIAL_COPY__4,GENERATE_SOCIAL_COPY__4,2025搜索,2026搜索,234,143,9997,9999,2.341,1.43,-0.911,-1.292,-0.535,True,共有
GENERATE_SOCIAL_COPY__5,GENERATE_SOCIAL_COPY__5,2025搜索,2026搜索,39,35,9997,9999,0.39,0.35,-0.04,-0.213,0.132,False,共有
GENERATE_SOCIAL_COPY__6,GENERATE_SOCIAL_COPY__6,2025搜索,2026搜索,84,62,9997,9999,0.84,0.62,-0.22,-0.461,0.017,False,共有
GET_ADULT_CONTENT_OR_APP__1,GET_ADULT_CONTENT_OR_APP__1,2025搜索,2026搜索,123,89,9997,9999,1.23,0.89,-0.34,-0.629,-0.056,True,共有
GET_CRACKED_UNLOCKED_SOFTWARE__1,GET_CRACKED_UNLOCKED_SOFTWARE__1,2025搜索,2026搜索,38,18,9997,9999,0.38,0.18,-0.2,-0.356,-0.053,True,共有
GET_GREY_UTILITY_TOOL__1,GET_GREY_UTILITY_TOOL__1,2025搜索,2026搜索,39,41,9997,9999,0.39,0.41,0.02,-0.159,0.199,False,共有
GET_LOCATION_SPOOFING_TOOL__1,GET_LOCATION_SPOOFING_TOOL__1,2025搜索,2026搜索,9,7,9997,9999,0.09,0.07,-0.02,-0.109,0.066,False,共有
GET_UNAUTHORIZED_SOFTWARE_LIBRARY__1,GET_UNAUTHORIZED_SOFTWARE_LIBRARY__1,2025搜索,2026搜索,84,101,9997,9999,0.84,1.01,0.17,-0.097,0.439,False,共有
GET_WIFI_CREDENTIAL_INTRUSION_TOOL__1,GET_WIFI_CREDENTIAL_INTRUSION_TOOL__1,2025搜索,2026搜索,39,35,9997,9999,0.39,0.35,-0.04,-0.213,0.132,False,共有
LOOKUP_INPUT_CODE__1,LOOKUP_INPUT_CODE__1,2025搜索,2026搜索,210,263,9997,9999,2.101,2.63,0.53,0.108,0.954,True,共有
LOOKUP_INPUT_CODE__2,LOOKUP_INPUT_CODE__2,2025搜索,2026搜索,348,416,9997,9999,3.481,4.16,0.679,0.148,1.213,True,共有
NAME_ONLY_DISAMBIGUATION__1,NAME_ONLY_DISAMBIGUATION__1,2025搜索,2026搜索,1028,1120,9997,9999,10.283,11.201,0.918,0.06,1.777,True,共有
NAME_ONLY_DISAMBIGUATION__2,NAME_ONLY_DISAMBIGUATION__2,2025搜索,2026搜索,1655,1797,9997,9999,16.555,17.972,1.417,0.369,2.464,True,共有
PLATFORM_RULES_VERDICT__1,PLATFORM_RULES_VERDICT__1,2025搜索,2026搜索,240,126,9997,9999,2.401,1.26,-1.141,-1.517,-0.771,True,共有
PLATFORM_RULES_VERDICT__2,PLATFORM_RULES_VERDICT__2,2025搜索,2026搜索,68,51,9997,9999,0.68,0.51,-0.17,-0.388,0.045,False,共有
REACH_NAMED_PAGE_OR_PROFILE__1,REACH_NAMED_PAGE_OR_PROFILE__1,2025搜索,2026搜索,105,131,9997,9999,1.05,1.31,0.26,-0.04,0.563,False,共有
REACH_NAMED_PAGE_OR_PROFILE__2,REACH_NAMED_PAGE_OR_PROFILE__2,2025搜索,2026搜索,154,203,9997,9999,1.54,2.03,0.49,0.123,0.86,True,共有
