层级,a,b,n_a,n_b,秩相关rho,前5重合个数,首位是否相同,TVD,TVD低,TVD高,同源噪声上界,超出噪声,CramersV
自上而下 L1 意图,2025搜索,2026搜索,9997,9999,0.9876,4,True,0.0914,0.0814,0.1059,0.0412,True,0.1123
自上而下 L1 意图,2025搜索,助手头部1k,9997,940,0.3794,3,False,0.5335,0.5083,0.5711,0.098,True,0.6661
自上而下 L1 意图,2025搜索,助手随机1k,9997,984,0.4327,2,False,0.5719,0.5487,0.6003,0.1138,True,0.5305
自上而下 L1 意图,2026搜索,助手头部1k,9999,940,0.3619,2,False,0.5383,0.5131,0.5748,0.1044,True,0.6708
自上而下 L1 意图,2026搜索,助手随机1k,9999,984,0.3656,2,False,0.6471,0.6229,0.6731,0.1139,True,0.579
自上而下 L1 意图,助手头部1k,助手随机1k,940,984,0.6739,4,False,0.4543,0.4258,0.495,0.1138,True,0.511
自上而下 L2 子意图,2025搜索,2026搜索,9997,9999,0.9312,4,True,0.1007,0.0944,0.1158,0.0594,True,0.1306
自上而下 L2 子意图,2025搜索,助手头部1k,9997,940,-0.0461,2,False,0.6032,0.5819,0.6389,0.1532,True,0.6838
自上而下 L2 子意图,2025搜索,助手随机1k,9997,984,0.1727,2,False,0.6004,0.5855,0.6337,0.1565,True,0.5737
自上而下 L2 子意图,2026搜索,助手头部1k,9999,940,-0.06,2,False,0.6039,0.5819,0.6366,0.1511,True,0.6887
自上而下 L2 子意图,2026搜索,助手随机1k,9999,984,0.0461,1,False,0.6674,0.6502,0.6945,0.1585,True,0.6126
自上而下 L2 子意图,助手头部1k,助手随机1k,940,984,0.6611,1,True,0.4819,0.4591,0.5264,0.1585,True,0.5576
自下而上 家族,2025搜索,2026搜索,9997,9999,0.9658,4,False,0.0813,0.0762,0.0987,0.0468,True,0.1112
自下而上 家族,2025搜索,助手头部1k,9997,940,-0.2033,0,False,0.6206,0.5915,0.6529,0.1277,True,0.6347
自下而上 家族,2025搜索,助手随机1k,9997,984,-0.0787,1,False,0.5084,0.4855,0.5351,0.1321,True,0.5214
自下而上 家族,2026搜索,助手头部1k,9999,940,-0.2351,0,False,0.6206,0.5947,0.6499,0.1255,True,0.6408
自下而上 家族,2026搜索,助手随机1k,9999,984,-0.193,1,False,0.5587,0.5361,0.5887,0.1301,True,0.5497
自下而上 家族,助手头部1k,助手随机1k,940,984,0.7307,1,True,0.3519,0.3217,0.3971,0.1341,True,0.4346
自下而上 叶,2025搜索,2026搜索,9997,9999,0.9256,5,True,0.0879,0.0831,0.1045,0.0558,True,0.121
自下而上 叶,2025搜索,助手头部1k,9997,940,0.042,0,False,0.6437,0.6159,0.6717,0.132,True,0.6395
自下而上 叶,2025搜索,助手随机1k,9997,984,0.1377,0,False,0.5415,0.522,0.5719,0.1524,True,0.5292
自下而上 叶,2026搜索,助手头部1k,9999,940,0.0205,0,False,0.6529,0.6241,0.6797,0.134,True,0.6491
自下而上 叶,2026搜索,助手随机1k,9999,984,0.0145,0,False,0.5856,0.5684,0.616,0.1504,True,0.5621
自下而上 叶,助手头部1k,助手随机1k,940,984,0.7538,1,True,0.3595,0.3347,0.4105,0.1524,True,0.4472
