key,类目,快照,方向,该快照条数,该快照n,该快照占比%,其余快照合并占比%,最弱一对的区间端点pp,对比了几个快照
28,豆包App下载及功能查询,2025搜索,显著低于其余全部,61,9997,0.61,1.745,-0.37,3
28,豆包App下载及功能查询,助手头部1k,显著高于其余全部,38,940,4.043,1.101,0.943,3
35,论坛社区入口查询,2026搜索,显著高于其余全部,954,9999,9.541,7.65,0.397,3
35,论坛社区入口查询,助手随机1k,显著低于其余全部,28,984,2.846,8.779,-0.611,3
36,网络加速器查询下载,2026搜索,显著高于其余全部,1005,9999,10.051,7.952,0.234,3
36,网络加速器查询下载,助手随机1k,显著低于其余全部,13,984,1.321,9.266,-1.014,3
29,Excel表格操作与制作查询,2026搜索,显著低于其余全部,111,9999,1.11,2.617,-0.153,3
29,Excel表格操作与制作查询,助手随机1k,显著高于其余全部,62,984,6.301,1.724,2.526,3
22,APP下载获取,2026搜索,显著高于其余全部,643,9999,6.431,4.899,0.046,3
26,下载安装应用软件,助手头部1k,显著低于其余全部,2,940,0.213,4.733,-0.242,3
4,查找VPN软件与服务,2026搜索,显著高于其余全部,150,9999,1.5,0.931,0.086,3
34,图片编辑与绘图软件查询,助手头部1k,显著高于其余全部,55,940,5.851,2.641,0.513,3
25,查询软件及工具信息,助手头部1k,显著低于其余全部,18,940,1.915,3.785,-0.351,3
27,软件下载查询,助手头部1k,显著低于其余全部,0,940,0.0,3.561,-0.086,3
32,去除图片视频水印,助手头部1k,显著高于其余全部,104,940,11.064,0.839,6.217,3
6,查询软件应用版本与下载渠道,2026搜索,显著高于其余全部,393,9999,3.93,2.659,0.361,3
6,查询软件应用版本与下载渠道,助手头部1k,显著低于其余全部,1,940,0.106,3.379,-0.233,3
1,查找AI软件与工具,2025搜索,显著低于其余全部,162,9997,1.62,2.692,-0.076,3
1,查找AI软件与工具,助手头部1k,显著高于其余全部,76,940,8.085,1.94,2.118,3
13,微信账号注册与手机号绑定查询,助手头部1k,显著低于其余全部,3,940,0.319,1.754,-0.314,3
13,微信账号注册与手机号绑定查询,助手随机1k,显著高于其余全部,43,984,4.37,1.567,1.252,3
33,复制网址并用浏览器打开,助手随机1k,显著高于其余全部,79,984,8.028,2.938,3.438,3
8,微信账号与支付功能关闭及解限方法查询,助手随机1k,显著高于其余全部,49,984,4.98,2.345,0.897,3
30,删除或清理不需要的内容,助手头部1k,显著高于其余全部,153,940,16.277,0.705,8.701,3
10,微信功能设置与操作查询,助手头部1k,显著低于其余全部,2,940,0.213,2.345,-1.045,3
12,查询微信好友删除拉黑状态及恢复联系方法,助手头部1k,显著低于其余全部,6,940,0.638,2.088,-0.093,3
12,查询微信好友删除拉黑状态及恢复联系方法,助手随机1k,显著高于其余全部,60,984,6.098,1.834,2.46,3
19,朋友圈发布方法查询,2026搜索,显著低于其余全部,77,9999,0.77,1.812,-0.429,3
14,微信群建群、群管理与群名查询,助手头部1k,显著低于其余全部,1,940,0.106,1.544,-0.56,3
11,微信语音与声音设置查询,助手头部1k,显著低于其余全部,1,940,0.106,0.925,-0.071,3
18,朋友圈文案句子查询,2025搜索,显著高于其余全部,197,9997,1.971,0.965,0.478,3
0,汉字五笔打法查询,2026搜索,显著高于其余全部,681,9999,6.811,4.731,0.53,3
