层级,快照,n,类目数,前1条数,前1行占比%,前1流量占比%,前3条数,前3行占比%,前3流量占比%,前5条数,前5行占比%,前5流量占比%,前10条数,前10行占比%,前10流量占比%,流量有效n,单行最大流量%,前10之外类数,前10之外条数,前10之外行占比%,前10之外流量占比%,第10名条数,并列类数,并列需选,边界并列,前10流量占比%低,前10流量占比%高,前10流量摆动pp
自上而下 L1 意图,2025搜索,9997,23,2683,26.838051415424626,43.17912384349883,5817,58.187456236871064,64.22430373668053,6978,69.80094028208462,70.73767212542103,8960,89.62688806641992,91.93430453822033,232.35377585290854,3.547566136658685,13,1037,10.373111933580077,8.065695461779669,308,1,1,False,91.93430453822033,91.93430453822033,0.0
自上而下 L1 意图,2026搜索,9999,23,2917,29.172917291729174,45.15771861068377,5788,57.885788578857884,64.4491358884235,7095,70.95709570957095,75.23363016698298,9132,91.32913291329133,93.13595580060864,133.89251684676185,6.727942415020606,13,867,8.670867086708668,6.864044199391358,188,1,1,False,93.13595580060864,93.13595580060864,0.0
自上而下 L1 意图,助手头部1k,940,20,434,46.170212765957444,36.07949732801502,676,71.91489361702128,73.74832519674125,752,80.0,79.73757565490583,881,93.72340425531915,94.214036006345,191.47326337115268,4.418400505136064,10,59,6.276595744680847,5.7859639936550025,16,2,1,True,94.214036006345,94.38729151587019,0.1732555095251911
自上而下 L1 意图,助手随机1k,984,22,239,24.288617886178862,20.694752402069476,650,66.0569105691057,60.162601626016254,759,77.13414634146342,71.32298595713229,887,90.14227642276423,90.46563192904658,123.56456294296319,7.390983000739099,12,97,9.857723577235774,9.53436807095342,20,2,2,False,90.46563192904658,90.46563192904658,0.0
自上而下 L2 子意图,2025搜索,9997,57,1655,16.554966489946985,27.212346092983516,3560,35.61068320496149,48.421649134879544,4529,45.3035910773232,54.42672228676153,6280,62.81884565369611,65.85429966597842,232.35377585290854,3.547566136658685,47,3717,37.18115434630389,34.14570033402158,240,1,1,False,65.85429966597842,65.85429966597842,0.0
自上而下 L2 子意图,2026搜索,9999,57,1797,17.97179717971797,30.691794589617185,3513,35.13351335133513,48.34757610807291,4500,45.00450045004501,54.7700755746707,6302,63.026302630263025,64.72813331686338,133.89251684676185,6.727942415020606,47,3697,36.973697369736975,35.27186668313662,263,1,1,False,64.72813331686338,64.72813331686338,0.0
自上而下 L2 子意图,助手头部1k,940,43,186,19.78723404255319,15.998028737313842,466,49.57446808510638,48.25050436603883,633,67.34042553191489,69.2860332958588,785,83.51063829787235,83.53533642369825,191.47326337115268,4.418400505136064,33,155,16.489361702127653,16.464663576301746,27,1,1,False,83.53533642369825,83.53533642369825,0.0
自上而下 L2 子意图,助手随机1k,984,45,171,17.378048780487806,18.47745750184774,435,44.207317073170735,40.502586844050256,586,59.552845528455286,53.215077605321504,745,75.71138211382114,69.25351071692533,123.56456294296319,7.390983000739099,35,239,24.288617886178855,30.746489283074666,20,5,1,True,68.36659275683664,70.14042867701403,1.7738359201773903
自下而上 家族,2025搜索,9997,26,1286,12.863859157747324,7.691701892998988,3021,30.219065719715914,27.97699405775497,4408,44.093227968390515,41.08374480792971,6939,69.41082324697409,57.12448123049309,232.35377585290854,3.547566136658685,16,3058,30.58917675302591,42.87551876950691,375,1,1,False,57.12448123049309,57.12448123049309,0.0
自下而上 家族,2026搜索,9999,26,1005,10.051005100510052,10.790277481443217,2853,28.53285328532853,25.583598162850503,4231,42.31423142314232,35.98572727987334,6900,69.006900690069,53.44061268262008,133.89251684676185,6.727942415020606,16,3099,30.993099309930997,46.55938731737992,393,1,1,False,53.44061268262008,53.44061268262008,0.0
自下而上 家族,助手头部1k,940,23,219,23.29787234042553,17.314000585218608,476,50.638297872340424,39.53844732262486,607,64.57446808510639,61.17305530315865,804,85.53191489361703,85.94936318974945,191.47326337115268,4.418400505136064,13,136,14.468085106382972,14.050636810250552,34,1,1,False,85.94936318974945,85.94936318974945,0.0
自下而上 家族,助手随机1k,984,26,245,24.898373983739837,24.094604582409463,482,48.983739837398375,43.23725055432373,604,61.38211382113821,54.76718403547672,800,81.30081300813008,76.49667405764968,123.56456294296319,7.390983000739099,16,184,18.699186991869922,23.503325942350315,34,1,1,False,76.49667405764968,76.49667405764968,0.0
自下而上 叶,2025搜索,9997,39,900,9.002700810243073,10.035103242876009,2307,23.076923076923077,24.004331815074615,3352,33.53005901770531,29.594109347529105,5140,51.41542462738822,49.897777424649135,232.35377585290854,3.547566136658685,29,4857,48.58457537261178,50.102222575350865,314,1,1,False,49.897777424649135,49.897777424649135,0.0
自下而上 叶,2026搜索,9999,39,1005,10.051005100510052,10.790277481443216,2640,26.402640264026402,23.492549213372108,3780,37.80378037803781,30.386463936395995,5758,57.58575857585758,46.757812938653124,133.89251684676185,6.727942415020606,29,4241,42.41424142414242,53.242187061346876,382,1,1,False,46.757812938653124,46.757812938653124,0.0
自下而上 叶,助手头部1k,940,31,219,23.29787234042553,17.314000585218608,476,50.638297872340424,39.53844732262486,607,64.57446808510639,61.17305530315865,782,83.19148936170212,84.239138804614,191.47326337115268,4.418400505136064,21,158,16.808510638297875,15.760861195386,20,1,1,False,84.239138804614,84.239138804614,0.0
自下而上 叶,助手随机1k,984,36,245,24.898373983739837,24.094604582409463,386,39.22764227642276,37.028824833702885,495,50.30487804878049,45.82409460458241,695,70.630081300813,66.66666666666666,123.56456294296319,7.390983000739099,26,289,29.369918699186996,33.33333333333334,34,2,1,True,66.66666666666666,66.81448632668145,0.14781966001478963
