层级,快照,名次,key,条数,行占比%,流量占比%
自上而下 L1 意图,2025搜索,1,NAME_ONLY_DISAMBIGUATION,2683,26.838051415424626,43.17912384349883
自上而下 L1 意图,2025搜索,2,DOWNLOAD_INSTALL_NAMED_APP,1800,18.005401620486147,13.07545919654911
自上而下 L1 意图,2025搜索,3,COMPLETE_TASK_HOWTO,1334,13.344003200960287,7.969720696632589
自上而下 L1 意图,2025搜索,4,GENERATE_SOCIAL_COPY,603,6.031809542862859,4.388447886437562
自上而下 L1 意图,2025搜索,5,LOOKUP_INPUT_CODE,558,5.5816745023507055,2.124920502302939
自上而下 L1 意图,2025搜索,6,REACH_NAMED_PAGE_OR_PROFILE,512,5.121536460938281,6.793697307071296
自上而下 L1 意图,2025搜索,7,CIRCUMVENTION_ACCESS,461,4.611383415024507,6.612773324195546
自上而下 L1 意图,2025搜索,8,RECOMMEND_SOFTWARE_BY_FUNCTION,380,3.801140342102631,1.8583122652039674
自上而下 L1 意图,2025搜索,9,REACH_OFFICIAL_ENTRY,321,3.210963288986696,4.055896375255031
自上而下 L1 意图,2025搜索,10,PLATFORM_RULES_VERDICT,308,3.080924277283185,1.875953141073454
自上而下 L1 意图,2026搜索,1,NAME_ONLY_DISAMBIGUATION,2917,29.172917291729174,45.15771861068377
自上而下 L1 意图,2026搜索,2,DOWNLOAD_INSTALL_NAMED_APP,1995,19.951995199519953,14.63436682350563
自上而下 L1 意图,2026搜索,3,COMPLETE_TASK_HOWTO,876,8.76087608760876,4.65705045423409
自上而下 L1 意图,2026搜索,4,LOOKUP_INPUT_CODE,679,6.79067906790679,2.7726246757476054
自上而下 L1 意图,2026搜索,5,REACH_NAMED_PAGE_OR_PROFILE,628,6.28062806280628,8.011869602811872
自上而下 L1 意图,2026搜索,6,CIRCUMVENTION_ACCESS,556,5.56055605560556,7.738206196449226
自上而下 L1 意图,2026搜索,7,GENERATE_SOCIAL_COPY,503,5.030503050305031,2.741575052498007
自上而下 L1 意图,2026搜索,8,REACH_OFFICIAL_ENTRY,444,4.44044404440444,4.619768447294247
自上而下 L1 意图,2026搜索,9,RECOMMEND_SOFTWARE_BY_FUNCTION,346,3.4603460346034605,1.6104816341197743
自上而下 L1 意图,2026搜索,10,DEFINE_TERM_OR_COMPARE,188,1.8801880188018802,1.1922943032644215
自上而下 L1 意图,助手头部1k,1,EDIT_IMAGE_COMMAND,434,46.170212765957444,36.07949732801502
自上而下 L1 意图,助手头部1k,2,NAME_ONLY_DISAMBIGUATION,199,21.170212765957448,33.20653596784378
自上而下 L1 意图,助手头部1k,3,RECOMMEND_SOFTWARE_BY_FUNCTION,43,4.574468085106383,4.462291900882447
自上而下 L1 意图,助手头部1k,4,COMPLETE_TASK_HOWTO,40,4.25531914893617,2.6481142100318786
自上而下 L1 意图,助手头部1k,5,GENERATE_SOCIAL_COPY,36,3.8297872340425534,3.34113624813269
自上而下 L1 意图,助手头部1k,6,NON_CONSENSUAL_EXPLICIT_IMAGE_EDIT,33,3.5106382978723403,2.252321623827637
自上而下 L1 意图,助手头部1k,7,REACH_OFFICIAL_ENTRY,30,3.1914893617021276,4.7772319159749275
