bucket,n,label,share
留存(两年都在),5104,仅产品名消歧,0.3245
留存(两年都在),5104,下载并安装指定软件,0.1411
留存(两年都在),5104,完成设置或操作步骤,0.1089
留存(两年都在),5104,查询汉字输入编码,0.0886
留存(两年都在),5104,直达指定页面或账号主页,0.0537
留存(两年都在),5104,获取社交文案与发布素材,0.0521
留存(两年都在),5104,获取翻墙工具或访问被限制的境外服务,0.0517
留存(两年都在),5104,打开官方网页或网页版入口,0.0345
留存(两年都在),5104,按功能求推荐软件,0.0321
留存(两年都在),5104,平台规则与能力裁决,0.0229
留存(两年都在),5104,恢复误删或丢失的数据与关系,0.0192
留存(两年都在),5104,解释术语或比较概念,0.0188
留存(两年都在),5104,取消持续扣费或授权,0.0092
留存(两年都在),5104,排查并修复故障,0.0082
留存(两年都在),5104,获取非官方软件库或第三方分发渠道,0.0069
留存(两年都在),5104,判断社交关系状态与可见性,0.0063
留存(两年都在),5104,直接编辑或生成图像,0.0057
留存(两年都在),5104,获取灰色辅助或作弊工具,0.0041
留存(两年都在),5104,获取蹭网或WiFi破解工具,0.0037
留存(两年都在),5104,获取成人内容或成人应用,0.0037
留存(两年都在),5104,从图片或文档提取内容,0.0018
留存(两年都在),5104,获取破解或解锁版软件,0.0016
留存(两年都在),5104,获取位置伪造工具,0.0008
掉榜(只在2025),4894,下载并安装指定软件,0.2207
掉榜(只在2025),4894,仅产品名消歧,0.2101
掉榜(只在2025),4894,完成设置或操作步骤,0.159
掉榜(只在2025),4894,获取社交文案与发布素材,0.0689
掉榜(只在2025),4894,直达指定页面或账号主页,0.0486
掉榜(只在2025),4894,按功能求推荐软件,0.0441
掉榜(只在2025),4894,获取翻墙工具或访问被限制的境外服务,0.0403
掉榜(只在2025),4894,平台规则与能力裁决,0.039
掉榜(只在2025),4894,打开官方网页或网页版入口,0.0296
掉榜(只在2025),4894,查询汉字输入编码,0.0217
掉榜(只在2025),4894,获取成人内容或成人应用,0.0213
掉榜(只在2025),4894,排查并修复故障,0.0186
掉榜(只在2025),4894,恢复误删或丢失的数据与关系,0.0178
掉榜(只在2025),4894,解释术语或比较概念,0.0163
掉榜(只在2025),4894,获取非官方软件库或第三方分发渠道,0.01
掉榜(只在2025),4894,直接编辑或生成图像,0.0063
掉榜(只在2025),4894,取消持续扣费或授权,0.0061
掉榜(只在2025),4894,获取破解或解锁版软件,0.0061
掉榜(只在2025),4894,判断社交关系状态与可见性,0.0053
掉榜(只在2025),4894,获取蹭网或WiFi破解工具,0.0041
掉榜(只在2025),4894,获取灰色辅助或作弊工具,0.0037
掉榜(只在2025),4894,从图片或文档提取内容,0.0014
掉榜(只在2025),4894,获取位置伪造工具,0.001
新进(只在2026),4895,下载并安装指定软件,0.2605
新进(只在2026),4895,仅产品名消歧,0.2576
新进(只在2026),4895,直达指定页面或账号主页,0.0723
新进(只在2026),4895,完成设置或操作步骤,0.0654
新进(只在2026),4895,获取翻墙工具或访问被限制的境外服务,0.0597
新进(只在2026),4895,打开官方网页或网页版入口,0.0547
新进(只在2026),4895,获取社交文案与发布素材,0.0484
新进(只在2026),4895,查询汉字输入编码,0.0464
新进(只在2026),4895,按功能求推荐软件,0.0372
新进(只在2026),4895,解释术语或比较概念,0.0188
新进(只在2026),4895,获取成人内容或成人应用,0.0143
新进(只在2026),4895,获取非官方软件库或第三方分发渠道,0.0135
新进(只在2026),4895,平台规则与能力裁决,0.0123
新进(只在2026),4895,恢复误删或丢失的数据与关系,0.0118
新进(只在2026),4895,排查并修复故障,0.0069
新进(只在2026),4895,直接编辑或生成图像,0.0051
新进(只在2026),4895,获取灰色辅助或作弊工具,0.0041
新进(只在2026),4895,获取蹭网或WiFi破解工具,0.0033
新进(只在2026),4895,判断社交关系状态与可见性,0.0022
新进(只在2026),4895,获取破解或解锁版软件,0.002
新进(只在2026),4895,取消持续扣费或授权,0.0016
新进(只在2026),4895,从图片或文档提取内容,0.0012
新进(只在2026),4895,获取位置伪造工具,0.0006
