source,label,n,distinct,hhi_strings,top1_pv_share,top5_pv_share
2025search,今日金价查询,93,93,0.010752688172043013,0.8582241260702713,0.9060889017743643
2025search,查询上证指数行情,47,47,0.02127659574468084,0.7865923832626588,0.9192757368109218
2025search,黄金价格查询,51,51,0.019607843137254905,0.8066344865211048,0.9251396515530674
2025search,实时国际金价查询,75,75,0.013333333333333338,0.5207980376847037,0.897877104848333
2025search,东方财富官方入口查询,79,79,0.012658227848101273,0.5324874770670568,0.8156964399826839
2025search,查询股票行情,262,262,0.0038167938931297713,0.20697907518112096,0.5010855831295484
2025search,汇率换算查询,805,805,0.0012422360248447201,0.054024653274145414,0.20093693309591287
2025search,财经网站查询,98,98,0.010204081632653059,0.4235816477553034,0.5945842240859508
2025search,股票信息查询,1847,1847,0.0005414185165132648,0.02630304962246529,0.08920514382664833
2025search,大盘走势查询,83,83,0.012048192771084335,0.36666275183907915,0.6241551980013025
2025search,蚂蚁庄园今日答案查询,118,118,0.008474576271186446,0.32984963858361377,0.4517349003182091
2025search,查询美股行情,50,50,0.020000000000000004,0.37756093555406534,0.7724753315359456
2025search,指数行情查询,92,92,0.010869565217391304,0.13824622733558006,0.5192479213681558
2025search,查询A股股票及板块信息,126,126,0.007936507936507933,0.1861887524364599,0.41510557193198055
2025search,银行服务信息查询,55,55,0.01818181818181817,0.2895901200952983,0.6700701771446168
2025search,加密货币价格行情查询,125,125,0.008000000000000002,0.1488545412655641,0.34360756894289235
2025search,贷款信息查询与办理,104,104,0.009615384615384618,0.19252941095151863,0.45323969752685356
2025search,银行信用卡客服电话查询,102,102,0.009803921568627447,0.130722505773448,0.370422480544936
2025search,港股休市查询,70,70,0.01428571428571429,0.2160105855110817,0.4572940787297387
2025search,车险保险公司电话查询,69,69,0.014492753623188403,0.19263829404893823,0.503354398155081
2025search,银行客服电话查询,144,144,0.006944444444444444,0.10253515344349791,0.3708645523281673
2025search,金属行情报价查询,38,38,0.02631578947368421,0.3605738863656872,0.7178091256353958
2025search,黄金价格及黄金股票行情查询,57,57,0.01754385964912281,0.20516346136449987,0.4286722269462487
2025search,个人征信查询与信用报告获取,56,56,0.017857142857142856,0.2564855604503182,0.5399855487961215
2025search,查询金融机构24小时人工客服电话,104,104,0.009615384615384618,0.12815794071399453,0.3028944150020383
2025search,银行股票信息查询,61,61,0.01639344262295082,0.17075371378854767,0.47367318660780455
2025search,查询银行及业务信息,158,158,0.006329113924050635,0.08967763001138397,0.3009080720456771
2025search,电子支付工具使用查询,101,101,0.009900990099009903,0.15559316136582899,0.4479590061522403
2025search,查询证券股票与券商信息,99,99,0.010101010101010105,0.1201373454530936,0.3734678396039341
2025search,查询白银价格行情,26,26,0.038461538461538464,0.2802350661123441,0.6855052983651653
2025search,查询农业银行及农村金融机构信息,48,48,0.020833333333333336,0.21384867522534828,0.598443048347446
2025search,黄金价格与行情查询,178,178,0.005617977528089887,0.060805860805860805,0.19357565511411662
2025search,货币兑换查询,200,200,0.005000000000000001,0.06534153209182376,0.21662967868702906
2025search,股票代码查询,698,698,0.0014326647564469911,0.028743140841390125,0.08127694669453882
2025search,银行客服短号查询,62,62,0.016129032258064512,0.15491003491182526,0.35034911825261833
2025search,查询新材类股票及股吧信息,87,87,0.011494252873563223,0.15862530891285775,0.33595861145113987
2025search,查询科技类股票行情,238,238,0.004201680672268909,0.050970035049612485,0.14261736683615542
2025search,保险信息查询,135,135,0.007407407407407407,0.08089982425307558,0.21159929701230232
2025search,查询金融品种价格走势图,58,58,0.017241379310344827,0.1547695307060298,0.4498816320846679
2025search,查询个股股票信息,272,272,0.003676470588235295,0.033266738194778454,0.12507553615252753
2025search,含龙字股票信息查询,52,52,0.01923076923076923,0.1477166961899901,0.4136067493319722
2025search,国际原油价格行情查询,60,60,0.016666666666666663,0.14474742959320522,0.34790642229175983
2025search,查询概念板块龙头股,56,56,0.017857142857142856,0.1575452255553011,0.3929471032745591
2025search,钢铁股票查询,34,34,0.029411764705882353,0.25092393402835245,0.55877323625131
2025search,电话号码归属与用途查询,91,91,0.01098901098901099,0.07971041055718475,0.28079178885630507
2025search,加密货币交易所App官方下载地址查询,90,90,0.011111111111111112,0.11870134906784124,0.3487631236322336
2025search,银行存贷款利率与利息查询,178,178,0.005617977528089887,0.04928314255849065,0.15645687886335186
2025search,关闭花呗,41,41,0.024390243902439025,0.13195493088628182,0.4715220505672359
2025search,金融类App下载,130,130,0.0076923076923076945,0.05238192738192738,0.18930862680862684
2025search,股票股吧查询,969,969,0.0010319917440660474,0.009299742139282025,0.039215929648397145
2025search,查询车险险种与保费理赔范围,54,54,0.018518518518518514,0.14355497956335359,0.32464360482504234
2025search,术语含义查询,89,89,0.011235955056179773,0.07989113486235933,0.23882289569926007
2025search,期货行情查询,102,102,0.009803921568627447,0.05473806852507122,0.19998705445758183
2025search,金融术语与行情原因查询,79,79,0.012658227848101273,0.08736283185840711,0.2530265486725665
2025search,借款平台正规性查询,94,94,0.010638297872340424,0.06582856514084509,0.2235915492957747
2025search,数字串含义查询,76,75,0.013504155124653739,0.09156720798278224,0.24550968499315204
2025search,证券代码行情查询,61,61,0.01639344262295082,0.11770844203276636,0.28785349055619325
2025search,银行卡业务办理与异常处理,95,95,0.010526315789473679,0.06454679259168403,0.22779958297559172
2025search,能源资源类股票查询,69,69,0.014492753623188403,0.07339931024141551,0.27819013345329136
2025search,查询资金产品安全性及存取借贷规则,89,89,0.011235955056179773,0.0500559731328962,0.19830481368942904
2025search,数字代码查询,79,79,0.012658227848101273,0.06930915293800781,0.2162319881492122
2025search,A股个股推荐与走势预测,52,52,0.01923076923076923,0.07607693321038073,0.28467922539849827
