label,a,b,k_a,k_b,n_a,n_b,share_a,share_b,diff_pp,lo_pp,hi_pp,kind,sig,why
汇率换算查询,2025search,2026search,805,559,9998,9999,0.08051610322064413,0.055905590559055904,-2.461051266158823,-3.1610240378933745,-1.7636869239594102,stable,True,时间（搜索内部，2025→2026）
银行存贷款利率与利息查询,2025search,2026search,178,56,9998,9999,0.017803560712142428,0.0056005600560056,-1.2203000656136826,-1.5268615016387697,-0.9271569916371619,stable,True,时间（搜索内部，2025→2026）
保险信息查询,2025search,2026search,135,58,9998,9999,0.013502700540108022,0.0058005800580058,-0.7702120482102222,-1.0486233986437956,-0.5019970352356435,stable,True,时间（搜索内部，2025→2026）
查询银行及业务信息,2025search,2026search,158,84,9998,9999,0.015803160632126424,0.0084008400840084,-0.7402320548118023,-1.0491955118214993,-0.43889028072586783,stable,True,时间（搜索内部，2025→2026）
银行客服电话查询,2025search,2026search,144,71,9998,9999,0.014402880576115223,0.007100710071007101,-0.7302170505108122,-1.0225799934588757,-0.4464173897498631,stable,True,时间（搜索内部，2025→2026）
银行卡业务办理与异常处理,2025search,2026search,95,25,9998,9999,0.009501900380076015,0.0025002500250025004,-0.7001650355073514,-0.9250065933858742,-0.49093526509231317,stable,True,时间（搜索内部，2025→2026）
贷款信息查询与办理,2025search,2026search,104,36,9998,9999,0.010402080416083216,0.0036003600360036,-0.6801720380079616,-0.9204316872594567,-0.45264252654747833,stable,True,时间（搜索内部，2025→2026）
金融类App下载,2025search,2026search,130,64,9998,9999,0.01300260052010402,0.006400640064006401,-0.660196045609762,-0.9385818031289194,-0.3904445160902315,stable,True,时间（搜索内部，2025→2026）
蚂蚁庄园今日答案查询,2025search,2026search,118,53,9998,9999,0.011802360472094419,0.0053005300530053,-0.6501830419089119,-0.9128261651857509,-0.3972903965223281,stable,True,时间（搜索内部，2025→2026）
借款平台正规性查询,2025search,2026search,94,29,9998,9999,0.009401880376075216,0.0029002900290029,-0.6501590347072315,-0.8768510087792438,-0.4374572923784681,stable,True,时间（搜索内部，2025→2026）
银行信用卡客服电话查询,2025search,2026search,102,44,9998,9999,0.010202040408081616,0.0044004400440044,-0.5801600364077216,-0.8240734937172769,-0.3465189323042074,stable,True,时间（搜索内部，2025→2026）
加密货币交易所App官方下载地址查询,2025search,2026search,90,32,9998,9999,0.009001800360072015,0.0032003200320032004,-0.5801480328068814,-0.8052800777226476,-0.3674954105974833,stable,True,时间（搜索内部，2025→2026）
电子支付工具使用查询,2025search,2026search,101,45,9998,9999,0.010102020404080815,0.004500450045004501,-0.5601570359076314,-0.8038983067876939,-0.32631791315690134,stable,True,时间（搜索内部，2025→2026）
查询资金产品安全性及存取借贷规则,2025search,2026search,89,33,9998,9999,0.008901780356071214,0.0033003300330033004,-0.5601450323067914,-0.7850636778857301,-0.34724651193987915,stable,True,时间（搜索内部，2025→2026）
查询金融机构24小时人工客服电话,2025search,2026search,104,54,9998,9999,0.010402080416083216,0.0054005400540054005,-0.5001540362077815,-0.7523458982870175,-0.2560528861904577,stable,True,时间（搜索内部，2025→2026）
财经网站查询,2025search,2026search,98,55,9998,9999,0.009801960392078415,0.005500550055005501,-0.4301410337072914,-0.6780696230111883,-0.18938493907348655,stable,True,时间（搜索内部，2025→2026）
术语含义查询,2025search,2026search,89,48,9998,9999,0.008901780356071214,0.004800480048004801,-0.4101300308066413,-0.6455981801291674,-0.18233831650412563,stable,True,时间（搜索内部，2025→2026）
加密货币价格行情查询,2025search,2026search,125,89,9998,9999,0.01250250050010002,0.0089008900890089,-0.36016104110911196,-0.6498418892608653,-0.07467155710732158,stable,True,时间（搜索内部，2025→2026）
车险保险公司电话查询,2025search,2026search,69,34,9998,9999,0.006901380276055211,0.0034003400340034003,-0.3501040242051811,-0.556399860656117,-0.15260214574669523,stable,True,时间（搜索内部，2025→2026）
查询车险险种与保费理赔范围,2025search,2026search,54,19,9998,9999,0.0054010802160432084,0.0019001900190019003,-0.3500890197041308,-0.527650126434116,-0.1851326504729942,stable,True,时间（搜索内部，2025→2026）
货币兑换查询,2025search,2026search,200,166,9998,9999,0.020004000800160033,0.0166016601660166,-0.34023406341434326,-0.714637868607236,0.03197929019051371,stable,False,时间（搜索内部，2025→2026）
银行服务信息查询,2025search,2026search,55,23,9998,9999,0.005501100220044009,0.0023002300230023,-0.3200870197041709,-0.5022090851604095,-0.148661255003996,stable,True,时间（搜索内部，2025→2026）
查询农业银行及农村金融机构信息,2025search,2026search,48,19,9998,9999,0.004800960192038408,0.0019001900190019003,-0.29007701730365076,-0.4602152489077145,-0.13123041479200948,stable,True,时间（搜索内部，2025→2026）
个人征信查询与信用报告获取,2025search,2026search,56,28,9998,9999,0.005601120224044809,0.0028002800280028,-0.2800840196042009,-0.4675570981372578,-0.10123631387540676,stable,True,时间（搜索内部，2025→2026）
港股休市查询,2025search,2026search,70,46,9998,9999,0.007001400280056011,0.0046004600460046,-0.24009402340514108,-0.45656926702501816,-0.028912810867181508,stable,True,时间（搜索内部，2025→2026）
查询金融业务办理与资金问题处理方法,2025search,2026search,58,34,9998,9999,0.0058011602320464095,0.0034003400340034003,-0.2400820198043009,-0.4347556142261443,-0.05212038833617458,stable,True,时间（搜索内部，2025→2026）
关闭花呗,2025search,2026search,41,17,9998,9999,0.004100820164032806,0.0017001700170017002,-0.2400650147031106,-0.39916183669384575,-0.09170157596835347,stable,True,时间（搜索内部，2025→2026）
金融术语与行情原因查询,2025search,2026search,79,57,9998,9999,0.007901580316063212,0.005700570057005701,-0.22010102590575115,-0.4530411486269181,0.008723314408721561,stable,False,时间（搜索内部，2025→2026）
电话号码归属与用途查询,2025search,2026search,91,70,9998,9999,0.009101820364072815,0.0070007000700070005,-0.21011202940658147,-0.46228313275374433,0.038763205600770165,stable,False,时间（搜索内部，2025→2026）
东方财富官方入口查询,2025search,2026search,79,61,9998,9999,0.007901580316063212,0.006100610061006101,-0.18009702550571116,-0.41587738527366724,0.052418157592616164,stable,False,时间（搜索内部，2025→2026）
大盘走势查询,2025search,2026search,83,74,9998,9999,0.008301660332066413,0.007400740074007401,-0.0900920258059012,-0.33832399112092487,0.1566897431805652,stable,False,时间（搜索内部，2025→2026）
银行股票信息查询,2025search,2026search,61,52,9998,9999,0.00610122024404881,0.005200520052005201,-0.09007001920436092,-0.3022711949513371,0.12009902926480143,stable,False,时间（搜索内部，2025→2026）
A股个股推荐与走势预测,2025search,2026search,52,45,9998,9999,0.005201040208041608,0.004500450045004501,-0.07005901630371072,-0.2672547839800819,0.12529211638380158,stable,False,时间（搜索内部，2025→2026）
实时国际金价查询,2025search,2026search,75,71,9998,9999,0.007501500300060012,0.007100710071007101,-0.0400790229052911,-0.27939027462863,0.19853475290962644,stable,False,时间（搜索内部，2025→2026）
国际原油价格行情查询,2025search,2026search,60,56,9998,9999,0.006001200240048009,0.0056005600560056,-0.04006401840424088,-0.2543724492057035,0.17336259959722794,stable,False,时间（搜索内部，2025→2026）
数字代码查询,2025search,2026search,79,77,9998,9999,0.007901580316063212,0.007700770077007701,-0.020081023905551155,-0.26699113228209387,0.2265007234659563,stable,False,时间（搜索内部，2025→2026）
银行客服短号查询,2025search,2026search,62,60,9998,9999,0.00620124024804961,0.006000600060006,-0.020064018804360952,-0.23939832056615235,0.19884875733005603,stable,False,时间（搜索内部，2025→2026）
含龙字股票信息查询,2025search,2026search,52,51,9998,9999,0.005201040208041608,0.0051005100510051,-0.010053015703650765,-0.2121809170003164,0.19182242498652718,stable,False,时间（搜索内部，2025→2026）
钢铁股票查询,2025search,2026search,34,35,9998,9999,0.0034006801360272052,0.0035003500350035003,0.009966989897629503,-0.15678547242603946,0.17708274874264962,stable,False,时间（搜索内部，2025→2026）
ST股票信息查询,2025search,2026search,38,40,9998,9999,0.003800760152030406,0.004000400040004,0.019963988797359455,-0.1566183237589033,0.19719407503188202,stable,False,时间（搜索内部，2025→2026）
期货行情查询,2025search,2026search,102,105,9998,9999,0.010202040408081616,0.010501050105010502,0.02990096969288855,-0.2529458201692991,0.3131025050877215,stable,False,时间（搜索内部，2025→2026）
黄金价格查询,2025search,2026search,51,54,9998,9999,0.005101020204040808,0.0054005400540054005,0.029951984996459246,-0.17355929458101155,0.23418527519425814,stable,False,时间（搜索内部，2025→2026）
金属行情报价查询,2025search,2026search,38,41,9998,9999,0.003800760152030406,0.004100410041004101,0.029964988897369493,-0.14753246816678467,0.2084245411773115,stable,False,时间（搜索内部，2025→2026）
数字串含义查询,2025search,2026search,76,81,9998,9999,0.007601520304060812,0.008100810081008101,0.04992897769472895,-0.1971811246892831,0.29783631560024626,stable,False,时间（搜索内部，2025→2026）
查询概念板块龙头股,2025search,2026search,56,61,9998,9999,0.005601120224044809,0.006100610061006101,0.04994898369612916,-0.1642616942016752,0.2652405976451134,stable,False,时间（搜索内部，2025→2026）
金融代码行情查询,2025search,2026search,66,74,9998,9999,0.006601320264052811,0.007400740074007401,0.07994198099545904,-0.15349845834094936,0.31482339232701484,stable,False,时间（搜索内部，2025→2026）
