label,a,b,k_a,k_b,n_a,n_b,share_a,share_b,diff_pp,lo_pp,hi_pp,kind,sig,why
查找官方渠道与客服入口,2025search,2026search,812,428,9998,9999,0.08121624324864973,0.0428042804280428,-3.841196282060693,-4.510797299478,-3.1765210653584828,stable,True,时间（搜索内部，2025→2026）
其他或无法判定的非金融查询,2025search,2026search,867,640,9998,9999,0.08671734346869374,0.064006400640064,-2.271094282862973,-3.003733889990178,-1.540427790951226,stable,True,时间（搜索内部，2025→2026）
计算具体金额或利率,2025search,2026search,383,178,9998,9999,0.03830766153230646,0.0178017801780178,-2.050588135428866,-2.5128548946233007,-1.5964696440581734,stable,True,时间（搜索内部，2025→2026）
解释金融术语与基础规则,2025search,2026search,354,154,9998,9999,0.03540708141628326,0.015401540154015401,-2.0005541262267856,-2.4417718944428497,-1.5683403953957005,stable,True,时间（搜索内部，2025→2026）
核实金融平台真伪与合法性,2025search,2026search,195,65,9998,9999,0.01950390078015603,0.0065006500650065,-1.300325071514953,-1.6222944283126082,-0.9910724454396651,stable,True,时间（搜索内部，2025→2026）
获取银行或支付账户操作指引,2025search,2026search,208,83,9998,9999,0.02080416083216643,0.0083008300830083,-1.250333074915813,-1.5891712777059364,-0.9221872119238694,stable,True,时间（搜索内部，2025→2026）
获取每日答题活动答案,2025search,2026search,114,53,9998,9999,0.011402280456091218,0.0053005300530053,-0.6101750403085917,-0.8697025144075785,-0.3600111074027136,stable,True,时间（搜索内部，2025→2026）
判定信贷产品账单与征信规则,2025search,2026search,65,16,9998,9999,0.00650130026005201,0.0016001600160016002,-0.49011402440504104,-0.6780533546243035,-0.31845425694731744,stable,True,时间（搜索内部，2025→2026）
处置账户异常与非预期扣款,2025search,2026search,37,22,9998,9999,0.003700740148029606,0.0022002200220022,-0.1500520126027406,-0.30834983012374895,0.001741415219712176,stable,False,时间（搜索内部，2025→2026）
识别陌生电话号码归属,2025search,2026search,121,109,9998,9999,0.012102420484096819,0.010901090109010901,-0.12013303750859176,-0.4186635745436876,0.17710539091430597,stable,False,时间（搜索内部，2025→2026）
获取市场动态与事件公告,2025search,2026search,66,54,9998,9999,0.006601320264052811,0.0054005400540054005,-0.12007802100474102,-0.33872958759803173,0.09602500217173633,stable,False,时间（搜索内部，2025→2026）
比较同类金融产品并择优,2025search,2026search,20,8,9998,9999,0.002000400080016003,0.0008000800080008001,-0.12003200720152032,-0.2357263183948472,-0.015037066790776201,stable,True,时间（搜索内部，2025→2026）
寻求应急或无征信门槛借款渠道,2025search,2026search,18,6,9998,9999,0.0018003600720144029,0.0006000600060006001,-0.12003000660138027,-0.2293623934336395,-0.02311263357468518,stable,True,时间（搜索内部，2025→2026）
查询交易日程与市场状态,2025search,2026search,41,39,9998,9999,0.004100820164032806,0.0039003900390039005,-0.020043012502890575,-0.1994102493164349,0.1586820777759125,stable,False,时间（搜索内部，2025→2026）
寻求个股买卖与持有决策建议,2025search,2026search,85,110,9998,9999,0.008501700340068013,0.011001100110011002,0.2499399769942989,-0.02336867363122081,0.5264468461177015,stable,False,时间（搜索内部，2025→2026）
查询历史价格走势图,2025search,2026search,116,186,9998,9999,0.011602320464092819,0.0186018601860186,0.6999539721925783,0.36286083577559364,1.0426641482224797,stable,True,时间（搜索内部，2025→2026）
进入个股股吧讨论区,2025search,2026search,1073,1413,9998,9999,0.10732146429285858,0.1413141314131413,3.399266712028273,2.485871064809114,4.313218144899238,stable,True,时间（搜索内部，2025→2026）
查询金融资产实时行情,2025search,2026search,5423,6435,9998,9999,0.5424084816963393,0.6435643564356436,10.115587473930432,8.758585339266574,11.467296209087507,stable,True,时间（搜索内部，2025→2026）
查询金融资产实时行情,2026search,assistant_top,6435,479,9999,950,0.6435643564356436,0.5042105263157894,-13.935383011985413,-17.244324275854474,-10.62656602286874,stable,True,界面（同为头部流量）
进入个股股吧讨论区,2026search,assistant_top,1413,2,9999,950,0.1413141314131413,0.002105263157894737,-13.920886825524656,-14.634004672868947,-13.052390802001995,stable,True,界面（同为头部流量）
识别陌生电话号码归属,2026search,assistant_top,109,8,9999,950,0.010901090109010901,0.008421052631578947,-0.24800374774319542,-0.7190051083499204,0.5837069494856222,stable,False,界面（同为头部流量）
查询交易日程与市场状态,2026search,assistant_top,39,4,9999,950,0.0039003900390039005,0.004210526315789474,0.03101362767855731,-0.26310638399420194,0.6958292759456548,stable,False,界面（同为头部流量）
解释金融术语与基础规则,2026search,assistant_top,154,15,9999,950,0.015401540154015401,0.015789473684210527,0.03879335301951257,-0.6335678180920328,1.0730169036937673,stable,False,界面（同为头部流量）
寻求应急或无征信门槛借款渠道,2026search,assistant_top,6,1,9999,950,0.0006000600060006001,0.0010526315789473684,0.04525715729467683,-0.06669976542412975,0.5349039770202907,stable,False,界面（同为头部流量）
获取市场动态与事件公告,2026search,assistant_top,54,6,9999,950,0.0054005400540054005,0.00631578947368421,0.09152494196788098,-0.28753500336753174,0.8416200812814785,stable,False,界面（同为头部流量）
计算具体金额或利率,2026search,assistant_top,178,19,9999,950,0.0178017801780178,0.02,0.21982198219821988,-0.5483046523478192,1.3484729958853545,stable,False,界面（同为头部流量）
查询历史价格走势图,2026search,assistant_top,186,24,9999,950,0.0186018601860186,0.02526315789473684,0.666129770871824,-0.20432556874683816,1.8964060272496677,stable,False,界面（同为头部流量）
查找官方渠道与客服入口,2026search,assistant_top,428,49,9999,950,0.0428042804280428,0.05157894736842105,0.8774666940378248,-0.4248817130098406,2.5177485692922987,stable,False,界面（同为头部流量）
