source,label,k,n,row_share,lo,hi,pv_share
2025search,查询金融资产实时行情,5423,9998,0.5424084816963393,0.5326285721602753,0.5521558151434252,0.6866567389541628
2025search,查找官方渠道与客服入口,812,9998,0.08121624324864973,0.07602119159622374,0.08673298377973444,0.09399307450557
2025search,其他或无法判定的非金融查询,867,9998,0.08671734346869374,0.08135856045289494,0.09239358969123193,0.06428325732170857
2025search,获取每日答题活动答案,114,9998,0.011402280456091218,0.009500772853085758,0.01367910455593162,0.012021813601180447
2025search,计算具体金额或利率,383,9998,0.03830766153230646,0.03471923996713864,0.04225073221710377,0.023985144040442156
2025search,查询交易日程与市场状态,41,9998,0.004100820164032806,0.0030244598183737474,0.0055581056256197355,0.004621653508161306
2025search,获取市场动态与事件公告,66,9998,0.006601320264052811,0.005192517959511423,0.008389126924558737,0.00374255143365351
2025search,识别陌生电话号码归属,121,9998,0.012102420484096819,0.010138740572810641,0.014440879079428206,0.01063948431946495
2025search,寻求个股买卖与持有决策建议,85,9998,0.008501700340068013,0.006881283202682576,0.010499662055845857,0.004891195353790982
2025search,核实金融平台真伪与合法性,195,9998,0.01950390078015603,0.016972030953820834,0.02240486384104498,0.011919931729254367
2025search,查询历史价格走势图,116,9998,0.011602320464092819,0.009682854642296037,0.013896949121927477,0.007961128603854844
2025search,解释金融术语与基础规则,354,9998,0.03540708141628326,0.03195932081338614,0.03921171922036732,0.017272068367681786
2025search,寻求应急或无征信门槛借款渠道,18,9998,0.0018003600720144029,0.0011391558770947065,0.002844256482028236,0.0009579863394214346
2025search,进入个股股吧讨论区,1073,9998,0.10732146429285858,0.1014044559948243,0.11354010873553437,0.04343172270128408
2025search,获取银行或支付账户操作指引,208,9998,0.02080416083216643,0.01818499524118851,0.02379142086251717,0.008367543304123076
2025search,处置账户异常与非预期扣款,37,9998,0.003700740148029606,0.002686185498024782,0.005096527235556435,0.001649398266376089
2025search,比较同类金融产品并择优,20,9998,0.002000400080016003,0.0012953708542316564,0.00308796786009742,0.0011289846754332885
2025search,判定信贷产品账单与征信规则,65,9998,0.00650130026005201,0.005104436138045608,0.008277245568421484,0.002476322974436305
2026search,查询金融资产实时行情,6435,9999,0.6435643564356436,0.6341232246168653,0.6528952202722023,0.8209467201158089
2026search,查找官方渠道与客服入口,428,9999,0.0428042804280428,0.03900926709930252,0.04695045368762072,0.03923980247396686
2026search,其他或无法判定的非金融查询,640,9999,0.064006400640064,0.059374305194774546,0.06897337122884831,0.036510049153914134
2026search,查询历史价格走势图,186,9999,0.0186018601860186,0.016132476136384383,0.021440993404872308,0.013596731968141594
2026search,获取每日答题活动答案,53,9999,0.0053005300530053,0.004054928592021103,0.006926097082815545,0.005023682181644184
2026search,获取市场动态与事件公告,54,9999,0.0054005400540054005,0.004141731847001381,0.007039237014800833,0.0029621196137617012
2026search,计算具体金额或利率,178,9999,0.0178017801780178,0.01538905366216388,0.0205848703833683,0.006694572035340601
2026search,进入个股股吧讨论区,1413,9999,0.1413141314131413,0.13462401765241436,0.14827974229558963,0.050502134199977636
2026search,获取银行或支付账户操作指引,83,9999,0.0083008300830083,0.0067016395758850945,0.010277681707918481,0.002673038324194847
2026search,查询交易日程与市场状态,39,9999,0.0039003900390039005,0.002854646453003977,0.005327174604314776,0.0023077864091230753
2026search,寻求应急或无征信门槛借款渠道,6,9999,0.0006000600060006001,0.00027504098162801406,0.001308654905827118,0.0005509063432602626
2026search,识别陌生电话号码归属,109,9999,0.010901090109010901,0.009045380123003651,0.013132464021904596,0.004888318720656529
2026search,寻求个股买卖与持有决策建议,110,9999,0.011001100110011002,0.009136184339001412,0.0132416029928724,0.004553535055786725
2026search,解释金融术语与基础规则,154,9999,0.015401540154015401,0.01316725210662964,0.018008035451728997,0.005725186110993083
