key,类目,搜索条数,搜索n,搜索占比%,助手条数,助手n,助手占比%,差_pp,低_pp,高_pp,显著,归属,另一边期望条数,另一边P(0),缺席判定,助手行占该类比例%
11,股票信息查询,4122,19997,20.613,242,2937,8.24,-12.373,-13.471,-11.186,True,两界面都有,,,,5.55
6,股票股吧查询,2282,19997,11.412,36,2937,1.226,-10.186,-10.748,-9.549,True,两界面都有,,,,1.55
51,股票代码查询#51,1215,19997,6.076,11,2937,0.375,-5.701,-6.079,-5.264,True,两界面都有,,,,0.9
18,财经网站与证券股票信息查询,735,19997,3.676,48,2937,1.634,-2.041,-2.523,-1.458,True,两界面都有,,,,6.13
21,科技类股票行情查询,592,19997,2.96,43,2937,1.464,-1.496,-1.944,-0.946,True,两界面都有,,,,6.77
53,个股股票信息查询,406,19997,2.03,21,2937,0.715,-1.315,-1.636,-0.896,True,两界面都有,,,,4.92
77,个股资料与行情查询,316,19997,1.58,8,2937,0.272,-1.308,-1.534,-0.997,True,两界面都有,,,,2.47
10,黄金价格与行情查询,453,19997,2.265,44,2937,1.498,-0.767,-1.204,-0.223,True,两界面都有,,,,8.85
68,数字串含义查询,157,19997,0.785,2,2937,0.068,-0.717,-0.858,-0.504,True,两界面都有,,,,1.26
9,期货行情查询,207,19997,1.035,10,2937,0.34,-0.695,-0.911,-0.381,True,两界面都有,,,,4.61
65,金融机构24小时人工客服电话查询,158,19997,0.79,4,2937,0.136,-0.654,-0.81,-0.412,True,两界面都有,,,,2.47
70,金融代码行情查询,140,19997,0.7,2,2937,0.068,-0.632,-0.767,-0.423,True,两界面都有,,,,1.41
52,能源资源类股票查询,160,19997,0.8,6,2937,0.204,-0.596,-0.769,-0.329,True,两界面都有,,,,3.61
71,数字代码查询,156,19997,0.78,6,2937,0.204,-0.576,-0.748,-0.31,True,两界面都有,,,,3.7
63,电话号码归属与用途查询,161,19997,0.805,8,2937,0.272,-0.533,-0.722,-0.245,True,两界面都有,,,,4.73
13,特定股票查询,172,19997,0.86,10,2937,0.34,-0.52,-0.727,-0.211,True,两界面都有,,,,5.49
69,证券代码行情查询,157,19997,0.785,8,2937,0.272,-0.513,-0.701,-0.225,True,两界面都有,,,,4.85
4,国际原油价格行情查询,116,19997,0.58,4,2937,0.136,-0.444,-0.586,-0.21,True,两界面都有,,,,3.33
72,股票代码查询#72,192,19997,0.96,16,2937,0.545,-0.415,-0.67,-0.054,True,两界面都有,,,,7.69
64,银行客服短号查询,122,19997,0.61,6,2937,0.204,-0.406,-0.567,-0.146,True,两界面都有,,,,4.69
40,查询A股股票及板块信息,261,19997,1.305,27,2937,0.919,-0.386,-0.718,0.055,False,两界面都有,,,,9.38
50,货币兑换查询,366,19997,1.83,43,2937,1.464,-0.366,-0.789,0.166,False,两界面都有,,,,10.51
38,加密货币价格行情查询,214,19997,1.07,21,2937,0.715,-0.355,-0.645,0.044,False,两界面都有,,,,8.94
3,汇率换算查询,1364,19997,6.821,191,2937,6.503,-0.318,-1.227,0.691,False,两界面都有,,,,12.28
80,银行股票信息查询,113,19997,0.565,8,2937,0.272,-0.293,-0.469,-0.012,True,两界面都有,,,,6.61
66,银行客服电话查询,215,19997,1.075,23,2937,0.783,-0.292,-0.594,0.12,False,两界面都有,,,,9.66
62,金属行情报价查询,79,19997,0.395,6,2937,0.204,-0.191,-0.338,0.062,False,两界面都有,,,,7.06
57,大盘走势查询,157,19997,0.785,19,2937,0.647,-0.138,-0.406,0.24,False,两界面都有,,,,10.8
39,加密货币交易所App官方下载地址查询,122,19997,0.61,14,2937,0.477,-0.133,-0.359,0.203,False,两界面都有,,,,10.29
61,实时国际金价查询,146,19997,0.73,18,2937,0.613,-0.117,-0.376,0.253,False,两界面都有,,,,10.98
58,ST股票信息查询,78,19997,0.39,10,2937,0.34,-0.05,-0.232,0.246,False,两界面都有,,,,11.36
42,借款平台正规性查询,123,19997,0.615,19,2937,0.647,0.032,-0.229,0.407,False,两界面都有,,,,13.38
60,今日金价查询,197,19997,0.985,30,2937,1.021,0.036,-0.302,0.488,False,两界面都有,,,,13.22
73,金融类App下载查询,194,19997,0.97,30,2937,1.021,0.051,-0.287,0.502,False,两界面都有,,,,13.39
2,术语含义查询,137,19997,0.685,24,2937,0.817,0.132,-0.163,0.542,False,两界面都有,,,,14.91
67,银行信用卡客服电话查询,146,19997,0.73,26,2937,0.885,0.155,-0.153,0.578,False,两界面都有,,,,15.12
59,白银价格行情查询,78,19997,0.39,16,2937,0.545,0.155,-0.076,0.502,False,两界面都有,,,,17.02
17,股票与指数行情查询,567,19997,2.835,88,2937,2.996,0.161,-0.446,0.876,False,两界面都有,,,,13.44
55,黄金价格查询,105,19997,0.525,21,2937,0.715,0.19,-0.08,0.576,False,两界面都有,,,,16.67
78,查询金融品种价格走势图,159,19997,0.795,31,2937,1.055,0.26,-0.078,0.714,False,两界面都有,,,,16.32
74,黄金价格及黄金股票行情查询,128,19997,0.64,30,2937,1.021,0.381,0.053,0.826,True,两界面都有,,,,18.99
75,每日答题活动答案查询,171,19997,0.855,46,2937,1.566,0.711,0.298,1.241,True,两界面都有,,,,21.2
1,板块与基金核心数据查询,231,19997,1.155,55,2937,1.873,0.717,0.258,1.291,True,两界面都有,,,,19.23
49,股票行情查询,642,19997,3.21,142,2937,4.835,1.624,0.862,2.493,True,两界面都有,,,,18.11
47,贷款信息查询与办理,140,19997,0.7,73,2937,2.486,1.785,1.266,2.423,True,两界面都有,,,,34.27
19,银行存贷款利率与利息查询,234,19997,1.17,88,2937,2.996,1.826,1.246,2.521,True,两界面都有,,,,27.33
48,查询农业银行及农村金融机构信息,67,19997,0.335,64,2937,2.179,1.844,1.367,2.442,True,两界面都有,,,,48.85
45,银行卡业务办理与异常处理,120,19997,0.6,79,2937,2.69,2.09,1.551,2.747,True,两界面都有,,,,39.7
79,银行服务信息查询,78,19997,0.39,79,2937,2.69,2.3,1.765,2.954,True,两界面都有,,,,50.32
22,银行及业务信息查询,242,19997,1.21,105,2937,3.575,2.365,1.731,3.113,True,两界面都有,,,,30.26
76,金融术语与行情原因查询,136,19997,0.68,90,2937,3.064,2.384,1.806,3.079,True,两界面都有,,,,39.82
23,保险信息查询,369,19997,1.845,153,2937,5.209,3.364,2.592,4.246,True,两界面都有,,,,29.31
7,个人金融支付与征信业务查询,380,19997,1.9,175,2937,5.958,4.058,3.234,4.991,True,两界面都有,,,,31.53
46,查询资金产品安全性及存取借贷规则,122,19997,0.61,145,2937,4.937,4.327,3.591,5.177,True,两界面都有,,,,54.31
44,A股个股推荐与走势预测查询,97,19997,0.485,413,2937,14.062,13.577,12.362,14.884,True,两界面都有,,,,80.98
