外层,a,b,n_a,n_b,内层TVD,同源噪声上界,超出噪声,a主导内层,a主导占比%,b主导内层,b主导占比%,主导是否相同
今日金价查询,2025搜索,2026搜索,93,104,0.0108,0.0108,False,查询金融资产实时行情,98.92,查询金融资产实时行情,100.0,True
查询上证指数行情,2025搜索,2026搜索,47,56,0.0467,0.1253,False,查询金融资产实时行情,91.49,查询金融资产实时行情,89.29,True
黄金价格查询,2025搜索,2026搜索,51,54,0.1002,0.1398,False,查询金融资产实时行情,86.27,查询金融资产实时行情,92.59,True
实时国际金价查询,2025搜索,2026搜索,75,71,0.0259,0.1001,False,查询金融资产实时行情,92.0,查询金融资产实时行情,92.96,True
东方财富官方入口查询,2025搜索,2026搜索,79,61,0.1216,0.1689,False,查找官方渠道与客服入口,70.89,查找官方渠道与客服入口,67.21,True
查询股票行情,2025搜索,2026搜索,262,380,0.0144,0.0519,False,查询金融资产实时行情,91.22,查询金融资产实时行情,91.84,True
查询股票行情,2025搜索,助手头部1k,262,64,0.1299,0.1025,True,查询金融资产实时行情,91.22,查询金融资产实时行情,82.81,True
查询股票行情,2025搜索,助手随机1k,262,33,0.712,0.1508,True,查询金融资产实时行情,91.22,寻求个股买卖与持有决策建议,69.7,False
查询股票行情,2025搜索,助手语音1k,262,45,0.3802,0.1338,True,查询金融资产实时行情,91.22,查询金融资产实时行情,55.56,True
查询股票行情,2026搜索,助手头部1k,380,64,0.135,0.0962,True,查询金融资产实时行情,91.84,查询金融资产实时行情,82.81,True
查询股票行情,2026搜索,助手随机1k,380,33,0.7141,0.1505,True,查询金融资产实时行情,91.84,寻求个股买卖与持有决策建议,69.7,False
查询股票行情,2026搜索,助手语音1k,380,45,0.3801,0.1082,True,查询金融资产实时行情,91.84,查询金融资产实时行情,55.56,True
查询股票行情,助手头部1k,助手随机1k,64,33,0.6335,0.2496,True,查询金融资产实时行情,82.81,寻求个股买卖与持有决策建议,69.7,False
查询股票行情,助手头部1k,助手语音1k,64,45,0.2882,0.2199,True,查询金融资产实时行情,82.81,查询金融资产实时行情,55.56,True
查询股票行情,助手随机1k,助手语音1k,33,45,0.5273,0.2974,True,寻求个股买卖与持有决策建议,69.7,查询金融资产实时行情,55.56,False
