key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,助手语音1k_排名,主导意图,主导意图占比%,盲评一致性,风险标注,user_need
40,股票信息查询,用户输入股票名称或代码后，获得该股票对应的基本信息、行情或公司资料即满足。,4364,19.029,1847,18.474,17.725,19.246,16.601,2275,22.752,21.941,23.584,23.647,150,15.789,13.609,18.245,10.165,40,4.053,2.99,5.471,4.404,52,5.2,3.987,6.756,5.2,27.88,0.9708,1.3939,34.33,1.1957,1.7167,23.83,0.8298,1.1913,6.12,0.213,0.3058,7.85,0.2733,0.3923,5,,,2026搜索,助手随机1k,18.7,5.61,1,1,1,5,4,查询金融资产实时行情,95.5,4.0,True,用户输入股票名称或代码后，获得该股票对应的基本信息、行情或公司资料即满足。
19,股票股吧查询,用户输入某只股票名称或代码后，系统返回该股票对应的股吧讨论区页面或直达入口，用户感到满意。,2318,10.107,969,9.692,9.127,10.287,3.985,1313,13.131,12.483,13.807,4.788,6,0.632,0.29,1.371,0.395,7,0.709,0.344,1.457,0.691,23,2.3,1.537,3.428,2.3,36.62,0.9589,1.8312,49.62,1.2992,2.481,2.39,0.0625,0.1193,2.68,0.0702,0.134,8.69,0.2276,0.4346,5,,,2026搜索,助手头部1k,12.5,20.79,2,2,40,26,15,进入个股股吧讨论区,94.5,4.0,,用户输入某只股票名称或代码后，系统返回该股票对应的股吧讨论区页面或直达入口，用户感到满意。
8,汇率换算查询,用户输入两个币种或金额（如人民币兑美元、300万韩元等于多少人民币），希望获得对应的汇率数值或换算结果，即视为满足。,1555,6.78,805,8.052,7.534,8.601,11.832,559,5.591,5.157,6.058,6.194,60,6.316,4.938,8.045,3.96,20,2.026,1.316,3.109,1.9,111,11.1,9.3,13.198,11.1,24.34,1.1875,1.2168,16.9,0.8245,0.8449,19.09,0.9315,0.9545,6.12,0.2989,0.3062,33.55,1.6371,1.6775,5,,,助手语音1k,助手随机1k,9.074,5.48,3,4,3,12,1,查询金融资产实时行情,62.6,4.0,,用户输入两个币种或金额（如人民币兑美元、300万韩元等于多少人民币），希望获得对应的汇率数值或换算结果，即视为满足。
16,股票代码查询#16,用户输入六位数字股票代码后，获得该代码对应的股票行情或证券基本信息即满足。,1226,5.346,605,6.051,5.601,6.536,2.555,610,6.101,5.648,6.587,2.261,1,0.105,0.019,0.594,0.084,4,0.405,0.158,1.037,0.345,6,0.6,0.275,1.303,0.6,45.63,1.132,2.2813,46.0,1.1412,2.3,0.79,0.0197,0.0397,3.06,0.0758,0.1528,4.52,0.1122,0.2262,5,,,2026搜索,助手头部1k,5.995,57.96,4,3,62,42,32,查询金融资产实时行情,97.1,4.0,,用户输入六位数字股票代码后，获得该代码对应的股票行情或证券基本信息即满足。
3,查询股票行情,用户想查询股票市场或特定个股的实时/最新行情与价格数据；获得相应市场指数或个股价格、走势信息后即满足。,784,3.419,262,2.621,2.325,2.952,3.787,380,3.8,3.443,4.193,5.639,64,6.737,5.311,8.511,9.713,33,3.343,2.39,4.658,3.368,45,4.5,3.38,5.968,4.5,12.48,0.7666,0.6239,18.1,1.1117,0.9048,32.08,1.9707,1.6039,15.92,0.978,0.796,21.43,1.3164,1.0714,5,,,助手头部1k,2025搜索,4.116,2.57,5,5,2,8,7,查询金融资产实时行情,86.1,4.0,True,用户想查询股票市场或特定个股的实时/最新行情与价格数据；获得相应市场指数或个股价格、走势信息后即满足。
86,查询科技类股票行情,用户输入某家科技公司或股票简称后，获得该股票的价格行情、走势或最新消息即满足。,635,2.769,238,2.38,2.099,2.698,1.503,354,3.54,3.196,3.921,4.435,22,2.316,1.534,3.481,1.835,10,1.013,0.551,1.855,1.123,11,1.1,0.615,1.959,1.1,23.0,0.8597,1.15,34.21,1.2787,1.7104,22.38,0.8364,1.1188,9.79,0.3659,0.4895,10.63,0.3973,0.5314,5,,,2026搜索,助手随机1k,2.527,3.49,6,6,10,17,24,查询金融资产实时行情,95.1,4.0,,用户输入某家科技公司或股票简称后，获得该股票的价格行情、走势或最新消息即满足。
1,A股个股推荐与走势预测,用户给出A股选股条件或询问具体个股、板块的走势后，获得对应个股推荐、涨跌空间、支撑压力位、买卖时机及风险判断即满足。,510,2.224,52,0.52,0.397,0.681,0.188,45,0.45,0.337,0.602,0.189,48,5.053,3.832,6.635,2.897,278,28.166,25.449,31.053,27.116,87,8.7,7.107,10.609,8.7,1.21,0.2339,0.0606,1.05,0.2024,0.0525,11.78,2.2721,0.589,65.67,12.6659,3.2836,20.28,3.9123,1.0142,5,,,助手随机1k,2026搜索,27.716,62.59,57,51,4,1,2,寻求个股买卖与持有决策建议,50.8,4.0,True,用户给出A股选股条件或询问具体个股、板块的走势后，获得对应个股推荐、涨跌空间、支撑压力位、买卖时机及风险判断即满足。
37,黄金价格与行情查询,用户查询黄金相关价格时，获得当日黄金每克价格或黄金大盘、期货、实时行情，即满足。,497,2.167,178,1.78,1.539,2.059,1.536,275,2.75,2.447,3.089,2.366,31,3.263,2.308,4.595,2.302,4,0.405,0.158,1.037,1.727,9,0.9,0.474,1.702,0.9,19.57,0.8215,0.9783,30.23,1.2691,1.5113,35.86,1.5058,1.7931,4.45,0.187,0.2227,9.89,0.4153,0.4946,5,,,助手头部1k,助手随机1k,2.858,8.05,8,7,7,42,27,查询金融资产实时行情,95.4,4.0,,用户查询黄金相关价格时，获得当日黄金每克价格或黄金大盘、期货、实时行情，即满足。
41,查询个股股票信息#41,用户输入某只股票名称或简称，想要获取该股票的基本资料、行情或最新公告消息；得到这些具体内容即满足。,427,1.862,157,1.57,1.345,1.833,1.217,249,2.49,2.203,2.814,2.744,12,1.263,0.724,2.195,0.599,3,0.304,0.103,0.89,0.259,6,0.6,0.275,1.303,0.6,25.22,0.8434,1.2608,39.99,1.3375,1.9993,20.28,0.6784,1.0141,4.88,0.1633,0.244,9.63,0.3223,0.4817,5,,,2026搜索,助手随机1k,2.186,8.19,11,8,24,50,32,查询金融资产实时行情,97.9,4.0,True,用户输入某只股票名称或简称，想要获取该股票的基本资料、行情或最新公告消息；得到这些具体内容即满足。
9,货币兑换查询,用户输入两种货币名称后，获得二者之间的兑换汇率或换算金额，即认为查询成功。,409,1.783,200,2.0,1.744,2.294,1.41,166,1.66,1.428,1.93,0.855,22,2.316,1.534,3.481,1.193,4,0.405,0.158,1.037,0.345,17,1.7,1.064,2.706,1.7,24.75,1.1217,1.2376,20.54,0.9309,1.0271,28.66,1.2985,1.4328,5.01,0.2272,0.2507,21.04,0.9532,1.0518,5,,,助手头部1k,助手随机1k,1.911,5.71,7,10,10,42,17,查询金融资产实时行情,78.0,4.0,,用户输入两种货币名称后，获得二者之间的兑换汇率或换算金额，即认为查询成功。
