key,类目,定义,全语料条数,全语料占比%,2025搜索_条数,2025搜索_占比%,2025搜索_95CI低%,2025搜索_95CI高%,2025搜索_流量占比%,2026搜索_条数,2026搜索_占比%,2026搜索_95CI低%,2026搜索_95CI高%,2026搜索_流量占比%,助手头部1k_条数,助手头部1k_占比%,助手头部1k_95CI低%,助手头部1k_95CI高%,助手头部1k_流量占比%,助手随机1k_条数,助手随机1k_占比%,助手随机1k_95CI低%,助手随机1k_95CI高%,助手随机1k_流量占比%,助手语音1k_条数,助手语音1k_占比%,助手语音1k_95CI低%,助手语音1k_95CI高%,助手语音1k_流量占比%,2025搜索_均衡归属%,2025搜索_指数,2025搜索_均衡指数,2026搜索_均衡归属%,2026搜索_指数,2026搜索_均衡指数,助手头部1k_均衡归属%,助手头部1k_指数,助手头部1k_均衡指数,助手随机1k_均衡归属%,助手随机1k_指数,助手随机1k_均衡指数,助手语音1k_均衡归属%,助手语音1k_指数,助手语音1k_均衡指数,出现快照数,缺席快照,独占快照,最高快照,最低快照,极差pp,最高比最低倍数,2025搜索_排名,2026搜索_排名,助手头部1k_排名,助手随机1k_排名,助手语音1k_排名,主导叶,主导叶占比%,体系内风险标注,架构师预估占比,user_need
QUOTE_LOOKUP,查询金融资产实时行情,用户想查看某只股票、指数、商品、期货或货币对的最新价格、涨跌幅与当日行情，而不是历史曲线、新闻或操作建议。,12618,55.019,5423,54.241,53.263,55.216,68.666,6435,64.356,63.412,65.29,82.095,479,50.421,47.246,53.592,56.188,86,8.713,7.11,10.637,10.276,195,19.5,17.163,22.07,19.5,27.5,0.9859,1.3751,32.63,1.1697,1.6315,25.56,0.9164,1.2782,4.42,0.1584,0.2209,9.89,0.3544,0.4943,5,,,2026搜索,助手随机1k,55.643,7.39,1,1,1,4,1,股票信息查询,33.0,否,0.5,页面直接给出所问对象的最新价格、涨跌幅和当日走势即满足。
STOCK_FORUM_VISIT,进入个股股吧讨论区,用户想打开某只股票在股吧等讨论区的页面，浏览其他投资者的讨论与情绪，而非看报价或新闻。,2499,10.896,1073,10.732,10.14,11.354,4.343,1413,14.131,13.462,14.828,5.05,2,0.211,0.058,0.764,0.916,1,0.101,0.018,0.572,0.086,10,1.0,0.544,1.831,1.0,41.0,0.9849,2.05,53.99,1.2969,2.6994,0.8,0.0193,0.0402,0.39,0.0093,0.0194,3.82,0.0918,0.191,5,,,2026搜索,助手随机1k,14.03,139.48,2,2,17,17,12,股票股吧查询,87.6,否,0.08,成功进入该股票的股吧页面并能浏览最新帖子即满足。
OTHER_OR_NOISE,其他或无法判定的非金融查询,不属于上述任何金融意图、或当前文本无法判定意图的域外查询、会话残片和噪声。,1883,8.211,867,8.672,8.136,9.239,6.428,640,6.401,5.937,6.897,3.651,90,9.474,7.771,11.503,9.283,166,16.819,14.615,19.28,14.767,120,12.0,10.13,14.161,12.0,16.25,1.0562,0.8125,11.99,0.7796,0.5997,17.75,1.1538,0.8876,31.52,2.0484,1.5758,22.49,1.4615,1.1243,5,,,助手随机1k,2026搜索,10.418,2.63,3,3,2,2,3,股票代码查询,11.0,否,0.03,知道该查询不属于任何可识别的金融意图或当前无法判定即可。
OFFICIAL_CHANNEL_LOOKUP,查找官方渠道与客服入口,用户想直达某机构或产品的官方客服电话、官网、登录入口、App下载或网点营业时间，是导航需求而不是了解或解释该机构。,1418,6.183,812,8.122,7.602,8.673,9.399,428,4.28,3.901,4.695,3.924,49,5.158,3.923,6.754,6.805,43,4.357,3.25,5.817,4.059,86,8.6,7.017,10.5,8.6,26.61,1.3135,1.3307,14.03,0.6923,0.7013,16.9,0.8342,0.8451,14.28,0.7046,0.7138,28.18,1.3909,1.4091,5,,,助手语音1k,2026搜索,4.32,2.01,4,4,5,9,7,银行客服电话查询,16.6,否,0.04,拿到经验证的官方电话、官网、入口链接或营业时间答复即满足。
AMOUNT_CALCULATION,计算具体金额或利率,用户给出具体金额、本金、期限、汇率等条件，想得到一个算好的数值结果，而不是仅查当前牌价或看行情。,736,3.209,383,3.831,3.472,4.225,2.399,178,1.78,1.539,2.058,0.669,19,2.0,1.284,3.103,1.073,45,4.559,3.425,6.046,4.663,111,11.1,9.3,13.198,11.1,16.46,1.1937,0.8231,7.65,0.5547,0.3825,8.59,0.6232,0.4297,19.59,1.4207,0.9796,47.7,3.4588,2.385,5,,,助手语音1k,2026搜索,9.32,6.24,5,6,10,8,4,汇率换算查询,71.6,否,0.05,拿到按当前牌价或给定条件算出的具体钱数、利息或利率即满足。
FINANCE_TERM_EXPLANATION,解释金融术语与基础规则,用户想要一个金融概念、交易规则、符号或险种区别的通俗解释，不涉及当前价格、操作步骤或具体产品真伪判断。,725,3.161,354,3.541,3.196,3.921,1.727,154,1.54,1.317,1.801,0.573,15,1.579,0.959,2.589,1.494,93,9.422,7.754,11.406,8.549,109,10.9,9.116,12.983,10.9,13.12,1.12,0.6561,5.71,0.4872,0.2854,5.85,0.4995,0.2926,34.92,2.9806,1.7461,40.4,3.448,2.0198,5,,,助手语音1k,2026搜索,9.36,7.08,6,7,12,3,5,术语含义查询,19.0,否,0.03,得到该术语或基础规则的清楚解释即满足。
INVESTMENT_DECISION_ADVICE,寻求个股买卖与持有决策建议,用户拿着具体持仓或标的是想判断能不能买、要不要继续持有、是否利好利空、未来怎么走，期待明确操作建议或标的推荐。,648,2.825,85,0.85,0.688,1.05,0.489,110,1.1,0.914,1.324,0.455,87,9.158,7.485,11.16,4.024,276,27.964,25.253,30.845,29.102,90,9.0,7.38,10.934,9.0,1.77,0.3009,0.0884,2.29,0.3894,0.1144,19.05,3.2412,0.9525,58.17,9.8968,2.9085,18.72,3.1853,0.9361,5,,,助手随机1k,2025搜索,27.113,32.89,12,8,3,1,6,A股个股推荐与走势预测,40.0,是,0.02,得到一个针对该标的的明确判断或操作建议即满足，合规上也可给出无法提供投资建议的表态。
ACCOUNT_OPERATION_HOWTO,获取银行或支付账户操作指引,用户想知道如何在银行、支付或金融App中完成某项具体操作，或某业务的具体办理规定和入口。,519,2.263,208,2.08,1.818,2.379,0.837,83,0.83,0.67,1.028,0.267,24,2.526,1.703,3.732,1.943,69,6.991,5.561,8.754,7.34,135,13.5,11.521,15.758,13.5,8.02,0.9193,0.4012,3.2,0.3668,0.1601,9.74,1.1163,0.4872,26.96,3.0892,1.3481,52.07,5.9655,2.6034,5,,,助手语音1k,2026搜索,12.67,16.26,7,10,7,5,2,电子支付工具使用查询,19.7,否,0.03,拿到可照做的分步操作指引或明确规则答案即满足。
CHART_LOOKUP,查询历史价格走势图,用户想看某资产的历史价格曲线或长期走势数据，用来了解过去走势，而不是获取当前实时报价。,338,1.474,116,1.16,0.968,1.39,0.796,186,1.86,1.613,2.144,1.36,24,2.526,1.703,3.732,1.232,6,0.608,0.279,1.32,0.691,6,0.6,0.275,1.303,0.6,17.18,0.7872,0.8588,27.54,1.2622,1.377,37.4,1.7142,1.8701,9.0,0.4125,0.45,8.88,0.4071,0.4441,5,,,助手头部1k,助手语音1k,1.926,4.21,10,5,7,13,14,查询金融品种价格走势图,48.5,否,0.01,页面直接展示可查看的价格曲线或历史行情数据即可满足。
PLATFORM_LEGITIMACY_CHECK,核实金融平台真伪与合法性,用户想确认某贷款、理财、支付或催收平台是否正规可靠、是不是骗局，期待一个明确判断而非名词解释或渠道导航。,301,1.312,195,1.95,1.697,2.24,1.192,65,0.65,0.51,0.828,0.255,23,2.421,1.619,3.607,2.285,14,1.418,0.847,2.367,1.9,4,0.4,0.156,1.024,0.4,28.51,1.4861,1.4257,9.5,0.4953,0.4752,35.4,1.8447,1.7698,20.74,1.0807,1.0369,5.85,0.3048,0.2924,5,,,助手头部1k,助手语音1k,2.021,6.05,8,11,9,12,16,借款平台正规性查询,39.9,是,0.02,得到该平台是否正规可靠的明确结论及其依据即满足。
