key,类目,a,b,k_a,k_b,n_a,n_b,占比_a%,占比_b%,差_pp,低_pp,高_pp,显著,类型
1,板块与基金核心数据查询,2025搜索,2026搜索,81,150,9998,9999,0.81,1.5,0.69,0.395,0.992,True,共有
10,黄金价格与行情查询,2025搜索,2026搜索,178,275,9998,9999,1.78,2.75,0.97,0.559,1.386,True,共有
11,股票信息查询,2025搜索,2026搜索,1847,2275,9998,9999,18.474,22.752,4.279,3.158,5.398,True,共有
13,特定股票查询,2025搜索,2026搜索,86,86,9998,9999,0.86,0.86,-0.0,-0.259,0.259,False,共有
17,股票与指数行情查询,2025搜索,2026搜索,259,308,9998,9999,2.591,3.08,0.49,0.029,0.952,True,共有
18,财经网站与证券股票信息查询,2025搜索,2026搜索,363,372,9998,9999,3.631,3.72,0.09,-0.433,0.612,False,共有
19,银行存贷款利率与利息查询,2025搜索,2026搜索,178,56,9998,9999,1.78,0.56,-1.22,-1.527,-0.927,True,共有
2,术语含义查询,2025搜索,2026搜索,89,48,9998,9999,0.89,0.48,-0.41,-0.646,-0.182,True,共有
21,科技类股票行情查询,2025搜索,2026搜索,238,354,9998,9999,2.38,3.54,1.16,0.691,1.633,True,共有
22,银行及业务信息查询,2025搜索,2026搜索,158,84,9998,9999,1.58,0.84,-0.74,-1.049,-0.439,True,共有
23,保险信息查询,2025搜索,2026搜索,258,111,9998,9999,2.581,1.11,-1.47,-1.849,-1.101,True,共有
3,汇率换算查询,2025搜索,2026搜索,805,559,9998,9999,8.052,5.591,-2.461,-3.161,-1.764,True,共有
38,加密货币价格行情查询,2025搜索,2026搜索,125,89,9998,9999,1.25,0.89,-0.36,-0.65,-0.075,True,共有
39,加密货币交易所App官方下载地址查询,2025搜索,2026搜索,90,32,9998,9999,0.9,0.32,-0.58,-0.805,-0.367,True,共有
4,国际原油价格行情查询,2025搜索,2026搜索,60,56,9998,9999,0.6,0.56,-0.04,-0.254,0.173,False,共有
40,查询A股股票及板块信息,2025搜索,2026搜索,126,135,9998,9999,1.26,1.35,0.09,-0.226,0.407,False,共有
42,借款平台正规性查询,2025搜索,2026搜索,94,29,9998,9999,0.94,0.29,-0.65,-0.877,-0.437,True,共有
44,A股个股推荐与走势预测查询,2025搜索,2026搜索,52,45,9998,9999,0.52,0.45,-0.07,-0.267,0.125,False,共有
45,银行卡业务办理与异常处理,2025搜索,2026搜索,95,25,9998,9999,0.95,0.25,-0.7,-0.925,-0.491,True,共有
46,查询资金产品安全性及存取借贷规则,2025搜索,2026搜索,89,33,9998,9999,0.89,0.33,-0.56,-0.785,-0.347,True,共有
47,贷款信息查询与办理,2025搜索,2026搜索,104,36,9998,9999,1.04,0.36,-0.68,-0.92,-0.453,True,共有
48,查询农业银行及农村金融机构信息,2025搜索,2026搜索,48,19,9998,9999,0.48,0.19,-0.29,-0.46,-0.131,True,共有
49,股票行情查询,2025搜索,2026搜索,262,380,9998,9999,2.621,3.8,1.18,0.692,1.671,True,共有
50,货币兑换查询,2025搜索,2026搜索,200,166,9998,9999,2.0,1.66,-0.34,-0.715,0.032,False,共有
51,股票代码查询#51,2025搜索,2026搜索,605,610,9998,9999,6.051,6.101,0.049,-0.614,0.712,False,共有
52,能源资源类股票查询,2025搜索,2026搜索,69,91,9998,9999,0.69,0.91,0.22,-0.028,0.471,False,共有
53,个股股票信息查询,2025搜索,2026搜索,157,249,9998,9999,1.57,2.49,0.92,0.53,1.315,True,共有
55,黄金价格查询,2025搜索,2026搜索,51,54,9998,9999,0.51,0.54,0.03,-0.174,0.234,False,共有
57,大盘走势查询,2025搜索,2026搜索,83,74,9998,9999,0.83,0.74,-0.09,-0.338,0.157,False,共有
58,ST股票信息查询,2025搜索,2026搜索,38,40,9998,9999,0.38,0.4,0.02,-0.157,0.197,False,共有
59,白银价格行情查询,2025搜索,2026搜索,26,52,9998,9999,0.26,0.52,0.26,0.087,0.441,True,共有
6,股票股吧查询,2025搜索,2026搜索,969,1313,9998,9999,9.692,13.131,3.439,2.559,4.32,True,共有
60,今日金价查询,2025搜索,2026搜索,93,104,9998,9999,0.93,1.04,0.11,-0.166,0.387,False,共有
61,实时国际金价查询,2025搜索,2026搜索,75,71,9998,9999,0.75,0.71,-0.04,-0.279,0.199,False,共有
62,金属行情报价查询,2025搜索,2026搜索,38,41,9998,9999,0.38,0.41,0.03,-0.148,0.208,False,共有
63,电话号码归属与用途查询,2025搜索,2026搜索,91,70,9998,9999,0.91,0.7,-0.21,-0.462,0.039,False,共有
64,银行客服短号查询,2025搜索,2026搜索,62,60,9998,9999,0.62,0.6,-0.02,-0.239,0.199,False,共有
65,金融机构24小时人工客服电话查询,2025搜索,2026搜索,104,54,9998,9999,1.04,0.54,-0.5,-0.752,-0.256,True,共有
66,银行客服电话查询,2025搜索,2026搜索,144,71,9998,9999,1.44,0.71,-0.73,-1.023,-0.446,True,共有
67,银行信用卡客服电话查询,2025搜索,2026搜索,102,44,9998,9999,1.02,0.44,-0.58,-0.824,-0.347,True,共有
68,数字串含义查询,2025搜索,2026搜索,76,81,9998,9999,0.76,0.81,0.05,-0.197,0.298,False,共有
69,证券代码行情查询,2025搜索,2026搜索,61,96,9998,9999,0.61,0.96,0.35,0.105,0.6,True,共有
7,个人金融支付与征信业务查询,2025搜索,2026搜索,256,124,9998,9999,2.561,1.24,-1.32,-1.704,-0.945,True,共有
70,金融代码行情查询,2025搜索,2026搜索,66,74,9998,9999,0.66,0.74,0.08,-0.153,0.315,False,共有
71,数字代码查询,2025搜索,2026搜索,79,77,9998,9999,0.79,0.77,-0.02,-0.267,0.227,False,共有
72,股票代码查询#72,2025搜索,2026搜索,93,99,9998,9999,0.93,0.99,0.06,-0.213,0.333,False,共有
73,金融类App下载查询,2025搜索,2026搜索,130,64,9998,9999,1.3,0.64,-0.66,-0.939,-0.39,True,共有
74,黄金价格及黄金股票行情查询,2025搜索,2026搜索,57,71,9998,9999,0.57,0.71,0.14,-0.083,0.366,False,共有
75,每日答题活动答案查询,2025搜索,2026搜索,118,53,9998,9999,1.18,0.53,-0.65,-0.913,-0.397,True,共有
76,金融术语与行情原因查询,2025搜索,2026搜索,79,57,9998,9999,0.79,0.57,-0.22,-0.453,0.009,False,共有
77,个股资料与行情查询,2025搜索,2026搜索,115,201,9998,9999,1.15,2.01,0.86,0.516,1.211,True,共有
78,查询金融品种价格走势图,2025搜索,2026搜索,58,101,9998,9999,0.58,1.01,0.43,0.184,0.682,True,共有
79,银行服务信息查询,2025搜索,2026搜索,55,23,9998,9999,0.55,0.23,-0.32,-0.502,-0.149,True,共有
80,银行股票信息查询,2025搜索,2026搜索,61,52,9998,9999,0.61,0.52,-0.09,-0.302,0.12,False,共有
9,期货行情查询,2025搜索,2026搜索,102,105,9998,9999,1.02,1.05,0.03,-0.253,0.313,False,共有
1,板块与基金核心数据查询,2025搜索,助手头部1k,81,17,9998,950,0.81,1.789,0.979,0.282,2.049,True,共有
10,黄金价格与行情查询,2025搜索,助手头部1k,178,31,9998,950,1.78,3.263,1.483,0.488,2.836,True,共有
11,股票信息查询,2025搜索,助手头部1k,1847,150,9998,950,18.474,15.789,-2.684,-4.998,-0.117,True,共有
13,特定股票查询,2025搜索,助手头部1k,86,4,9998,950,0.86,0.421,-0.439,-0.765,0.237,False,共有
17,股票与指数行情查询,2025搜索,助手头部1k,259,54,9998,950,2.591,5.684,3.094,1.751,4.778,True,共有
18,财经网站与证券股票信息查询,2025搜索,助手头部1k,363,19,9998,950,3.631,2.0,-1.631,-2.444,-0.474,True,共有
19,银行存贷款利率与利息查询,2025搜索,助手头部1k,178,13,9998,950,1.78,1.368,-0.412,-1.044,0.577,False,共有
2,术语含义查询,2025搜索,助手头部1k,89,7,9998,950,0.89,0.737,-0.153,-0.584,0.641,False,共有
21,科技类股票行情查询,2025搜索,助手头部1k,238,22,9998,950,2.38,2.316,-0.065,-0.908,1.134,False,共有
22,银行及业务信息查询,2025搜索,助手头部1k,158,15,9998,950,1.58,1.579,-0.001,-0.675,1.034,False,共有
23,保险信息查询,2025搜索,助手头部1k,258,29,9998,950,2.581,3.053,0.472,-0.504,1.802,False,共有
3,汇率换算查询,2025搜索,助手头部1k,805,60,9998,950,8.052,6.316,-1.736,-3.219,0.07,False,共有
38,加密货币价格行情查询,2025搜索,助手头部1k,125,10,9998,950,1.25,1.053,-0.198,-0.733,0.699,False,共有
39,加密货币交易所App官方下载地址查询,2025搜索,助手头部1k,90,9,9998,950,0.9,0.947,0.047,-0.446,0.907,False,共有
4,国际原油价格行情查询,2025搜索,助手头部1k,60,3,9998,950,0.6,0.316,-0.284,-0.554,0.339,False,共有
40,查询A股股票及板块信息,2025搜索,助手头部1k,126,11,9998,950,1.26,1.158,-0.102,-0.665,0.823,False,共有
42,借款平台正规性查询,2025搜索,助手头部1k,94,9,9998,950,0.94,0.947,0.007,-0.487,0.868,False,共有
44,A股个股推荐与走势预测查询,2025搜索,助手头部1k,52,48,9998,950,0.52,5.053,4.533,3.301,6.12,True,共有
45,银行卡业务办理与异常处理,2025搜索,助手头部1k,95,10,9998,950,0.95,1.053,0.102,-0.421,0.993,False,共有
46,查询资金产品安全性及存取借贷规则,2025搜索,助手头部1k,89,12,9998,950,0.89,1.263,0.373,-0.203,1.319,False,共有
47,贷款信息查询与办理,2025搜索,助手头部1k,104,14,9998,950,1.04,1.474,0.433,-0.199,1.435,False,共有
48,查询农业银行及农村金融机构信息,2025搜索,助手头部1k,48,28,9998,950,0.48,2.947,2.467,1.553,3.752,True,共有
49,股票行情查询,2025搜索,助手头部1k,262,64,9998,950,2.621,6.737,4.116,2.652,5.915,True,共有
50,货币兑换查询,2025搜索,助手头部1k,200,22,9998,950,2.0,2.316,0.315,-0.519,1.509,False,共有
51,股票代码查询#51,2025搜索,助手头部1k,605,1,9998,950,6.051,0.105,-5.946,-6.438,-5.281,True,共有
52,能源资源类股票查询,2025搜索,助手头部1k,69,3,9998,950,0.69,0.316,-0.374,-0.651,0.251,False,共有
53,个股股票信息查询,2025搜索,助手头部1k,157,12,9998,950,1.57,1.263,-0.307,-0.907,0.651,False,共有
55,黄金价格查询,2025搜索,助手头部1k,51,15,9998,950,0.51,1.579,1.069,0.429,2.086,True,共有
57,大盘走势查询,2025搜索,助手头部1k,83,12,9998,950,0.83,1.263,0.433,-0.141,1.378,False,共有
58,ST股票信息查询,2025搜索,助手头部1k,38,0,9998,950,0.38,0.0,-0.38,-0.521,0.036,False,a独有
59,白银价格行情查询,2025搜索,助手头部1k,26,11,9998,950,0.26,1.158,0.898,0.374,1.805,True,共有
6,股票股吧查询,2025搜索,助手头部1k,969,6,9998,950,9.692,0.632,-9.06,-9.747,-8.13,True,共有
60,今日金价查询,2025搜索,助手头部1k,93,14,9998,950,0.93,1.474,0.543,-0.086,1.543,False,共有
61,实时国际金价查询,2025搜索,助手头部1k,75,17,9998,950,0.75,1.789,1.039,0.344,2.108,True,共有
62,金属行情报价查询,2025搜索,助手头部1k,38,6,9998,950,0.38,0.632,0.252,-0.118,0.998,False,共有
63,电话号码归属与用途查询,2025搜索,助手头部1k,91,3,9998,950,0.91,0.316,-0.594,-0.887,0.037,False,共有
64,银行客服短号查询,2025搜索,助手头部1k,62,5,9998,950,0.62,0.526,-0.094,-0.442,0.619,False,共有
65,金融机构24小时人工客服电话查询,2025搜索,助手头部1k,104,0,9998,950,1.04,0.0,-1.04,-1.259,-0.599,True,a独有
66,银行客服电话查询,2025搜索,助手头部1k,144,6,9998,950,1.44,0.632,-0.809,-1.234,-0.038,True,共有
67,银行信用卡客服电话查询,2025搜索,助手头部1k,102,0,9998,950,1.02,0.0,-1.02,-1.237,-0.579,True,a独有
68,数字串含义查询,2025搜索,助手头部1k,76,0,9998,950,0.76,0.0,-0.76,-0.95,-0.33,True,a独有
69,证券代码行情查询,2025搜索,助手头部1k,61,2,9998,950,0.61,0.211,-0.4,-0.63,0.17,False,共有
7,个人金融支付与征信业务查询,2025搜索,助手头部1k,256,26,9998,950,2.561,2.737,0.176,-0.746,1.453,False,共有
70,金融代码行情查询,2025搜索,助手头部1k,66,0,9998,950,0.66,0.0,-0.66,-0.839,-0.233,True,a独有
71,数字代码查询,2025搜索,助手头部1k,79,2,9998,950,0.79,0.211,-0.58,-0.826,-0.004,True,共有
72,股票代码查询#72,2025搜索,助手头部1k,93,2,9998,950,0.93,0.211,-0.72,-0.978,-0.14,True,共有
73,金融类App下载查询,2025搜索,助手头部1k,130,15,9998,950,1.3,1.579,0.279,-0.386,1.309,False,共有
74,黄金价格及黄金股票行情查询,2025搜索,助手头部1k,57,17,9998,950,0.57,1.789,1.219,0.529,2.285,True,共有
75,每日答题活动答案查询,2025搜索,助手头部1k,118,32,9998,950,1.18,3.368,2.188,1.189,3.55,True,共有
76,金融术语与行情原因查询,2025搜索,助手头部1k,79,10,9998,950,0.79,1.053,0.262,-0.255,1.15,False,共有
77,个股资料与行情查询,2025搜索,助手头部1k,115,7,9998,950,1.15,0.737,-0.413,-0.856,0.386,False,共有
78,查询金融品种价格走势图,2025搜索,助手头部1k,58,17,9998,950,0.58,1.789,1.209,0.519,2.275,True,共有
79,银行服务信息查询,2025搜索,助手头部1k,55,38,9998,950,0.55,4.0,3.45,2.365,4.898,True,共有
80,银行股票信息查询,2025搜索,助手头部1k,61,5,9998,950,0.61,0.526,-0.084,-0.431,0.629,False,共有
9,期货行情查询,2025搜索,助手头部1k,102,5,9998,950,1.02,0.526,-0.494,-0.865,0.228,False,共有
1,板块与基金核心数据查询,2025搜索,助手随机1k,81,18,9998,987,0.81,1.824,1.014,0.318,2.066,True,共有
10,黄金价格与行情查询,2025搜索,助手随机1k,178,4,9998,987,1.78,0.405,-1.375,-1.748,-0.698,True,共有
11,股票信息查询,2025搜索,助手随机1k,1847,40,9998,987,18.474,4.053,-14.421,-15.735,-12.817,True,共有
13,特定股票查询,2025搜索,助手随机1k,86,5,9998,987,0.86,0.507,-0.354,-0.706,0.34,False,共有
17,股票与指数行情查询,2025搜索,助手随机1k,259,18,9998,987,2.591,1.824,-0.767,-1.511,0.314,False,共有
18,财经网站与证券股票信息查询,2025搜索,助手随机1k,363,17,9998,987,3.631,1.722,-1.908,-2.659,-0.832,True,共有
19,银行存贷款利率与利息查询,2025搜索,助手随机1k,178,38,9998,987,1.78,3.85,2.07,1.0,3.481,True,共有
2,术语含义查询,2025搜索,助手随机1k,89,5,9998,987,0.89,0.507,-0.384,-0.738,0.31,False,共有
21,科技类股票行情查询,2025搜索,助手随机1k,238,10,9998,987,2.38,1.013,-1.367,-1.928,-0.48,True,共有
22,银行及业务信息查询,2025搜索,助手随机1k,158,38,9998,987,1.58,3.85,2.27,1.204,3.678,True,共有
23,保险信息查询,2025搜索,助手随机1k,258,62,9998,987,2.581,6.282,3.701,2.311,5.416,True,共有
3,汇率换算查询,2025搜索,助手随机1k,805,20,9998,987,8.052,2.026,-6.025,-6.924,-4.825,True,共有
38,加密货币价格行情查询,2025搜索,助手随机1k,125,8,9998,987,1.25,0.811,-0.44,-0.904,0.366,False,共有
39,加密货币交易所App官方下载地址查询,2025搜索,助手随机1k,90,4,9998,987,0.9,0.405,-0.495,-0.816,0.159,False,共有
4,国际原油价格行情查询,2025搜索,助手随机1k,60,0,9998,987,0.6,0.0,-0.6,-0.772,-0.19,True,a独有
40,查询A股股票及板块信息,2025搜索,助手随机1k,126,7,9998,987,1.26,0.709,-0.551,-0.987,0.223,False,共有
42,借款平台正规性查询,2025搜索,助手随机1k,94,6,9998,987,0.94,0.608,-0.332,-0.722,0.4,False,共有
