key,类目,a,b,k_a,k_b,n_a,n_b,占比_a%,占比_b%,差_pp,低_pp,高_pp,显著,类型
ACCOUNT_INCIDENT_RESOLUTION,处置账户异常与非预期扣款,2025搜索,2026搜索,37,22,9998,9999,0.37,0.22,-0.15,-0.308,0.002,False,共有
ACCOUNT_OPERATION_HOWTO,获取银行或支付账户操作指引,2025搜索,2026搜索,208,83,9998,9999,2.08,0.83,-1.25,-1.589,-0.922,True,共有
AMOUNT_CALCULATION,计算具体金额或利率,2025搜索,2026搜索,383,178,9998,9999,3.831,1.78,-2.051,-2.513,-1.596,True,共有
BORROWING_CHANNEL_SEEK,寻求应急或无征信门槛借款渠道,2025搜索,2026搜索,18,6,9998,9999,0.18,0.06,-0.12,-0.229,-0.023,True,共有
CHART_LOOKUP,查询历史价格走势图,2025搜索,2026搜索,116,186,9998,9999,1.16,1.86,0.7,0.363,1.043,True,共有
CREDIT_PRODUCT_RULE_CHECK,判定信贷产品账单与征信规则,2025搜索,2026搜索,65,16,9998,9999,0.65,0.16,-0.49,-0.678,-0.318,True,共有
DAILY_QUIZ_ANSWER,获取每日答题活动答案,2025搜索,2026搜索,114,53,9998,9999,1.14,0.53,-0.61,-0.87,-0.36,True,共有
FINANCE_TERM_EXPLANATION,解释金融术语与基础规则,2025搜索,2026搜索,354,154,9998,9999,3.541,1.54,-2.001,-2.442,-1.568,True,共有
INVESTMENT_DECISION_ADVICE,寻求个股买卖与持有决策建议,2025搜索,2026搜索,85,110,9998,9999,0.85,1.1,0.25,-0.023,0.526,False,共有
MARKET_NEWS_EVENT,获取市场动态与事件公告,2025搜索,2026搜索,66,54,9998,9999,0.66,0.54,-0.12,-0.339,0.096,False,共有
OFFICIAL_CHANNEL_LOOKUP,查找官方渠道与客服入口,2025搜索,2026搜索,812,428,9998,9999,8.122,4.28,-3.841,-4.511,-3.177,True,共有
OTHER_OR_NOISE,其他或无法判定的非金融查询,2025搜索,2026搜索,867,640,9998,9999,8.672,6.401,-2.271,-3.004,-1.54,True,共有
PHONE_NUMBER_IDENTIFICATION,识别陌生电话号码归属,2025搜索,2026搜索,121,109,9998,9999,1.21,1.09,-0.12,-0.419,0.177,False,共有
PLATFORM_LEGITIMACY_CHECK,核实金融平台真伪与合法性,2025搜索,2026搜索,195,65,9998,9999,1.95,0.65,-1.3,-1.622,-0.991,True,共有
PRODUCT_COMPARISON,比较同类金融产品并择优,2025搜索,2026搜索,20,8,9998,9999,0.2,0.08,-0.12,-0.236,-0.015,True,共有
QUOTE_LOOKUP,查询金融资产实时行情,2025搜索,2026搜索,5423,6435,9998,9999,54.241,64.356,10.116,8.759,11.467,True,共有
SCHEDULE_AND_MARKET_STATUS_LOOKUP,查询交易日程与市场状态,2025搜索,2026搜索,41,39,9998,9999,0.41,0.39,-0.02,-0.199,0.159,False,共有
STOCK_FORUM_VISIT,进入个股股吧讨论区,2025搜索,2026搜索,1073,1413,9998,9999,10.732,14.131,3.399,2.486,4.313,True,共有
ACCOUNT_INCIDENT_RESOLUTION,处置账户异常与非预期扣款,2025搜索,助手头部1k,37,58,9998,950,0.37,6.105,5.735,4.375,7.445,True,共有
ACCOUNT_OPERATION_HOWTO,获取银行或支付账户操作指引,2025搜索,助手头部1k,208,24,9998,950,2.08,2.526,0.446,-0.429,1.679,False,共有
AMOUNT_CALCULATION,计算具体金额或利率,2025搜索,助手头部1k,383,19,9998,950,3.831,2.0,-1.831,-2.648,-0.671,True,共有
BORROWING_CHANNEL_SEEK,寻求应急或无征信门槛借款渠道,2025搜索,助手头部1k,18,1,9998,950,0.18,0.105,-0.075,-0.21,0.418,False,共有
CHART_LOOKUP,查询历史价格走势图,2025搜索,助手头部1k,116,24,9998,950,1.16,2.526,1.366,0.512,2.587,True,共有
CREDIT_PRODUCT_RULE_CHECK,判定信贷产品账单与征信规则,2025搜索,助手头部1k,65,10,9998,950,0.65,1.053,0.403,-0.109,1.288,False,共有
DAILY_QUIZ_ANSWER,获取每日答题活动答案,2025搜索,助手头部1k,114,33,9998,950,1.14,3.474,2.333,1.318,3.711,True,共有
FINANCE_TERM_EXPLANATION,解释金融术语与基础规则,2025搜索,助手头部1k,354,15,9998,950,3.541,1.579,-1.962,-2.689,-0.895,True,共有
INVESTMENT_DECISION_ADVICE,寻求个股买卖与持有决策建议,2025搜索,助手头部1k,85,87,9998,950,0.85,9.158,8.308,6.623,10.317,True,共有
MARKET_NEWS_EVENT,获取市场动态与事件公告,2025搜索,助手头部1k,66,6,9998,950,0.66,0.632,-0.029,-0.414,0.724,False,共有
OFFICIAL_CHANNEL_LOOKUP,查找官方渠道与客服入口,2025搜索,助手头部1k,812,49,9998,950,8.122,5.158,-2.964,-4.316,-1.286,True,共有
OTHER_OR_NOISE,其他或无法判定的非金融查询,2025搜索,助手头部1k,867,90,9998,950,8.672,9.474,0.802,-0.993,2.9,False,共有
PHONE_NUMBER_IDENTIFICATION,识别陌生电话号码归属,2025搜索,助手头部1k,121,8,9998,950,1.21,0.842,-0.368,-0.844,0.466,False,共有
PLATFORM_LEGITIMACY_CHECK,核实金融平台真伪与合法性,2025搜索,助手头部1k,195,23,9998,950,1.95,2.421,0.471,-0.383,1.683,False,共有
PRODUCT_COMPARISON,比较同类金融产品并择优,2025搜索,助手头部1k,20,18,9998,950,0.2,1.895,1.695,0.993,2.777,True,共有
QUOTE_LOOKUP,查询金融资产实时行情,2025搜索,助手头部1k,5423,479,9998,950,54.241,50.421,-3.82,-7.141,-0.501,True,共有
SCHEDULE_AND_MARKET_STATUS_LOOKUP,查询交易日程与市场状态,2025搜索,助手头部1k,41,4,9998,950,0.41,0.421,0.011,-0.285,0.676,False,共有
STOCK_FORUM_VISIT,进入个股股吧讨论区,2025搜索,助手头部1k,1073,2,9998,950,10.732,0.211,-10.522,-11.162,-9.711,True,共有
ACCOUNT_INCIDENT_RESOLUTION,处置账户异常与非预期扣款,2025搜索,助手随机1k,37,30,9998,987,0.37,3.04,2.669,1.756,3.94,True,共有
ACCOUNT_OPERATION_HOWTO,获取银行或支付账户操作指引,2025搜索,助手随机1k,208,69,9998,987,2.08,6.991,4.91,3.45,6.693,True,共有
AMOUNT_CALCULATION,计算具体金额或利率,2025搜索,助手随机1k,383,45,9998,987,3.831,4.559,0.729,-0.473,2.258,False,共有
BORROWING_CHANNEL_SEEK,寻求应急或无征信门槛借款渠道,2025搜索,助手随机1k,18,1,9998,987,0.18,0.101,-0.079,-0.212,0.396,False,共有
CHART_LOOKUP,查询历史价格走势图,2025搜索,助手随机1k,116,6,9998,987,1.16,0.608,-0.552,-0.953,0.185,False,共有
CREDIT_PRODUCT_RULE_CHECK,判定信贷产品账单与征信规则,2025搜索,助手随机1k,65,55,9998,987,0.65,5.572,4.922,3.644,6.539,True,共有
DAILY_QUIZ_ANSWER,获取每日答题活动答案,2025搜索,助手随机1k,114,2,9998,987,1.14,0.203,-0.938,-1.209,-0.372,True,共有
FINANCE_TERM_EXPLANATION,解释金融术语与基础规则,2025搜索,助手随机1k,354,93,9998,987,3.541,9.422,5.882,4.17,7.895,True,共有
INVESTMENT_DECISION_ADVICE,寻求个股买卖与持有决策建议,2025搜索,助手随机1k,85,276,9998,987,0.85,27.964,27.113,24.396,29.999,True,共有
MARKET_NEWS_EVENT,获取市场动态与事件公告,2025搜索,助手随机1k,66,56,9998,987,0.66,5.674,5.014,3.722,6.642,True,共有
OFFICIAL_CHANNEL_LOOKUP,查找官方渠道与客服入口,2025搜索,助手随机1k,812,43,9998,987,8.122,4.357,-3.765,-5.001,-2.215,True,共有
OTHER_OR_NOISE,其他或无法判定的非金融查询,2025搜索,助手随机1k,867,166,9998,987,8.672,16.819,8.147,5.871,10.666,True,共有
PHONE_NUMBER_IDENTIFICATION,识别陌生电话号码归属,2025搜索,助手随机1k,121,2,9998,987,1.21,0.203,-1.008,-1.284,-0.439,True,共有
PLATFORM_LEGITIMACY_CHECK,核实金融平台真伪与合法性,2025搜索,助手随机1k,195,14,9998,987,1.95,1.418,-0.532,-1.173,0.45,False,共有
PRODUCT_COMPARISON,比较同类金融产品并择优,2025搜索,助手随机1k,20,38,9998,987,0.2,3.85,3.65,2.612,5.042,True,共有
QUOTE_LOOKUP,查询金融资产实时行情,2025搜索,助手随机1k,5423,86,9998,987,54.241,8.713,-45.528,-47.404,-43.37,True,共有
SCHEDULE_AND_MARKET_STATUS_LOOKUP,查询交易日程与市场状态,2025搜索,助手随机1k,41,4,9998,987,0.41,0.405,-0.005,-0.292,0.636,False,共有
STOCK_FORUM_VISIT,进入个股股吧讨论区,2025搜索,助手随机1k,1073,1,9998,987,10.732,0.101,-10.631,-11.258,-9.875,True,共有
ACCOUNT_INCIDENT_RESOLUTION,处置账户异常与非预期扣款,2025搜索,助手语音1k,37,37,9998,1000,0.37,3.7,3.33,2.316,4.692,True,共有
ACCOUNT_OPERATION_HOWTO,获取银行或支付账户操作指引,2025搜索,助手语音1k,208,135,9998,1000,2.08,13.5,11.42,9.418,13.693,True,共有
AMOUNT_CALCULATION,计算具体金额或利率,2025搜索,助手语音1k,383,111,9998,1000,3.831,11.1,7.269,5.426,9.398,True,共有
BORROWING_CHANNEL_SEEK,寻求应急或无征信门槛借款渠道,2025搜索,助手语音1k,18,4,9998,1000,0.18,0.4,0.22,-0.046,0.847,False,共有
CHART_LOOKUP,查询历史价格走势图,2025搜索,助手语音1k,116,6,9998,1000,1.16,0.6,-0.56,-0.958,0.168,False,共有
CREDIT_PRODUCT_RULE_CHECK,判定信贷产品账单与征信规则,2025搜索,助手语音1k,65,36,9998,1000,0.65,3.6,2.95,1.946,4.301,True,共有
DAILY_QUIZ_ANSWER,获取每日答题活动答案,2025搜索,助手语音1k,114,12,9998,1000,1.14,1.2,0.06,-0.501,0.966,False,共有
