层级,a,b,n_a,n_b,秩相关rho,前5重合个数,首位是否相同,TVD,TVD低,TVD高,同源噪声上界,超出噪声,CramersV
自上而下 L1 意图,2025搜索,2026搜索,9998,9999,0.9257,4,True,0.1446,0.1325,0.1573,0.0314,True,0.1798
自上而下 L1 意图,2025搜索,助手头部1k,9998,950,0.3676,3,True,0.2157,0.1918,0.2439,0.1032,True,0.2966
自上而下 L1 意图,2025搜索,助手随机1k,9998,987,0.2986,2,False,0.6304,0.6087,0.6552,0.1095,True,0.563
自上而下 L1 意图,2025搜索,助手语音1k,9998,1000,0.5215,3,True,0.4739,0.4519,0.5028,0.11,True,0.3835
自上而下 L1 意图,2026搜索,助手头部1k,9999,950,0.4192,3,True,0.281,0.2504,0.3181,0.0989,True,0.3314
自上而下 L1 意图,2026搜索,助手随机1k,9999,987,0.313,2,False,0.7214,0.7057,0.7436,0.1034,True,0.621
自上而下 L1 意图,2026搜索,助手语音1k,9999,1000,0.478,2,True,0.6019,0.5786,0.6283,0.112,True,0.4999
自上而下 L1 意图,助手头部1k,助手随机1k,950,987,0.5623,3,False,0.5254,0.4934,0.5636,0.1116,True,0.5634
自上而下 L1 意图,助手头部1k,助手语音1k,950,1000,0.6366,2,True,0.4104,0.3778,0.4491,0.1161,True,0.4661
自上而下 L1 意图,助手随机1k,助手语音1k,987,1000,0.8156,4,False,0.327,0.2897,0.3676,0.1197,True,0.3643
自上而下 L2 子意图,2025搜索,2026搜索,9998,9999,0.8097,4,True,0.1462,0.1387,0.161,0.048,True,0.1983
自上而下 L2 子意图,2025搜索,助手头部1k,9998,950,0.0215,3,True,0.2945,0.2831,0.3303,0.1368,True,0.3324
自上而下 L2 子意图,2025搜索,助手随机1k,9998,987,-0.0585,2,False,0.694,0.6754,0.7189,0.14,True,0.6052
自上而下 L2 子意图,2025搜索,助手语音1k,9998,1000,0.1352,3,True,0.5452,0.5193,0.5758,0.146,True,0.4233
自上而下 L2 子意图,2026搜索,助手头部1k,9999,950,-0.0488,2,True,0.3653,0.3437,0.4032,0.1347,True,0.3797
自上而下 L2 子意图,2026搜索,助手随机1k,9999,987,-0.255,1,False,0.7765,0.7607,0.8004,0.14,True,0.682
自上而下 L2 子意图,2026搜索,助手语音1k,9999,1000,-0.1185,2,True,0.6473,0.6221,0.6738,0.1461,True,0.5486
自上而下 L2 子意图,助手头部1k,助手随机1k,950,987,0.5795,3,False,0.5634,0.5343,0.6096,0.1521,True,0.6086
自上而下 L2 子意图,助手头部1k,助手语音1k,950,1000,0.4674,3,True,0.4628,0.4314,0.5067,0.1521,True,0.513
自上而下 L2 子意图,助手随机1k,助手语音1k,987,1000,0.8659,3,False,0.3442,0.3179,0.3909,0.1544,True,0.3958
自下而上 家族,2025搜索,2026搜索,9998,9999,0.6521,4,True,0.1603,0.1545,0.1793,0.0602,True,0.2035
自下而上 家族,2025搜索,助手头部1k,9998,950,0.3201,2,True,0.3144,0.3029,0.3567,0.1853,True,0.2759
自下而上 家族,2025搜索,助手随机1k,9998,987,0.3507,0,False,0.5745,0.5532,0.6021,0.1664,True,0.5512
自下而上 家族,2025搜索,助手语音1k,9998,1000,0.4971,1,False,0.4817,0.4637,0.5157,0.172,True,0.3767
自下而上 家族,2026搜索,助手头部1k,9999,950,0.233,3,True,0.3845,0.3645,0.4194,0.1832,True,0.33
自下而上 家族,2026搜索,助手随机1k,9999,987,0.0777,0,False,0.6427,0.6243,0.6731,0.1624,True,0.6215
自下而上 家族,2026搜索,助手语音1k,9999,1000,0.1193,1,False,0.5843,0.5644,0.6116,0.1681,True,0.5008
自下而上 家族,助手头部1k,助手随机1k,950,987,0.5649,1,False,0.5044,0.478,0.5574,0.1867,True,0.5463
自下而上 家族,助手头部1k,助手语音1k,950,1000,0.6185,2,False,0.4193,0.3899,0.4684,0.1881,True,0.4657
自下而上 家族,助手随机1k,助手语音1k,987,1000,0.8451,4,False,0.3024,0.2888,0.3624,0.1744,True,0.3735
自下而上 叶,2025搜索,2026搜索,9998,9999,0.5572,5,True,0.1689,0.1615,0.1884,0.065,True,0.2108
自下而上 叶,2025搜索,助手头部1k,9998,950,0.2826,3,True,0.3232,0.3174,0.3712,0.2042,True,0.2836
自下而上 叶,2025搜索,助手随机1k,9998,987,0.2136,1,False,0.5835,0.5665,0.6167,0.1805,True,0.5667
自下而上 叶,2025搜索,助手语音1k,9998,1000,0.3718,2,False,0.4877,0.4706,0.5237,0.184,True,0.3979
自下而上 叶,2026搜索,助手头部1k,9999,950,0.1597,3,True,0.3978,0.3806,0.4361,0.198,True,0.3359
自下而上 叶,2026搜索,助手随机1k,9999,987,-0.1364,1,False,0.6477,0.636,0.6851,0.1867,True,0.6366
自下而上 叶,2026搜索,助手语音1k,9999,1000,-0.036,2,False,0.5843,0.5698,0.6161,0.188,True,0.5183
自下而上 叶,助手头部1k,助手随机1k,950,987,0.3893,2,False,0.5393,0.5135,0.5844,0.2001,True,0.5762
自下而上 叶,助手头部1k,助手语音1k,950,1000,0.4879,3,False,0.4455,0.415,0.4945,0.2043,True,0.495
自下而上 叶,助手随机1k,助手语音1k,987,1000,0.8076,3,False,0.3184,0.3056,0.3847,0.196,True,0.3906
