key,类目,快照,方向,该快照条数,该快照n,该快照占比%,其余快照合并占比%,最弱一对的区间端点pp,对比了几个快照
62,黄金价格查询,助手头部1k,显著高于其余全部,15,950,1.579,0.505,0.398,4
65,实时国际金价查询,助手头部1k,显著高于其余全部,17,950,1.789,0.669,0.344,4
3,查询股票行情,助手头部1k,显著高于其余全部,64,950,6.737,3.275,0.19,4
8,汇率换算查询,助手随机1k,显著低于其余全部,20,987,2.026,6.994,-2.398,4
8,汇率换算查询,助手语音1k,显著高于其余全部,111,1000,11.1,6.583,1.166,4
40,股票信息查询,2026搜索,显著高于其余全部,2275,9999,22.752,16.15,3.158,4
0,蚂蚁庄园今日答案查询,助手头部1k,显著高于其余全部,32,950,3.368,0.842,0.853,4
68,查询美股行情,助手头部1k,显著高于其余全部,19,950,2.0,0.637,0.397,4
66,指数行情查询,助手头部1k,显著高于其余全部,27,950,2.842,1.037,0.699,4
88,银行服务信息查询,2026搜索,显著低于其余全部,23,9999,0.23,1.036,-0.149,4
79,贷款信息查询与办理,2026搜索,显著低于其余全部,36,9999,0.36,1.368,-0.453,4
56,银行信用卡客服电话查询,助手头部1k,显著低于其余全部,0,950,0.0,0.782,-0.022,4
54,查询金融机构24小时人工客服电话,2025搜索,显著高于其余全部,104,9998,1.04,0.448,0.256,4
90,查询银行及业务信息,2026搜索,显著低于其余全部,84,9999,0.84,2.033,-0.088,4
25,电子支付工具使用查询,2026搜索,显著低于其余全部,45,9999,0.45,1.291,-0.099,4
25,电子支付工具使用查询,助手语音1k,显著高于其余全部,43,1000,4.3,0.77,1.553,4
91,查询农业银行及农村金融机构信息,2026搜索,显著低于其余全部,19,9999,0.19,0.866,-0.131,4
9,货币兑换查询,助手随机1k,显著低于其余全部,4,987,0.405,1.845,-0.398,4
78,查询新材类股票及股吧信息,2026搜索,显著高于其余全部,141,9999,1.41,0.734,0.246,4
86,查询科技类股票行情,2026搜索,显著高于其余全部,354,9999,3.54,2.172,0.009,4
41,查询个股股票信息#41,2026搜索,显著高于其余全部,249,9999,2.49,1.376,0.252,4
80,银行存贷款利率与利息查询,2026搜索,显著低于其余全部,56,9999,0.56,2.056,-0.217,4
23,关闭花呗,助手语音1k,显著高于其余全部,14,1000,1.4,0.296,0.015,4
49,查询个股股票信息#49,2026搜索,显著高于其余全部,201,9999,2.01,0.951,0.456,4
19,股票股吧查询,2026搜索,显著高于其余全部,1313,9999,13.131,7.77,2.559,4
7,金融术语与行情原因查询,助手随机1k,显著高于其余全部,51,987,5.167,0.797,0.535,4
24,银行卡业务办理与异常处理,2026搜索,显著低于其余全部,25,9999,0.25,1.345,-0.308,4
24,银行卡业务办理与异常处理,助手语音1k,显著高于其余全部,48,1000,4.8,0.688,1.071,4
28,查询资金产品安全性及存取借贷规则,2026搜索,显著低于其余全部,33,9999,0.33,1.809,-0.347,4
1,A股个股推荐与走势预测,助手随机1k,显著高于其余全部,278,987,28.166,1.057,16.145,4
26,查询金融业务办理与资金问题处理方法,2026搜索,显著低于其余全部,34,9999,0.34,0.982,-0.052,4
