key,类目,快照,方向,该快照条数,该快照n,该快照占比%,其余快照合并占比%,最弱一对的区间端点pp,对比了几个快照
QUOTE_LOOKUP__1,QUOTE_LOOKUP__1,助手头部1k,显著高于其余全部,175,950,18.421,14.565,0.412,4
QUOTE_LOOKUP__1,QUOTE_LOOKUP__1,助手随机1k,显著低于其余全部,25,987,2.533,15.273,-2.436,4
QUOTE_LOOKUP__2,QUOTE_LOOKUP__2,2026搜索,显著高于其余全部,4205,9999,42.054,28.728,7.3,4
QUOTE_LOOKUP__2,QUOTE_LOOKUP__2,助手随机1k,显著低于其余全部,59,987,5.978,35.823,-3.713,4
OTHER_OR_NOISE__1,OTHER_OR_NOISE__1,2026搜索,显著低于其余全部,262,9999,2.62,6.703,-1.863,4
OTHER_OR_NOISE__1,OTHER_OR_NOISE__1,助手随机1k,显著高于其余全部,163,987,16.515,4.402,1.965,4
DAILY_QUIZ_ANSWER__1,DAILY_QUIZ_ANSWER__1,助手头部1k,显著高于其余全部,33,950,3.474,0.823,0.946,4
AMOUNT_CALCULATION__1,AMOUNT_CALCULATION__1,助手语音1k,显著高于其余全部,83,1000,8.3,2.248,3.594,4
OFFICIAL_CHANNEL_LOOKUP__4,OFFICIAL_CHANNEL_LOOKUP__4,助手语音1k,显著高于其余全部,58,1000,5.8,1.062,1.408,4
MARKET_NEWS_EVENT__1,MARKET_NEWS_EVENT__1,助手随机1k,显著高于其余全部,56,987,5.674,0.693,1.332,4
INVESTMENT_DECISION_ADVICE__1,INVESTMENT_DECISION_ADVICE__1,助手随机1k,显著高于其余全部,240,987,24.316,0.825,14.52,4
PLATFORM_LEGITIMACY_CHECK__1,PLATFORM_LEGITIMACY_CHECK__1,助手头部1k,显著高于其余全部,16,950,1.684,0.428,0.334,4
STOCK_FORUM_VISIT__6,STOCK_FORUM_VISIT__6,2026搜索,显著高于其余全部,320,9999,3.2,2.126,0.01,4
FINANCE_TERM_EXPLANATION__2,FINANCE_TERM_EXPLANATION__2,2026搜索,显著低于其余全部,17,9999,0.17,0.75,-0.038,4
ACCOUNT_OPERATION_HOWTO__2,ACCOUNT_OPERATION_HOWTO__2,助手语音1k,显著高于其余全部,33,1000,3.3,0.588,1.024,4
FINANCE_TERM_EXPLANATION__1,FINANCE_TERM_EXPLANATION__1,助手头部1k,显著低于其余全部,1,950,0.105,0.932,-0.085,4
ACCOUNT_INCIDENT_RESOLUTION__1,ACCOUNT_INCIDENT_RESOLUTION__1,助手头部1k,显著高于其余全部,58,950,6.105,0.573,0.488,4
STOCK_FORUM_VISIT__5,STOCK_FORUM_VISIT__5,2026搜索,显著高于其余全部,186,9999,1.86,0.858,0.416,4
PRODUCT_COMPARISON__1,PRODUCT_COMPARISON__1,2026搜索,显著低于其余全部,8,9999,0.08,0.665,-0.015,4
PRODUCT_COMPARISON__1,PRODUCT_COMPARISON__1,助手随机1k,显著高于其余全部,38,987,3.85,0.255,0.461,4
STOCK_FORUM_VISIT__4,STOCK_FORUM_VISIT__4,2026搜索,显著高于其余全部,230,9999,2.3,1.229,0.328,4
CREDIT_PRODUCT_RULE_CHECK__1,CREDIT_PRODUCT_RULE_CHECK__1,2026搜索,显著低于其余全部,16,9999,0.16,1.283,-0.318,4
CREDIT_PRODUCT_RULE_CHECK__1,CREDIT_PRODUCT_RULE_CHECK__1,助手随机1k,显著高于其余全部,55,987,5.572,0.579,0.126,4
ACCOUNT_OPERATION_HOWTO__1,ACCOUNT_OPERATION_HOWTO__1,2026搜索,显著低于其余全部,52,9999,0.52,2.358,-0.436,4
ACCOUNT_OPERATION_HOWTO__1,ACCOUNT_OPERATION_HOWTO__1,助手语音1k,显著高于其余全部,102,1000,10.2,1.163,1.83,4
STOCK_FORUM_VISIT__2,STOCK_FORUM_VISIT__2,2026搜索,显著高于其余全部,283,9999,2.83,1.399,0.614,4
