层级,快照,n,类目数,前1条数,前1行占比%,前1流量占比%,前3条数,前3行占比%,前3流量占比%,前5条数,前5行占比%,前5流量占比%,前10条数,前10行占比%,前10流量占比%,流量有效n,单行最大流量%,前10之外类数,前10之外条数,前10之外行占比%,前10之外流量占比%,第10名条数,并列类数,并列需选,边界并列,前10流量占比%低,前10流量占比%高,前10流量摆动pp
自上而下 L1 意图,2025搜索,9998,18,5423,54.24084816963393,68.66567389541628,7363,73.64472894578915,79.43717189771554,8558,85.59711942388478,91.23499375231677,9552,95.53910782156431,96.85100938475469,149.26216729929288,6.185490785007241,8,446,4.460892178435685,3.14899061524531,116,1,1,False,96.85100938475469,96.85100938475469,0.0
自上而下 L1 意图,2026搜索,9999,18,6435,64.35643564356435,82.09467201158087,8488,84.88848884888489,90.79589034697003,9102,91.02910291029103,96.07954379118088,9736,97.36973697369737,98.53300881587805,111.49569487879073,7.394607615282178,8,263,2.6302630263026288,1.4669911841219516,83,1,1,False,98.53300881587805,98.53300881587805,0.0
自上而下 L1 意图,助手头部1k,950,18,479,50.421052631578945,56.18808839072832,656,69.05263157894737,69.4946292063024,763,80.3157894736842,85.68628173930144,886,93.26315789473684,94.07922227957624,110.59195557095354,7.1706855443305555,8,64,6.736842105263165,5.920777720423757,19,1,1,False,94.07922227957624,94.07922227957624,0.0
自上而下 L1 意图,助手随机1k,987,18,276,27.96352583586626,29.101899827288428,535,54.20466058763931,52.417962003454235,690,69.90881458966565,70.03454231433507,927,93.9209726443769,93.69602763385149,535.5287539936103,1.468048359240069,8,60,6.079027355623097,6.303972366148514,38,1,1,False,93.69602763385149,93.69602763385149,0.0
自上而下 L1 意图,助手语音1k,1000,18,195,19.5,19.5,450,45.0,45.0,670,67.0,67.0,945,94.5,94.5,999.9999999999998,0.1,8,55,5.5,5.5,26,1,1,False,94.5,94.5,0.0
自上而下 L2 子意图,2025搜索,9998,41,3235,32.35647129425885,34.95254208871191,5423,54.24084816963393,68.66567389541628,6290,62.9125825165033,75.09399962758714,7646,76.4752950590118,83.74859263300097,149.26216729929288,6.185490785007241,31,2352,23.5247049409882,16.251407366999032,180,1,1,False,83.74859263300097,83.74859263300097,0.0
自上而下 L2 子意图,2026搜索,9999,41,4205,42.054205420542054,50.075441039393155,6435,64.35643564356435,82.09467201158088,7152,71.52715271527153,84.79537954492,8433,84.33843384338434,90.64273232660237,111.49569487879073,7.394607615282178,31,1566,15.661566156615663,9.35726767339763,186,1,1,False,90.64273232660237,90.64273232660237,0.0
自上而下 L2 子意图,助手头部1k,950,35,300,31.57894736842105,28.54509254479758,563,59.26315789473684,65.05235602094241,665,70.0,76.16326229629084,782,82.3157894736842,83.74996927463559,110.59195557095354,7.1706855443305555,25,168,17.684210526315795,16.25003072536441,18,2,2,False,83.7499692746356,83.7499692746356,0.0
自上而下 L2 子意图,助手随机1k,987,35,240,24.316109422492403,24.265975820379964,462,46.808510638297875,43.868739205526765,577,58.459979736575484,55.87219343696027,761,77.10233029381966,73.8341968911917,535.5287539936103,1.468048359240069,25,226,22.897669706180338,26.165803108808305,29,1,1,False,73.8341968911917,73.8341968911917,0.0
自上而下 L2 子意图,助手语音1k,1000,38,122,12.2,12.2,339,33.9,33.9,490,49.0,49.0,721,72.1,72.1,999.9999999999998,0.1,28,279,27.900000000000006,27.900000000000006,33,1,1,False,72.1,72.1,0.0
