new_class,n_total,n_assistant,assistant_share,main_old_class,main_old_share,n_old_classes_feeding
比较同类金融产品并择优,94,66,0.7021,获取投资判断/预测,0.4643,3
寻求个股买卖与持有决策建议,648,453,0.6991,获取枚举清单或榜单,0.5077,8
处置账户异常与非预期扣款,184,125,0.6793,办理操作与账户问题求助,0.6271,6
判定信贷产品账单与征信规则,182,101,0.5549,办理操作与账户问题求助,0.5309,8
获取银行或支付账户操作指引,519,228,0.4393,办理操作与账户问题求助,0.921,9
获取市场动态与事件公告,208,88,0.4231,获取市场资讯与事件动态,0.5917,9
解释金融术语与基础规则,725,217,0.2993,了解金融术语与规则,0.5945,10
计算具体金额或利率,736,175,0.2378,计算金融金额或收益,0.9608,7
获取每日答题活动答案,214,47,0.2196,获取每日答题答案,0.982,2
寻求应急或无征信门槛借款渠道,30,6,0.2,获取投资判断/预测,0.2917,6
其他或无法判定的非金融查询,1883,376,0.1997,解析纯代码标的,0.4824,15
查询交易日程与市场状态,93,13,0.1398,查询市场日历与未定状态,0.9125,3
核实金融平台真伪与合法性,301,41,0.1362,核验机构/平台正规性,0.7308,9
查找官方渠道与客服入口,1418,178,0.1255,查找机构客服联系方式,0.5,11
查询历史价格走势图,338,36,0.1065,查看价格走势图,0.8212,7
查询金融资产实时行情,12618,760,0.0602,查询标的实时行情与牌价,0.8576,16
识别陌生电话号码归属,244,14,0.0574,识别陌生来电号码,0.9652,2
进入个股股吧讨论区,2499,13,0.0052,进入个股股吧讨论区,0.9944,4
