bucket,n,label,share
留存(两年都在),5447,查询金融资产实时行情,0.6813
留存(两年都在),5447,进入个股股吧讨论区,0.0828
留存(两年都在),5447,其他或无法判定的非金融查询,0.0773
留存(两年都在),5447,查找官方渠道与客服入口,0.0591
留存(两年都在),5447,计算具体金额或利率,0.0222
留存(两年都在),5447,解释金融术语与基础规则,0.0187
留存(两年都在),5447,查询历史价格走势图,0.0114
留存(两年都在),5447,获取银行或支付账户操作指引,0.0108
留存(两年都在),5447,识别陌生电话号码归属,0.0086
留存(两年都在),5447,核实金融平台真伪与合法性,0.0086
留存(两年都在),5447,获取每日答题活动答案,0.0053
留存(两年都在),5447,查询交易日程与市场状态,0.0033
留存(两年都在),5447,寻求个股买卖与持有决策建议,0.0028
留存(两年都在),5447,获取市场动态与事件公告,0.0022
留存(两年都在),5447,判定信贷产品账单与征信规则,0.0022
留存(两年都在),5447,处置账户异常与非预期扣款,0.0017
留存(两年都在),5447,比较同类金融产品并择优,0.0011
留存(两年都在),5447,寻求应急或无征信门槛借款渠道,0.0006
掉榜(只在2025),4551,查询金融资产实时行情,0.3762
掉榜(只在2025),4551,进入个股股吧讨论区,0.1367
掉榜(只在2025),4551,查找官方渠道与客服入口,0.1077
掉榜(只在2025),4551,其他或无法判定的非金融查询,0.098
掉榜(只在2025),4551,计算具体金额或利率,0.0576
掉榜(只在2025),4551,解释金融术语与基础规则,0.0554
掉榜(只在2025),4551,获取银行或支付账户操作指引,0.0327
掉榜(只在2025),4551,核实金融平台真伪与合法性,0.0325
掉榜(只在2025),4551,获取每日答题活动答案,0.0187
掉榜(只在2025),4551,识别陌生电话号码归属,0.0163
掉榜(只在2025),4551,寻求个股买卖与持有决策建议,0.0154
掉榜(只在2025),4551,获取市场动态与事件公告,0.0119
掉榜(只在2025),4551,查询历史价格走势图,0.0119
掉榜(只在2025),4551,判定信贷产品账单与征信规则,0.0116
掉榜(只在2025),4551,处置账户异常与非预期扣款,0.0062
掉榜(只在2025),4551,查询交易日程与市场状态,0.0051
掉榜(只在2025),4551,寻求应急或无征信门槛借款渠道,0.0033
掉榜(只在2025),4551,比较同类金融产品并择优,0.0031
新进(只在2026),4552,查询金融资产实时行情,0.5984
新进(只在2026),4552,进入个股股吧讨论区,0.2113
新进(只在2026),4552,其他或无法判定的非金融查询,0.0481
新进(只在2026),4552,查询历史价格走势图,0.0272
新进(只在2026),4552,查找官方渠道与客服入口,0.0233
新进(只在2026),4552,寻求个股买卖与持有决策建议,0.0209
新进(只在2026),4552,识别陌生电话号码归属,0.0136
新进(只在2026),4552,计算具体金额或利率,0.0125
新进(只在2026),4552,解释金融术语与基础规则,0.0114
新进(只在2026),4552,获取市场动态与事件公告,0.0092
新进(只在2026),4552,获取每日答题活动答案,0.0053
新进(只在2026),4552,获取银行或支付账户操作指引,0.0053
新进(只在2026),4552,查询交易日程与市场状态,0.0046
新进(只在2026),4552,核实金融平台真伪与合法性,0.004
新进(只在2026),4552,处置账户异常与非预期扣款,0.0029
新进(只在2026),4552,判定信贷产品账单与征信规则,0.0009
新进(只在2026),4552,寻求应急或无征信门槛借款渠道,0.0007
新进(只在2026),4552,比较同类金融产品并择优,0.0004
