td_l1_name,U01,U02,U03,U04,U05,U06,U07,U08,U09,U10,U11,U12,U13
其他或无法判定的非金融查询,69,527,50,17,29,14,30,20,9,1,5,3,122
判定信贷产品账单与征信规则,0,0,38,9,14,8,9,1,0,0,0,0,2
处置账户异常与非预期扣款,0,0,5,23,20,38,19,0,0,0,0,0,5
寻求个股买卖与持有决策建议,0,0,48,20,45,5,231,102,0,0,3,0,19
寻求应急或无征信门槛借款渠道,2,1,0,0,0,3,0,2,0,0,0,0,0
查找官方渠道与客服入口,219,38,229,0,4,15,2,10,1,0,0,1,1
查询交易日程与市场状态,0,0,31,0,10,1,0,1,0,0,0,0,4
查询历史价格走势图,0,0,185,2,11,0,1,0,15,0,0,0,2
查询金融资产实时行情,40,3644,3202,7,26,1,13,43,5,0,0,1,18
核实金融平台真伪与合法性,13,22,1,12,38,2,2,11,0,0,0,0,1
比较同类金融产品并择优,0,0,13,6,3,0,20,21,0,0,0,0,1
获取市场动态与事件公告,0,0,36,6,59,2,3,7,1,0,0,0,2
获取每日答题活动答案,1,1,0,0,0,0,0,0,85,0,0,0,1
获取银行或支付账户操作指引,4,0,14,3,2,139,9,0,0,0,0,1,4
解释金融术语与基础规则,1,16,39,137,10,21,7,21,0,1,1,0,8
计算具体金额或利率,17,0,209,2,1,4,3,0,0,0,0,0,6
识别陌生电话号码归属,0,26,53,3,34,1,2,0,0,0,0,0,0
进入个股股吧讨论区,1415,0,0,1,0,0,0,0,0,0,0,0,0
