类,类名,快照,n,子群数,旧_例子数,旧_重复,旧_被代表质量%,旧_典型性分位,旧_长度分位,旧_顺序实为任意,旧_自助法Jaccard,H3_例子数,H3_被代表质量%,H3_分配TVD,H3_典型性分位,H3_长度分位,H3_自助法Jaccard,显式_例子数,显式_被代表质量%,显式_不可代表质量%,显式_典型性分位,显式_长度分位,显式_自助法Jaccard
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索,5018,44,3,0,10.0,0.167,0.075,False,0.535,3,52.5,0.4913,0.695,0.201,0.975,8,72.4,0.0,0.494,0.4,0.956
PAGE_NAV,打开目标页面或获取官方应用入口,2025搜索,1381,34,3,0,6.4,0.133,0.371,False,0.49,3,70.4,0.2962,0.688,0.325,1.0,4,82.3,0.0,0.554,0.485,1.0
FX_CONVERT,查询汇率并换算外币金额,2025搜索,985,16,3,0,45.2,0.907,0.42,False,0.48,3,77.6,0.2244,0.878,0.543,0.95,3,87.4,0.0,0.862,0.46,1.0
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索,725,45,3,0,26.8,0.393,0.565,False,0.505,3,44.3,0.5572,0.955,0.051,0.95,8,66.9,0.0,0.808,0.159,0.933
OTHER_INTENT,其他非金融意图或无明确意图,2025搜索,204,29,3,0,59.3,0.702,0.32,False,0.585,3,63.7,0.3627,0.776,0.342,0.867,8,81.4,0.0,0.387,0.362,0.68
CONTACT_BRANCH_LOOKUP,查询机构联系方式、网点信息及号码归属,2025搜索,576,21,3,0,27.3,0.551,0.373,False,0.52,3,72.9,0.3611,0.562,0.536,0.9,4,81.8,0.0,0.453,0.553,0.94
CONCEPT_EXPLAIN,解释金融术语与交易/业务规则,2025搜索,266,30,3,0,52.6,0.425,0.419,False,0.445,3,57.9,0.4211,0.766,0.432,1.0,8,81.2,0.0,0.362,0.504,0.818
RATE_CALC,查询利率、费率、限额并试算利息/还款,2025搜索,233,22,3,0,14.2,0.459,0.332,False,0.43,3,61.4,0.3863,0.769,0.557,0.975,7,80.7,0.0,0.522,0.393,0.84
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索,80,21,3,0,8.8,0.231,0.146,False,0.425,3,46.2,0.5375,0.665,0.269,0.825,8,72.5,0.0,0.595,0.378,0.716
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索,225,25,3,0,36.0,0.245,0.559,False,0.59,3,47.6,0.5244,0.789,0.07,0.975,8,80.9,0.0,0.561,0.211,0.927
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2025搜索,93,14,3,0,68.8,0.532,0.724,False,0.565,3,74.2,0.2796,0.851,0.351,0.825,4,82.8,0.0,0.506,0.392,0.61
ENTITY_IDENTITY_CHECK,确认或反查标的代码与名称对应,2025搜索,22,8,3,0,68.2,0.583,0.538,False,0.565,3,68.2,0.3182,0.795,0.583,0.525,4,81.8,0.0,0.443,0.438,0.523
INVEST_ADVICE,请求个股买卖持有决策与涨跌预测,2025搜索,57,14,3,0,61.4,0.664,0.31,False,0.55,3,66.7,0.3333,0.74,0.418,0.567,5,80.7,0.0,0.395,0.356,0.559
TXN_ISSUE,排查账户与交易异常,2025搜索,36,10,3,0,50.0,0.773,0.588,False,0.5,3,77.8,0.3611,0.533,0.81,0.833,4,83.3,0.0,0.5,0.806,0.823
COMPARISON_DECISION,比较两个金融对象并给出取舍,2025搜索,25,8,3,0,68.0,0.3,0.48,False,0.455,3,72.0,0.3067,0.647,0.54,0.7,5,88.0,0.0,0.548,0.476,0.657
DEBT_DISTRESS,处理逾期催收与还款困境,2025搜索,15,5,3,0,73.3,0.3,0.3,False,0.485,3,73.3,0.2667,0.544,0.189,0.575,3,86.7,0.0,0.456,0.355,0.812
NEWS_EVENT,查询个股与公司层面的消息、公告与进度,2025搜索,40,13,3,0,50.0,0.354,0.571,False,0.58,3,62.5,0.375,0.704,0.271,0.9,6,82.5,0.0,0.583,0.442,0.756
QUOTE_LOOKUP,查询可报价品种实时行情与价格,2025搜索随机1w,1049,45,3,0,21.2,0.687,0.307,False,0.485,3,35.3,0.6473,0.819,0.48,0.8,8,60.2,0.0,0.798,0.542,0.878
HOWTO_OPERATE,获取银行/支付业务办理步骤与所需资料,2025搜索随机1w,1231,41,3,0,34.1,0.571,0.26,False,0.565,3,46.1,0.5394,0.944,0.189,1.0,8,72.5,0.0,0.725,0.266,1.0
RESOLVE_BARE_ENTITY,解析裸非可报价名称,2025搜索随机1w,472,43,3,0,7.4,0.56,0.6,False,0.555,3,38.4,0.6165,0.785,0.414,0.925,8,63.3,0.0,0.752,0.342,0.844
VERDICT_QUESTION,对“是不是/是A还是B”给出裁决结论,2025搜索随机1w,1088,41,3,0,31.9,0.544,0.249,False,0.435,3,41.1,0.5892,0.89,0.238,1.0,8,69.3,0.0,0.701,0.183,0.978
ENTITY_VERIFY,核验机构平台与金融信息来源的真伪资质,2025搜索随机1w,153,27,3,0,28.1,0.822,0.383,False,0.655,3,49.0,0.5098,0.883,0.395,0.975,8,73.9,0.0,0.741,0.444,0.8
RATE_CALC,查询利率、费率、限额并试算利息/还款,2025搜索随机1w,1012,42,3,0,13.3,0.447,0.393,False,0.555,3,43.8,0.5623,0.625,0.42,1.0,8,71.9,0.0,0.694,0.333,0.944
STATUS_DECODE,解读粘贴的提示与界面状态,2025搜索随机1w,24,12,3,0,54.2,0.549,0.389,False,0.39,3,58.3,0.4583,0.562,0.576,0.614,8,83.3,0.0,0.427,0.523,0.492
TXN_ISSUE,排查账户与交易异常,2025搜索随机1w,518,33,3,0,37.1,0.262,0.269,False,0.465,3,48.5,0.5154,0.784,0.17,1.0,8,78.0,0.0,0.599,0.264,0.867
