叶名,加权行数,样本行数,评估判断与建议,原因解释,事件内容与数据,预测与可能性,浏览最新消息,规则与一般机制,个人业务求助,事件进度与时点,功能无法判定
股票行情与选股建议查询,257,156,3.1,4.3,20.6,8.9,26.7,6.8,0.0,28.3,1.4
金融行情数据查询,142,78,2.8,0.7,46.4,19.4,2.1,8.1,0.7,17.7,2.2
查询科技股与科创板信息,110,56,8.3,9.0,35.6,11.0,15.7,0.0,0.0,20.4,0.0
查询财经门户与市场行情,60,33,1.7,5.1,45.9,7.8,21.3,3.0,0.0,1.7,13.6
查询股份公司及股票信息,53,27,3.4,1.9,16.9,0.0,53.2,0.0,0.0,24.6,0.0
查询保险公司信息,36,20,2.8,0.0,80.2,5.6,2.8,8.6,0.0,0.0,0.0
查询市场行情,25,19,4.0,0.0,0.0,23.5,68.4,0.0,0.0,4.0,0.0
计算存贷款利息,20,11,0.0,0.0,23.9,19.8,38.5,0.0,0.0,0.0,17.8
查询价格与金额,18,9,0.0,0.0,66.4,33.6,0.0,0.0,0.0,0.0,0.0
查询转账与账户业务可行性,18,8,0.0,0.0,17.1,22.7,0.0,10.2,17.1,17.1,15.8
查询金融业务数值与代码,17,9,0.0,0.0,52.9,29.4,0.0,0.0,0.0,17.7,0.0
金融代码查询,17,9,5.8,0.0,23.6,10.6,31.7,0.0,0.0,28.3,0.0
查询股票信息,17,8,0.0,0.0,16.9,0.0,40.3,6.0,0.0,36.8,0.0
基金净值查询,16,6,0.0,0.0,24.9,0.0,18.8,37.5,0.0,18.8,0.0
金融业务操作与问题处理方法查询,14,8,7.1,14.1,50.2,7.1,0.0,0.0,0.0,21.6,0.0
人民币及货币信息查询,14,12,0.0,0.0,0.0,0.0,58.7,7.3,0.0,34.0,0.0
证券股票信息查询,13,6,0.0,0.0,14.5,0.0,85.5,0.0,0.0,0.0,0.0
银行信息查询,10,4,0.0,0.0,50.0,0.0,0.0,0.0,0.0,31.4,18.6
查询300开头股票代码与行情,10,4,50.0,0.0,31.4,0.0,18.6,0.0,0.0,0.0,0.0
查询个股股票行情与股吧讨论,10,4,0.0,18.6,31.4,0.0,50.0,0.0,0.0,0.0,0.0
证券股吧查询,9,4,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
查询贷款信息,8,5,0.0,0.0,22.0,0.0,12.1,22.0,22.0,0.0,22.0
查询人寿保险相关业务信息,8,4,0.0,0.0,87.7,0.0,0.0,0.0,0.0,0.0,12.3
查询金融术语含义,8,3,0.0,0.0,61.5,0.0,38.5,0.0,0.0,0.0,0.0
查询价格走势图,7,4,0.0,0.0,14.5,85.5,0.0,0.0,0.0,0.0,0.0
中国银行服务信息查询,7,5,0.0,0.0,69.9,0.0,0.0,0.0,0.0,30.1,0.0
股指行情查询,6,3,0.0,0.0,52.0,0.0,31.0,0.0,0.0,0.0,17.0
市场价格行情查询,6,4,17.7,0.0,32.3,50.0,0.0,0.0,0.0,0.0,0.0
花呗操作查询,5,2,0.0,0.0,62.7,0.0,0.0,0.0,37.3,0.0,0.0
支付方式使用与设置查询,4,2,0.0,0.0,0.0,0.0,0.0,0.0,75.4,24.6,0.0
科技类股票信息查询,4,3,26.2,0.0,47.6,0.0,26.2,0.0,0.0,0.0,0.0
查询办理信用卡业务,3,1,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
股票代码查询,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
证券代码信息查询,3,2,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
建设银行网点与服务查询,3,2,0.0,0.0,64.5,0.0,35.5,0.0,0.0,0.0,0.0
个人征信报告查询与影响咨询,3,2,35.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5
查询金价,2,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
查询保险相关业务,2,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
查询股票代码与指数信息,2,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
查询借款平台正规性,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
查询黄金价格,2,1,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0
查询定期存款利率,1,1,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0
车险购买与理赔咨询,1,1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
下载安装金融类App,1,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0
